Time,Distance,Pant,Ppost,LongAcc,LatAcc,LoggerTemp,Battery,RPM,TPS1,TPS2,MAP1,MAP2,DFARF,DMAP,EFI_AE,EFI_DE,WHEELSPD,DRAXSSPD,SLIP,OSASLIP,TEROGBASE,TEROG,SABASE,SA,NTK1,NTK2,KFUELLEARN,CLC1,CLC2,GEARSHIFTT,OILPRESS,FUELPRESS,BATTVOLTDI,BATTVOLTKE,WATERTEMP,OILTEMP,FUELTEMP,AIRTEMP01,AIRTEMP02,KFUELCAL,FUELUSED,FUELLEFT,GPS_Speed,GPS_Nsat,GPS_LatAcc,GPS_LonAcc,GPS_Slope,GPS_Heading,GPS_Gyro,GPS_Latitude,GPS_Longitude,GPS_Elevation
0.000,0.000,-0.043457,-0.005371,-0.221221,0.031755,32.147858,13.519885,6491.209961,99.999985,0.000000,1.667650,1.667100,0.000000,0.000000,0.000000,0.000000,171.133011,0.000000,0.000000,0.000000,16013.900391,16013.900391,29.000000,29.000000,0.782109,0.802969,0.000000,0.000000,0.000000,0.000000,4.351570,4.668680,0.000000,13.544995,79.725494,114.966278,53.372551,54.592941,-10.000000,1.000000,3923.945068,0.000000,158.544006,9.220000,0.120097,0.112124,-0.400235,22.627317,1.495555,43.960856138095,12.683439885517,15.17
0.100,0.004,-0.135742,0.000000,-0.195381,0.057449,32.147858,13.518677,6492.990234,99.999985,0.000000,1.662440,1.662440,0.000000,0.000000,0.000000,0.000000,172.078995,0.000000,0.000000,0.000000,15960.000000,15960.000000,29.000000,29.000000,0.781250,0.797734,0.000000,0.000000,0.000000,0.000000,4.417970,4.680680,0.000000,13.443219,80.004707,115.700394,53.651768,54.627453,-10.000000,1.000000,3924.445068,0.000000,158.945007,9.000000,0.118115,0.157827,-0.405964,22.776287,1.510910,43.960893462092,12.683461621652,15.14
0.200,0.009,-0.016113,0.000000,-0.233579,0.065090,32.147858,13.518677,6540.060059,99.999985,0.000000,1.654880,1.651320,0.000000,0.000000,0.000000,0.000000,173.268005,0.000000,0.000000,0.000000,16084.599609,16084.599609,29.000000,29.000000,0.781250,0.789922,0.000000,0.000000,0.000000,0.000000,4.426000,4.649070,0.000000,13.460973,80.318436,116.641571,53.965492,54.627453,-10.000000,1.000000,3924.945068,0.000000,159.712006,9.000000,0.109397,0.218742,-0.406594,22.935453,1.452239,43.960931297907,12.683483716888,15.12
0.300,0.013,-0.043457,-0.065186,-0.268200,0.033072,32.147858,13.518677,6546.000000,99.999985,0.000000,1.676250,1.675810,0.000000,0.000000,0.000000,0.000000,173.222000,0.000000,0.000000,0.000000,16162.299805,16162.299805,29.000000,29.000000,0.788203,0.796016,0.000000,0.000000,0.000000,0.000000,4.382390,4.590710,0.000000,13.417907,80.632156,117.024315,54.279217,54.906670,-10.000000,1.000000,3925.889893,0.000000,160.690002,8.110000,0.090761,0.284603,-0.411694,23.085684,1.199909,43.960969403363,12.683505984626,15.10
0.400,0.018,-0.157471,-0.008057,-0.206743,-0.000798,32.147858,13.504010,6546.000000,38.921562,0.000000,1.355040,1.355040,0.000000,0.000000,0.000000,0.000000,173.111008,0.000000,0.000000,0.000000,9130.099609,9130.099609,24.995001,24.995001,0.789063,0.789922,0.000000,0.000000,0.000000,0.000000,4.518510,4.203970,0.000000,13.584194,80.945885,117.338043,54.592941,55.220394,-10.000000,1.000000,3926.889893,0.000000,161.690002,8.000000,0.060794,0.338973,-0.412324,23.183659,0.741313,43.961007437532,12.683528166627,15.08
0.500,0.022,-0.149170,-0.065186,-0.070895,-0.000692,32.147858,13.502197,6020.899902,4.149019,0.000000,0.428560,0.428560,0.000000,0.000000,0.000000,0.000000,171.764999,0.000000,0.000000,0.000000,3276.000000,3276.000000,22.275000,22.275000,0.809922,0.782109,0.000000,0.000000,0.000000,0.000000,4.427420,3.689750,0.000000,13.871421,81.259613,116.534904,54.348240,55.254906,-10.000000,1.000000,3927.445068,0.000000,163.669006,8.890000,0.029566,0.360674,-0.412324,23.234537,0.341618,43.961045932947,12.683550538688,15.05
0.600,0.027,-0.016113,-0.008057,0.001797,-0.000616,32.147858,13.502197,5699.680176,86.294106,0.000000,1.337160,1.470660,49.840000,0.000000,0.000000,0.000000,172.846008,0.000000,0.000000,0.000000,14123.200195,14123.200195,28.230000,28.230000,0.749922,0.746484,0.000000,0.000000,0.000000,0.000000,4.261810,4.468600,0.000000,13.826070,81.573341,115.593735,54.034515,55.254906,-10.000000,1.000000,3927.945068,0.000000,165.145996,9.000000,0.004576,0.360368,-0.412324,23.239578,0.013199,43.961085177201,12.683573274435,15.03
0.700,0.032,0.000000,0.000000,-0.058238,-0.014919,32.147858,13.502197,5479.319824,99.654884,0.000000,1.663250,1.710010,6.160000,0.000000,0.000000,0.000000,176.292999,0.000000,0.000000,0.000000,16163.000000,16163.000000,28.777500,28.777500,0.985547,0.964688,0.000000,0.000000,0.000000,0.000000,4.014270,4.713511,0.000000,13.597378,80.770203,115.210983,54.000004,54.975689,-10.000000,1.000000,3928.445068,0.000000,166.367996,9.000000,-0.012268,0.347041,-0.412324,23.229380,-0.205671,43.961124990566,12.683596273401,15.01
0.800,0.036,0.000000,0.000000,-0.138059,0.000733,32.147858,13.507031,5428.720215,99.999985,0.000000,1.705600,1.717600,0.000000,0.000000,0.000000,0.000000,175.556015,0.000000,0.000000,0.000000,16363.200195,16363.200195,28.750000,28.750000,0.878125,0.882187,0.000000,0.000000,0.000000,0.000000,4.008000,4.644761,0.000000,13.570308,79.838432,114.900398,54.000004,54.665100,-10.000000,1.000000,3928.939941,0.000000,167.468002,9.880000,-0.020751,0.328604,-0.412324,23.197868,-0.309033,43.961164626970,12.683619113924,14.98
0.900,0.041,0.000000,0.021484,-0.149148,0.040177,32.147858,13.507690,5425.000000,99.999985,0.000000,1.712400,1.700280,0.000000,0.000000,0.000000,0.000000,175.927994,0.000000,0.000000,0.000000,16441.599609,16441.599609,28.750000,28.750000,0.845625,0.853437,0.000000,0.000000,0.000000,0.000000,3.989000,4.558200,0.000000,13.539371,79.449417,114.862747,54.000004,54.627453,-10.000000,1.000000,3929.439941,0.000000,168.656006,10.000000,-0.021108,0.310045,-0.407282,23.173574,-0.279697,43.961204375194,12.683641977065,14.96
1.000,0.046,0.000000,0.002930,-0.167418,0.048638,32.147858,13.507690,5463.720215,99.999985,0.000000,1.713000,1.699760,0.000000,0.000000,0.000000,0.000000,178.112015,0.000000,0.000000,0.000000,16450.000000,16450.000000,28.750000,28.750000,0.823125,0.837812,0.000000,0.000000,0.000000,0.000000,4.082800,4.601680,0.000000,13.612495,79.135689,114.862747,54.000004,54.627453,-10.000000,1.000000,3929.939941,0.000000,169.591995,10.880000,-0.015984,0.294928,-0.406594,23.150656,-0.213693,43.961244342968,12.683664956089,14.94
1.100,0.050,0.000000,0.000000,-0.231236,0.024962,32.147858,13.507690,5526.200195,99.999985,0.000000,1.714760,1.714960,0.000000,0.000000,0.000000,0.000000,179.280014,0.000000,0.000000,0.000000,16326.799805,16326.799805,28.969999,28.969999,0.813438,0.829063,0.000000,0.000000,0.000000,0.000000,4.074880,4.748920,0.000000,13.545698,78.821968,114.862747,54.000004,54.351376,-10.000000,1.000000,3930.879883,0.000000,170.580002,11.000000,-0.009687,0.284756,-0.406594,23.127737,-0.124770,43.961284884963,12.683688275772,14.92
1.200,0.055,0.000000,0.000000,-0.250271,0.009002,32.147858,13.507690,5522.560059,99.999985,0.000000,1.671880,1.725800,0.000000,0.000000,0.000000,0.000000,179.664001,0.000000,0.000000,0.000000,16494.800781,16494.800781,29.000000,29.000000,0.812500,0.835000,0.000000,0.000000,0.000000,0.000000,4.039440,4.541840,0.000000,13.504215,78.508240,114.862747,54.000004,54.037651,-10.000000,1.000000,3931.879883,0.000000,171.580002,11.000000,-0.002753,0.278561,-0.406594,23.124987,-0.033096,43.961325850223,12.683711863164,14.89
1.300,0.060,-0.085938,-0.042969,-0.214694,0.011685,32.147858,13.507690,5590.520020,99.999985,0.000000,1.695920,1.703240,0.000000,0.000000,0.000000,0.000000,181.020004,0.000000,0.000000,0.000000,16458.400391,16458.400391,29.000000,29.000000,0.819375,0.822187,0.000000,0.000000,0.000000,0.000000,4.152920,4.715160,0.000000,13.499996,79.298828,115.138824,54.000004,54.276081,-10.000000,1.000000,3932.439941,0.000000,172.580002,11.000000,0.003136,0.275069,-0.411636,23.124987,0.038409,43.961366908387,12.683735539338,14.86
1.400,0.065,-0.011719,-0.091797,-0.205383,0.015544,32.147858,13.507690,5588.560059,99.999985,0.000000,1.717600,1.717600,0.000000,0.000000,0.000000,0.000000,181.816010,0.000000,0.000000,0.000000,16326.799805,16326.799805,29.000000,29.000000,0.799688,0.827187,0.000000,0.000000,0.000000,0.000000,4.147880,4.711320,0.000000,13.561871,80.240005,115.452553,54.000004,54.589806,-10.000000,1.000000,3932.939941,0.000000,173.580002,11.000000,0.006628,0.273565,-0.412324,23.135071,0.086996,43.961407582015,12.683759042431,14.84
1.500,0.070,0.000000,-0.097656,-0.221245,0.010505,32.147858,13.507690,5609.879883,99.999985,0.000000,1.683920,1.683920,0.000000,0.000000,0.000000,0.000000,181.988007,0.000000,0.000000,0.000000,16310.000000,16310.000000,29.000000,29.000000,0.803750,0.821250,0.000000,0.000000,0.000000,0.000000,4.080760,4.588200,0.000000,13.585776,80.352943,116.042358,54.000004,54.627453,-10.000000,1.000000,3933.439941,0.000000,174.492004,11.000000,0.007011,0.271729,-0.417366,23.146530,0.092496,43.961448441127,12.683782701034,14.81
1.600,0.074,0.000000,-0.054688,-0.216386,0.004989,32.147858,13.517359,5655.240234,99.999985,0.000000,1.704520,1.700120,0.000000,0.000000,0.000000,0.000000,183.848007,0.000000,0.000000,0.000000,16186.799805,16186.799805,29.000000,29.000000,0.811562,0.834063,0.000000,0.000000,0.000000,0.000000,4.168800,4.722480,0.000000,13.603354,80.352943,116.669807,54.000004,54.627453,-10.000000,1.000000,3933.939941,0.000000,175.480011,11.000000,0.004767,0.268695,-0.418054,23.157990,0.052160,43.961489864293,12.683806723490,14.77
1.700,0.079,-0.042969,-0.005859,-0.192676,0.006315,32.147858,13.518677,5690.919922,99.999985,0.000000,1.724720,1.719720,0.000000,0.000000,0.000000,0.000000,184.891998,0.000000,0.000000,0.000000,16354.799805,16354.799805,29.000000,29.000000,0.805625,0.829063,0.000000,0.000000,0.000000,0.000000,4.192560,4.743000,0.000000,13.528120,80.905106,117.297264,54.000004,54.903534,-10.000000,1.000000,3934.439941,0.000000,176.391998,11.000000,0.001096,0.264948,-0.418054,23.159365,0.006323,43.961531708289,12.683831020505,14.74
1.800,0.084,-0.005859,-0.064453,-0.173134,0.013524,32.147858,13.509008,5682.680176,99.999985,0.000000,1.697080,1.696480,0.000000,0.000000,0.000000,0.000000,186.451996,0.000000,0.000000,0.000000,16195.200195,16195.200195,29.000000,29.000000,0.804688,0.814375,0.000000,0.000000,0.000000,0.000000,4.076080,4.635640,0.000000,13.517573,81.532555,117.924713,54.000004,55.217258,-10.000000,1.000000,3934.939941,0.000000,177.380005,11.000000,-0.003288,0.260563,-0.423096,23.159365,-0.059682,43.961573643579,12.683855393159,14.70
1.900,0.089,0.000000,-0.008789,-0.180172,0.031668,32.147858,13.507690,5780.439941,99.999985,0.000000,1.699160,1.701800,0.000000,0.000000,0.000000,0.000000,188.102005,0.000000,0.000000,0.000000,16478.000000,16478.000000,29.000000,29.000000,0.811562,0.819375,0.000000,0.000000,0.000000,0.000000,4.038000,4.546200,0.000000,13.486637,80.503532,116.895691,54.000004,54.702747,-10.000000,1.000000,3935.879883,0.000000,178.292007,11.000000,-0.007189,0.255541,-0.423783,23.149281,-0.108268,43.961615173850,12.683879541877,14.66
2.000,0.094,-0.064453,0.000000,-0.213209,0.053167,32.147858,13.502856,5750.000000,99.999985,0.000000,1.698240,1.696840,0.000000,0.000000,0.000000,0.000000,187.508011,0.000000,0.000000,0.000000,16396.800781,16396.800781,29.000000,29.000000,0.798750,0.820313,0.000000,0.000000,0.000000,0.000000,3.991880,4.470881,0.000000,13.513354,79.248634,115.640793,54.000004,54.075298,-10.000000,1.000000,3936.879883,0.000000,179.192001,10.120000,-0.008769,0.249882,-0.423783,23.137821,-0.113769,43.961656888053,12.683903808147,14.62
2.100,0.099,-0.008789,0.000000,-0.239463,0.046257,32.147858,13.502197,5762.479980,99.999985,0.000000,1.704160,1.702160,0.000000,0.000000,0.000000,0.000000,186.343994,0.000000,0.000000,0.000000,16195.200195,16195.200195,29.000000,29.000000,0.796875,0.820313,0.000000,0.000000,0.000000,0.000000,4.147040,4.719840,0.000000,13.610386,79.374123,115.490204,54.000004,54.000004,-10.000000,1.000000,3937.439941,0.000000,180.091995,10.000000,-0.006679,0.244707,-0.418741,23.126362,-0.093601,43.961699177881,12.683928422820,14.59
2.200,0.104,-0.042480,0.042480,-0.240114,0.009504,32.254059,13.502197,5937.259766,99.999985,0.000000,1.694560,1.692560,0.000000,0.000000,0.000000,0.000000,190.811005,0.000000,0.000000,0.000000,16230.900391,16230.900391,29.000000,29.000000,0.803672,0.813516,0.000000,0.000000,0.000000,0.000000,4.105490,4.617540,0.000000,13.485406,79.684708,115.490204,54.000004,54.000004,-10.000000,1.000000,3937.935059,0.000000,180.895996,10.000000,-0.001383,0.240768,-0.413069,23.124987,-0.031034,43.961741468804,12.683953062041,14.55
2.300,0.109,-0.006348,-0.057373,-0.219896,-0.019348,32.269928,13.502197,5809.879883,99.999985,0.000000,1.699090,1.701440,0.000000,0.000000,0.000000,0.000000,189.498993,0.000000,0.000000,0.000000,16361.799805,16361.799805,29.000000,29.000000,0.797891,0.805703,0.000000,0.000000,0.000000,0.000000,4.138630,4.607440,0.000000,13.526011,80.544319,116.309029,54.000004,54.545887,-10.000000,1.000000,3938.435059,0.000000,181.695999,8.260000,0.007125,0.239162,-0.412324,23.124987,0.057660,43.961784286413,12.683978047119,14.51
2.400,0.114,0.000000,-0.052002,-0.200281,-0.024202,32.269928,13.502197,5855.729980,99.999985,0.000000,1.693910,1.696910,0.000000,0.000000,0.000000,0.000000,190.330994,0.000000,0.000000,0.000000,16258.200195,16258.200195,29.000000,29.000000,0.803672,0.818281,0.000000,0.000000,0.000000,0.000000,4.155440,4.629880,0.000000,13.550445,81.485497,117.250198,54.000004,55.173336,-10.000000,1.000000,3938.935059,0.000000,182.582993,8.000000,0.017157,0.238996,-0.407339,23.134956,0.169272,43.961826692917,12.684002869567,14.47
2.500,0.119,-0.042480,-0.006348,-0.209895,-0.016760,32.269928,13.502197,5918.200195,99.999985,0.000000,1.672120,1.674250,0.000000,0.000000,0.000000,0.000000,192.153015,0.000000,0.000000,0.000000,16240.000000,16240.000000,29.000000,29.000000,0.811484,0.827109,0.000000,0.000000,0.000000,0.000000,4.146560,4.654750,0.000000,13.537436,80.789024,116.553726,54.000004,54.709023,-10.000000,1.000000,3939.435059,0.000000,183.395996,8.870000,0.027909,0.240660,-0.401610,23.166355,0.303803,43.961869288383,12.684027895865,14.43
2.600,0.124,-0.006348,-0.127441,-0.228635,-0.006149,32.269928,13.506976,5939.049805,99.999985,0.000000,1.685530,1.685790,0.000000,0.000000,0.000000,0.000000,193.095993,0.000000,0.000000,0.000000,16057.299805,16057.299805,29.000000,29.000000,0.798906,0.821328,0.000000,0.000000,0.000000,0.000000,4.187630,4.700630,0.000000,13.504566,79.847847,115.612556,54.000004,54.081573,-10.000000,1.000000,3939.935059,0.000000,184.283005,9.000000,0.036525,0.242572,-0.400865,23.200733,0.401435,43.961912463193,12.684053361559,14.38
2.700,0.130,0.000000,-0.019043,-0.219666,-0.008069,32.269928,13.507690,5934.040039,99.999985,0.000000,1.688000,1.683650,0.000000,0.000000,0.000000,0.000000,191.807999,0.000000,0.000000,0.000000,16456.300781,16456.300781,29.000000,29.000000,0.796875,0.827109,0.000000,0.000000,0.000000,0.000000,4.151370,4.748760,0.000000,13.515288,80.271378,116.036087,54.000004,54.545887,-10.000000,1.000000,3940.870117,0.000000,185.095993,9.000000,0.041483,0.244483,-0.400865,23.245079,0.473169,43.961956082863,12.684079184493,14.32
2.800,0.135,0.000000,0.000000,-0.215769,-0.022407,32.269928,13.517248,5992.160156,99.999985,0.000000,1.698440,1.691700,0.000000,0.000000,0.000000,0.000000,194.296997,0.000000,0.000000,0.000000,16459.099609,16459.099609,29.000000,29.000000,0.803672,0.821328,0.000000,0.000000,0.000000,0.000000,4.155440,4.713240,0.000000,13.548160,80.898827,116.663536,54.000004,55.173336,-10.000000,1.000000,3941.870117,0.000000,185.983002,9.870000,0.041509,0.245287,-0.405849,23.300886,0.462168,43.961999913460,12.684105213979,14.26
2.900,0.140,-0.042480,0.000000,-0.253223,-0.019225,32.269928,13.518677,5987.950195,99.999985,0.000000,1.702610,1.707790,0.000000,0.000000,0.000000,0.000000,194.960999,0.000000,0.000000,0.000000,16023.700195,16023.700195,29.000000,29.000000,0.791094,0.813516,0.000000,0.000000,0.000000,0.000000,4.263140,4.674810,0.000000,13.537436,80.161568,116.199219,54.000004,54.709023,-10.000000,1.000000,3942.435059,0.000000,186.882996,10.000000,0.035881,0.244260,-0.411579,23.348211,0.419311,43.962044290904,12.684131626735,14.19
3.000,0.145,-0.006348,0.000000,-0.286619,0.001245,32.269928,13.518677,6006.009766,99.999985,0.000000,1.698650,1.701300,0.000000,0.000000,0.000000,0.000000,194.391006,0.000000,0.000000,0.000000,16142.700195,16142.700195,29.000000,29.000000,0.795859,0.819297,0.000000,0.000000,0.000000,0.000000,4.225930,4.659560,0.000000,13.489273,79.220398,115.571770,54.000004,54.081573,-10.000000,1.000000,3942.935059,0.000000,187.869995,7.390000,0.021191,0.240213,-0.422293,23.384079,0.253841,43.962088900050,12.684158172018,14.12
3.100,0.150,0.000000,0.000000,-0.268936,0.011477,32.269928,13.518677,6042.930176,99.999985,0.000000,1.668420,1.668680,0.000000,0.000000,0.000000,0.000000,196.475006,0.000000,0.000000,0.000000,16291.799805,16291.799805,29.000000,29.000000,0.796875,0.820313,0.000000,0.000000,0.000000,0.000000,4.239750,4.583180,0.000000,13.528296,80.189812,115.490204,54.000004,54.545887,-10.000000,1.000000,3943.435059,0.000000,188.783005,7.000000,0.000822,0.234643,-0.433753,23.398518,0.030617,43.962132799927,12.684184231255,14.05
3.200,0.156,0.000000,0.000000,-0.219325,0.019202,32.269928,13.537793,6048.000000,99.999985,0.000000,1.695320,1.695320,0.000000,0.000000,0.000000,0.000000,197.061005,0.000000,0.000000,0.000000,16431.800781,16431.800781,29.000000,29.000000,0.796875,0.806719,0.000000,0.000000,0.000000,0.000000,4.274320,4.752960,0.000000,13.596323,81.444710,115.490204,54.000004,55.173336,-10.000000,1.000000,3943.935059,0.000000,189.509003,7.000000,-0.022427,0.229462,-0.440227,23.390038,-0.238444,43.962176435613,12.684210044719,13.98
