Time,Distance,AccelerometerY,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,-0.525160,4188.083496,25.746000,-0.551080,0.089735
0.020,0.000,-0.547894,4275.953613,25.866001,-0.544452,0.087186
0.040,0.000,-0.566535,4429.322266,25.986000,-0.537824,0.084637
0.060,0.000,-0.582532,4510.767090,26.102001,-0.531406,0.081558
0.080,0.001,-0.596996,4536.856445,26.142000,-0.528984,0.068429
0.100,0.001,-0.609688,4570.612793,26.182001,-0.526562,0.055301
0.120,0.001,-0.620048,4525.105469,26.222000,-0.524140,0.042172
0.140,0.001,-0.628469,4414.425781,26.262001,-0.521719,0.029043
0.160,0.001,-0.635798,4375.662109,26.297001,-0.519431,0.016099
0.180,0.001,-0.642349,4331.930176,26.237001,-0.519685,0.006667
0.200,0.001,-0.647582,4335.624023,26.177000,-0.519940,-0.002766
0.220,0.002,-0.650770,4360.280273,26.117001,-0.520195,-0.012198
0.240,0.002,-0.652543,4430.930176,26.057001,-0.520450,-0.021631
0.260,0.002,-0.654322,4571.870605,25.999500,-0.520871,-0.030483
0.280,0.002,-0.656004,4570.103027,25.989500,-0.524440,-0.028316
0.300,0.002,-0.656788,4550.470703,25.979500,-0.528009,-0.026149
0.320,0.002,-0.657308,4541.131348,25.969500,-0.531578,-0.023982
0.340,0.002,-0.658446,4515.822266,25.959501,-0.535147,-0.021815
0.360,0.003,-0.659820,4511.658691,25.949501,-0.538212,-0.019413
0.380,0.003,-0.660896,4504.374023,25.939501,-0.531712,-0.012530
0.400,0.003,-0.662058,4507.248047,25.929501,-0.525211,-0.005647
0.420,0.003,-0.663824,4574.593750,25.919500,-0.518710,0.001237
0.440,0.003,-0.665986,4653.992676,25.909500,-0.512210,0.008120
0.460,0.003,-0.668343,4676.945313,25.903000,-0.503644,0.014665
0.480,0.003,-0.671325,4682.160156,25.962999,-0.455845,0.014792
0.500,0.004,-0.674668,4684.222168,26.023001,-0.408046,0.014920
0.520,0.004,-0.677235,4640.490234,26.083000,-0.360246,0.015047
0.540,0.004,-0.679216,4593.636719,26.143000,-0.312447,0.015175
0.560,0.004,-0.681904,4582.896973,26.198000,-0.263163,0.015117
0.580,0.004,-0.684722,4584.520996,26.158001,-0.185665,0.011548
0.600,0.004,-0.685189,4616.518555,26.118000,-0.108166,0.007979
0.620,0.004,-0.681849,4640.378418,26.078001,-0.030668,0.004410
0.640,0.005,-0.675020,4684.189941,26.038000,0.046831,0.000841
0.660,0.005,-0.664941,4713.790039,26.002501,0.122436,-0.002014
0.680,0.005,-0.650900,4751.439941,26.052500,0.162078,0.008693
0.700,0.005,-0.632243,4773.262207,26.102501,0.201719,0.019400
0.720,0.005,-0.609073,4754.974609,26.152500,0.241361,0.030107
0.740,0.005,-0.581420,4719.944824,26.202499,0.281002,0.040814
0.760,0.006,-0.548607,4703.010742,26.252501,0.317986,0.051547
0.780,0.006,-0.510091,4685.344238,26.302500,0.304475,0.062764
0.800,0.006,-0.466223,4675.798828,26.352501,0.290963,0.073981
0.820,0.006,-0.417891,4702.238770,26.402500,0.277452,0.085197
0.840,0.006,-0.365942,4718.894043,26.452499,0.263941,0.096414
0.860,0.006,-0.310409,4718.893555,26.503000,0.250347,0.106847
0.880,0.006,-0.250083,4714.244141,26.563000,0.235179,0.102386
0.900,0.007,-0.185949,4736.305176,26.623001,0.220010,0.097925
0.920,0.007,-0.122009,4758.668945,26.683001,0.204842,0.093464
0.940,0.007,-0.055337,4754.584473,26.743000,0.189674,0.089002
0.960,0.007,0.023579,4737.403809,26.802002,0.175525,0.084267
0.980,0.007,0.111010,4681.451172,26.842001,0.180751,0.074325
1.000,0.007,0.190377,4633.029785,26.882000,0.185977,0.064382
1.020,0.007,0.257088,4635.768555,26.922001,0.191203,0.054440
1.040,0.008,0.320033,4638.945313,26.962000,0.196429,0.044498
1.060,0.008,0.383233,4568.654297,26.999001,0.201553,0.034696
1.080,0.008,0.444356,3254.180176,26.979000,0.204740,0.027558
1.100,0.008,0.502122,3699.564453,26.959000,0.207927,0.020420
1.120,0.008,0.556205,4558.559082,26.938999,0.211113,0.013282
1.140,0.008,0.606227,4530.989258,26.919001,0.214300,0.006144
1.160,0.008,0.652292,4514.166504,26.899000,0.217104,-0.001160
1.180,0.009,0.694347,4481.946777,26.879000,0.212643,-0.011612
1.200,0.009,0.731887,4480.792480,26.859001,0.208182,-0.022064
1.220,0.009,0.764669,4459.965332,26.839001,0.203720,-0.032516
1.240,0.009,0.793218,4478.762207,26.819000,0.199259,-0.042968
1.260,0.009,0.817756,4435.635254,26.799002,0.195575,-0.053669
1.280,0.009,0.837479,4420.858887,26.779001,0.206665,-0.069092
1.300,0.010,0.852289,4418.454590,26.759001,0.217754,-0.084515
1.320,0.010,0.863554,4409.927734,26.739000,0.228844,-0.099938
1.340,0.010,0.872021,4403.583008,26.719002,0.239933,-0.115362
1.360,0.010,0.877272,4359.413086,26.693001,0.252718,-0.130249
1.380,0.010,0.879454,4392.420898,26.553001,0.297713,-0.134966
1.400,0.010,0.879257,4419.227051,26.413000,0.342708,-0.139682
1.420,0.010,0.876929,4429.361816,26.273001,0.387703,-0.144398
1.440,0.011,0.872420,4508.585449,26.132999,0.432698,-0.149114
1.460,0.011,0.865300,4660.926758,25.996000,0.478413,-0.152167
1.480,0.011,0.855202,4901.424316,25.916000,0.537811,-0.123615
1.500,0.011,0.842983,5043.694824,25.836000,0.597210,-0.095063
1.520,0.011,0.828872,5088.477539,25.756001,0.656608,-0.066511
1.540,0.011,0.810786,5310.480957,25.676001,0.716007,-0.037959
1.560,0.011,0.788427,5305.218750,25.605000,0.773283,-0.008527
1.580,0.012,0.765416,4988.394531,25.705000,0.790236,0.037615
1.600,0.012,0.743865,4628.277344,25.805000,0.807188,0.083757
1.620,0.012,0.722101,4474.072754,25.905001,0.824141,0.129899
1.640,0.012,0.699286,4479.446777,26.005001,0.841094,0.176041
1.660,0.012,0.676921,4559.777344,26.112000,0.854580,0.220476
1.680,0.012,0.655729,4756.359863,26.352001,0.802192,0.232457
1.700,0.012,0.635179,4943.532227,26.592001,0.749804,0.244439
1.720,0.013,0.615328,5027.317871,26.832001,0.697416,0.256421
1.740,0.013,0.596336,5011.061035,27.072001,0.645028,0.268402
1.760,0.013,0.577415,4916.455566,27.306002,0.591009,0.278599
1.780,0.013,0.557914,4722.206055,27.426001,0.505990,0.254891
1.800,0.013,0.537968,4601.718262,27.546001,0.420971,0.231183
1.820,0.013,0.517753,4558.288574,27.666000,0.335952,0.207474
1.840,0.014,0.497012,4527.995117,27.785999,0.250933,0.183766
1.860,0.014,0.474558,4561.935059,27.903999,0.166424,0.160115
1.880,0.014,0.449606,4622.744141,27.983999,0.091603,0.137553
1.900,0.014,0.422701,4666.802246,28.064001,0.016781,0.114992
1.920,0.014,0.391179,4687.908203,28.144001,-0.058041,0.092431
1.940,0.014,0.349902,4749.632813,28.224001,-0.132862,0.069870
1.960,0.014,0.301703,4803.268555,28.300501,-0.205951,0.048003
1.980,0.015,0.255871,4838.267090,28.310501,-0.246102,0.039336
2.000,0.015,0.214510,4871.458008,28.320501,-0.286253,0.030668
2.020,0.015,0.172678,4883.025391,28.330502,-0.326405,0.022001
2.040,0.015,0.128281,4914.696289,28.340500,-0.366556,0.013333
2.060,0.015,0.083148,4860.312012,28.350500,-0.405197,0.004939
2.080,0.015,0.039752,4244.020508,28.360500,-0.415139,0.001753
2.100,0.016,-0.000439,3315.968750,28.370501,-0.425081,-0.001434
2.120,0.016,-0.038445,5301.986328,28.380501,-0.435024,-0.004620
2.140,0.016,-0.075986,5368.846191,28.390499,-0.444966,-0.007807
2.160,0.016,-0.112578,5368.846191,28.399500,-0.454825,-0.010535
