Time,Distance,AccelerometerY,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,-0.288532,4451.375000,23.940001,-0.627406,0.211158
0.020,0.000,-0.302651,4408.192383,24.040001,-0.643084,0.197647
0.040,0.000,-0.315637,4355.679199,24.140001,-0.658762,0.184135
0.060,0.000,-0.328263,4226.576660,24.240002,-0.674440,0.170624
0.080,0.001,-0.340911,4098.080078,24.340002,-0.679462,0.161090
0.100,0.001,-0.353845,4083.367432,24.440001,-0.668500,0.157521
0.120,0.001,-0.367559,4103.334473,24.540001,-0.657538,0.153952
0.140,0.001,-0.382337,4193.425781,24.640001,-0.646576,0.150383
0.160,0.001,-0.398201,4237.850586,24.740002,-0.635614,0.146814
0.180,0.001,-0.415580,4265.747070,24.840002,-0.616393,0.142429
0.200,0.001,-0.434863,4349.182617,24.940001,-0.584782,0.136821
0.220,0.002,-0.455023,4431.248535,25.040001,-0.553170,0.131212
0.240,0.002,-0.474967,4463.635742,25.140001,-0.521559,0.125604
0.260,0.002,-0.496371,4407.937500,25.240002,-0.489948,0.119995
0.280,0.002,-0.521371,4278.708008,25.324001,-0.460478,0.110716
0.300,0.002,-0.547668,4209.539551,25.384001,-0.434220,0.095930
0.320,0.002,-0.570802,4177.184570,25.444000,-0.407963,0.081144
0.340,0.002,-0.590132,4168.681641,25.504000,-0.381705,0.066358
0.360,0.003,-0.607992,4193.903320,25.564001,-0.355447,0.051572
0.380,0.003,-0.625133,4193.202637,25.584000,-0.335359,0.035002
0.400,0.003,-0.640484,4214.188965,25.544001,-0.324525,0.015755
0.420,0.003,-0.653300,4276.733887,25.504002,-0.313690,-0.003492
0.440,0.003,-0.663725,4330.520996,25.464001,-0.302856,-0.022740
0.460,0.003,-0.672242,4377.143066,25.424002,-0.292021,-0.041987
0.480,0.003,-0.678975,4420.612305,25.384001,-0.282716,-0.061540
0.500,0.003,-0.683692,4407.874023,25.344002,-0.275706,-0.081552
0.520,0.004,-0.686651,4373.194336,25.304001,-0.268695,-0.101564
0.540,0.004,-0.688389,4286.383301,25.264002,-0.261685,-0.121576
0.560,0.004,-0.688646,4199.858398,25.224001,-0.254674,-0.141587
0.580,0.004,-0.686498,4172.630859,25.152000,-0.238792,-0.160325
0.600,0.004,-0.681501,4145.084473,25.032001,-0.209603,-0.177150
0.620,0.004,-0.674172,4114.385254,24.912001,-0.180413,-0.193975
0.640,0.004,-0.664464,4123.524902,24.792000,-0.151224,-0.210801
0.660,0.005,-0.649993,4106.997070,24.672001,-0.122034,-0.227626
0.680,0.005,-0.628855,4084.354736,24.512001,-0.086166,-0.239149
0.700,0.005,-0.603672,4078.877197,24.292000,-0.040279,-0.242718
0.720,0.005,-0.578387,4055.725586,24.072001,0.005609,-0.246287
0.740,0.005,-0.552907,4071.138672,23.851999,0.051496,-0.249856
0.760,0.005,-0.525024,4098.844238,23.632000,0.097383,-0.253425
0.780,0.005,-0.494533,4093.621582,23.436001,0.135418,-0.247612
0.800,0.006,-0.462541,4096.424316,23.276001,0.161676,-0.227728
0.820,0.006,-0.429516,4121.550293,23.116001,0.187934,-0.207843
0.840,0.006,-0.395625,4135.180176,22.956001,0.214192,-0.187959
0.860,0.006,-0.361347,4156.708008,22.796001,0.240449,-0.168075
0.880,0.006,-0.327084,4181.961426,22.676001,0.251360,-0.143397
0.900,0.006,-0.292852,4180.528320,22.616001,0.239251,-0.111531
0.920,0.006,-0.258539,4230.080078,22.556000,0.227142,-0.079665
0.940,0.006,-0.224133,4270.109863,22.496000,0.215033,-0.047799
0.960,0.007,-0.189731,4250.907227,22.435999,0.202924,-0.015933
0.980,0.007,-0.155395,4277.338867,22.440001,0.184084,0.011854
1.000,0.007,-0.120815,4340.106445,22.539999,0.155150,0.033523
1.020,0.007,-0.085378,4377.715820,22.639999,0.126216,0.055192
1.040,0.007,-0.048811,4381.665039,22.740000,0.097281,0.076861
1.060,0.007,-0.011234,4385.390625,22.840000,0.068347,0.098530
1.080,0.007,0.027700,4364.532227,22.931999,0.047060,0.112806
1.100,0.007,0.068738,4314.757324,23.011999,0.037245,0.115993
1.120,0.008,0.111638,4306.891602,23.092001,0.027431,0.119179
1.140,0.008,0.155125,4311.063477,23.172001,0.017616,0.122366
