Time,Distance,AccelerometerY,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,-0.231406,4482.225586,25.321001,-0.614149,0.094458
0.020,0.000,-0.275526,4332.152832,25.381001,-0.569792,0.094840
0.040,0.000,-0.315019,4197.892090,25.441000,-0.525434,0.095223
0.060,0.000,-0.350282,4169.135742,25.501001,-0.481076,0.095605
0.080,0.001,-0.382664,4235.565430,25.561001,-0.436719,0.095987
0.100,0.001,-0.413350,4380.112305,25.621000,-0.401864,0.096325
0.120,0.001,-0.440817,4473.197266,25.681000,-0.384656,0.096580
0.140,0.001,-0.462524,4485.720703,25.740999,-0.367448,0.096835
0.160,0.001,-0.478785,4491.460449,25.801001,-0.350240,0.097090
0.180,0.001,-0.491883,4443.397949,25.861000,-0.333033,0.097345
0.200,0.001,-0.502851,4392.174316,25.934999,-0.329566,0.096529
0.220,0.002,-0.511429,4376.697266,26.035000,-0.351617,0.093725
0.240,0.002,-0.517767,4371.609863,26.135000,-0.373668,0.090921
0.260,0.002,-0.522835,4369.850098,26.234999,-0.395720,0.088116
0.280,0.002,-0.527358,4081.392822,26.334999,-0.417771,0.085312
0.300,0.002,-0.531123,3862.120361,26.414000,-0.439867,0.082999
0.320,0.002,-0.533899,4450.897461,26.454000,-0.462046,0.081597
0.340,0.002,-0.536195,4460.100586,26.493999,-0.484225,0.080194
0.360,0.003,-0.538467,4491.293457,26.534000,-0.506404,0.078792
0.380,0.003,-0.540750,4542.508789,26.573999,-0.528583,0.077390
0.400,0.003,-0.543353,4572.666992,26.621000,-0.541303,0.077237
0.420,0.003,-0.546522,4545.964355,26.681000,-0.536460,0.079404
0.440,0.003,-0.549662,4503.712891,26.740999,-0.531616,0.081571
0.460,0.003,-0.552422,4491.189941,26.801001,-0.526772,0.083738
0.480,0.004,-0.555647,4492.009766,26.861000,-0.521929,0.085905
0.500,0.004,-0.559682,4544.945313,26.914000,-0.509635,0.086376
0.520,0.004,-0.563381,4600.165527,26.954000,-0.483505,0.083700
0.540,0.004,-0.566024,4613.604492,26.993999,-0.457374,0.081023
0.560,0.004,-0.568201,4633.595215,27.034000,-0.431244,0.078346
0.580,0.004,-0.570257,4633.396484,27.073999,-0.405114,0.075669
0.600,0.004,-0.571823,4632.146484,27.121000,-0.374210,0.068264
0.620,0.005,-0.572880,4633.221191,27.181000,-0.334441,0.052076
0.640,0.005,-0.573901,4629.750000,27.240999,-0.294672,0.035888
0.660,0.005,-0.575082,4607.848145,27.301001,-0.254903,0.019700
0.680,0.005,-0.576017,4584.401855,27.361000,-0.215134,0.003512
0.700,0.005,-0.576050,4573.455078,27.386000,-0.169254,-0.017316
0.720,0.005,-0.574915,4563.646484,27.346001,-0.112022,-0.046760
0.740,0.005,-0.572655,4586.503906,27.306000,-0.054790,-0.076205
0.760,0.006,-0.568861,4666.643066,27.266001,0.002441,-0.105649
0.780,0.006,-0.562774,4756.001953,27.226000,0.059673,-0.135093
0.800,0.006,-0.553823,4796.788086,27.137001,0.117752,-0.159808
0.820,0.006,-0.541427,4799.876953,26.957001,0.177405,-0.175742
0.840,0.006,-0.525290,4738.797363,26.777000,0.237059,-0.191675
0.860,0.006,-0.506070,4655.282227,26.597000,0.296712,-0.207608
0.880,0.007,-0.484641,4633.021973,26.417002,0.356365,-0.223541
0.900,0.007,-0.461134,4668.896484,26.237001,0.399289,-0.224038
0.920,0.007,-0.435362,4721.783691,26.057001,0.411143,-0.195868
0.940,0.007,-0.407246,4741.241211,25.877001,0.422998,-0.167699
0.960,0.007,-0.376649,4744.855957,25.697001,0.434852,-0.139529
0.980,0.007,-0.343663,4762.092285,25.517000,0.446706,-0.111359
1.000,0.007,-0.309257,4779.615234,25.407000,0.435495,-0.075873
1.020,0.007,-0.275025,4785.705566,25.427000,0.381450,-0.026799
1.040,0.008,-0.240683,4790.435059,25.447001,0.327406,0.022275
1.060,0.008,-0.202145,4782.561035,25.466999,0.273361,0.071348
1.080,0.008,-0.156265,4739.696777,25.487000,0.219316,0.120422
1.100,0.008,-0.107032,4689.802734,25.577000,0.162148,0.160663
1.120,0.008,-0.060918,4661.030273,25.797001,0.099180,0.184499
1.140,0.008,-0.017884,4654.350586,26.017000,0.036213,0.208335
1.160,0.009,0.026903,4657.718262,26.237000,-0.026755,0.232170
1.180,0.009,0.075853,4668.697266,26.457001,-0.089722,0.256006
1.200,0.009,0.128088,4703.783203,26.670000,-0.132926,0.266726
