Time,Distance,AccelerometerY,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,-0.528014,5044.849121,29.178001,-0.668883,0.056422
0.020,0.000,-0.553441,5016.442871,29.218000,-0.652057,0.047117
0.040,0.000,-0.577134,5015.941406,29.258001,-0.635232,0.037813
0.060,0.000,-0.600180,5048.216797,29.298000,-0.618407,0.028508
0.080,0.001,-0.622573,5137.495605,29.281000,-0.599281,0.022957
0.100,0.001,-0.643927,5193.989746,29.261002,-0.580034,0.017603
0.120,0.001,-0.664474,5192.031250,29.241001,-0.560786,0.012249
0.140,0.001,-0.684497,5184.070313,29.221001,-0.541539,0.006896
0.160,0.001,-0.703658,5181.546387,29.201000,-0.522292,0.001542
0.180,0.001,-0.721361,5180.980957,29.219000,-0.525084,0.002607
0.200,0.002,-0.737484,5180.957031,29.239000,-0.529035,0.004009
0.220,0.002,-0.752414,3163.818604,29.259001,-0.532986,0.005411
0.240,0.002,-0.766382,4428.430176,29.278999,-0.536938,0.006813
0.260,0.002,-0.779722,4982.360352,29.299000,-0.540889,0.008215
0.280,0.002,-0.793014,5028.440430,29.319000,-0.555133,0.001868
0.300,0.002,-0.805654,5130.577148,29.338999,-0.569919,-0.004888
0.320,0.003,-0.816225,5135.895508,29.358999,-0.584705,-0.011644
0.340,0.003,-0.824692,4964.510742,29.379000,-0.599491,-0.018399
0.360,0.003,-0.832016,3615.420654,29.399000,-0.614277,-0.025155
0.380,0.003,-0.838432,5175.694336,29.362000,-0.613684,-0.031790
0.400,0.003,-0.843633,5179.389160,29.322001,-0.612282,-0.038418
0.420,0.003,-0.847529,5046.791992,29.282000,-0.610880,-0.045046
0.440,0.004,-0.850312,4955.331543,29.242001,-0.609478,-0.051674
0.460,0.004,-0.852042,4950.873047,29.202002,-0.608076,-0.058302
0.480,0.004,-0.851936,4967.966309,29.143000,-0.582698,-0.048462
0.500,0.004,-0.848812,4998.060059,29.083000,-0.556057,-0.037755
0.520,0.004,-0.842441,5073.414551,29.023001,-0.529417,-0.027048
0.540,0.004,-0.832757,5128.427734,28.962999,-0.502777,-0.016341
0.560,0.005,-0.817957,5183.911133,28.903000,-0.476137,-0.005634
0.580,0.005,-0.795408,5256.876953,28.919001,-0.429638,0.014276
0.600,0.005,-0.765105,5274.185547,28.938999,-0.382094,0.034671
0.620,0.005,-0.729558,5289.423340,28.959000,-0.334550,0.055065
0.640,0.005,-0.686689,5304.406250,28.979000,-0.287005,0.075459
0.660,0.005,-0.628851,5217.269043,28.999001,-0.239461,0.095853
0.680,0.006,-0.556367,5124.152344,29.094999,-0.179081,0.101596
0.700,0.006,-0.481142,5025.104980,29.195000,-0.118026,0.106567
0.720,0.006,-0.409644,5015.145020,29.295000,-0.056970,0.111538
0.740,0.006,-0.336582,4985.839355,29.395000,0.004085,0.116509
0.760,0.006,-0.257578,4886.895020,29.495001,0.065141,0.121480
0.780,0.006,-0.174726,4841.077148,29.594999,0.125833,0.105866
0.800,0.007,-0.091303,3792.474121,29.695000,0.186506,0.089168
0.820,0.007,-0.008705,2458.287598,29.795000,0.247179,0.072470
0.840,0.007,0.073247,3389.929932,29.895000,0.307852,0.055772
0.860,0.007,0.154815,4656.420898,29.995001,0.368526,0.039074
0.880,0.007,0.234940,4718.646973,29.980999,0.410066,0.015838
0.900,0.007,0.312137,4748.358887,29.961000,0.450600,-0.007743
0.920,0.008,0.385900,4775.642578,29.941000,0.491134,-0.031324
0.940,0.008,0.456241,4824.493652,29.921000,0.531667,-0.054905
0.960,0.008,0.522732,4919.417480,29.900999,0.572201,-0.078486
0.980,0.008,0.585052,4993.410645,29.805000,0.590454,-0.096134
1.000,0.008,0.642675,5041.218750,29.705000,0.607534,-0.113469
1.020,0.008,0.694305,5054.585938,29.605000,0.624615,-0.130804
1.040,0.008,0.741554,5059.705078,29.504999,0.641695,-0.148139
1.060,0.009,0.788823,5059.943848,29.404999,0.658775,-0.165474
1.080,0.009,0.834301,5052.531738,29.267000,0.672344,-0.171911
1.100,0.009,0.870505,5036.863770,29.127001,0.685727,-0.177775
1.120,0.009,0.896355,5021.840820,28.987000,0.699111,-0.183638
1.140,0.009,0.917099,5003.696777,28.847000,0.712495,-0.189501
1.160,0.009,0.935003,4955.434570,28.707001,0.725879,-0.195365
1.180,0.010,0.949361,4930.101563,28.567001,0.749313,-0.188514
1.200,0.010,0.960462,4898.041016,28.427000,0.773276,-0.180993
1.220,0.010,0.968947,4874.180664,28.287001,0.797240,-0.173473
1.240,0.010,0.974771,4851.530273,28.146999,0.821203,-0.165952
1.260,0.010,0.977870,4840.416504,28.007000,0.845166,-0.158432
1.280,0.010,0.978641,4839.891113,27.943001,0.856415,-0.137713
1.300,0.011,0.977429,3454.289795,27.882999,0.866995,-0.116298
1.320,0.011,0.974230,3854.071289,27.823000,0.877574,-0.094884
1.340,0.011,0.969221,4926.773926,27.763000,0.888154,-0.073470
1.360,0.011,0.962346,5175.392090,27.703001,0.898733,-0.052056
1.380,0.011,0.953181,5428.962402,27.719002,0.868384,-0.025920
1.400,0.011,0.942171,5581.240234,27.739000,0.835881,0.000465
1.420,0.011,0.929566,5601.286621,27.759001,0.803377,0.026851
1.440,0.012,0.913630,5483.967773,27.779001,0.770874,0.053236
1.460,0.012,0.893648,5287.918457,27.799002,0.738370,0.079621
