Time,Distance,AccelerometerY,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,-0.212820,4533.106445,16.158001,-0.370412,0.067206
0.020,0.000,-0.228611,4654.668945,16.198000,-0.393355,0.080590
0.040,0.000,-0.243565,4792.767578,16.238001,-0.416299,0.093973
0.060,0.000,-0.257550,4972.583496,16.278002,-0.439243,0.107357
0.080,0.000,-0.270669,5113.125977,16.354000,-0.451976,0.125100
0.100,0.000,-0.282252,5213.933594,16.474001,-0.452231,0.148171
0.120,0.001,-0.291774,5277.075195,16.594000,-0.452486,0.171242
0.140,0.001,-0.299435,5313.833008,16.714001,-0.452741,0.194313
0.160,0.001,-0.305604,5326.969238,16.834000,-0.452996,0.217385
0.180,0.001,-0.310370,5329.620117,16.990000,-0.444131,0.236326
0.200,0.001,-0.313580,5339.309082,17.190001,-0.424119,0.250219
0.220,0.001,-0.315444,5345.328125,17.389999,-0.404107,0.264113
0.240,0.001,-0.316690,5326.356445,17.590000,-0.384095,0.278007
0.260,0.001,-0.317610,5268.333496,17.789999,-0.364083,0.291900
0.280,0.001,-0.318024,5184.237305,17.990000,-0.345620,0.297133
0.300,0.001,-0.318311,5104.472168,18.190001,-0.329050,0.291779
0.320,0.002,-0.319065,5057.619141,18.389999,-0.312479,0.286426
0.340,0.002,-0.320339,4981.197754,18.590000,-0.295909,0.281072
0.360,0.002,-0.322002,4777.696777,18.789999,-0.279338,0.275719
0.380,0.002,-0.323715,4543.560059,18.990000,-0.268963,0.263539
0.400,0.002,-0.325072,4435.929688,19.190001,-0.266159,0.243018
0.420,0.002,-0.326697,4156.699707,19.389999,-0.263354,0.222496
0.440,0.002,-0.329720,2977.728760,19.590000,-0.260550,0.201974
0.460,0.002,-0.334076,1953.885498,19.789999,-0.257746,0.181452
0.480,0.002,-0.339068,2327.052002,19.927000,-0.257465,0.160472
0.500,0.003,-0.344665,3031.921875,19.987000,-0.260270,0.138930
0.520,0.003,-0.351021,3262.539795,20.047001,-0.263074,0.117389
0.540,0.003,-0.358128,3123.764648,20.107000,-0.265878,0.095847
0.560,0.003,-0.366117,3122.403320,20.167000,-0.268682,0.074306
0.580,0.003,-0.374694,3217.812500,20.204500,-0.270798,0.059303
0.600,0.003,-0.383087,3368.927734,20.214500,-0.272073,0.052292
0.620,0.003,-0.391059,3624.170166,20.224501,-0.273348,0.045282
0.640,0.003,-0.398861,3779.465088,20.234501,-0.274622,0.038271
0.660,0.003,-0.406673,3890.104492,20.244499,-0.275897,0.031261
0.680,0.004,-0.414909,3980.776855,20.254499,-0.277688,0.031592
0.700,0.004,-0.423858,3930.691895,20.264500,-0.280110,0.040897
0.720,0.004,-0.432658,3800.721924,20.274500,-0.282531,0.050202
0.740,0.004,-0.439949,3687.216309,20.284500,-0.284953,0.059507
0.760,0.004,-0.445472,3615.285156,20.294500,-0.287375,0.068812
0.780,0.004,-0.450118,3531.380127,20.354000,-0.289051,0.080813
0.800,0.004,-0.454667,3486.843994,20.474001,-0.289816,0.096108
0.820,0.004,-0.459027,3451.941162,20.594000,-0.290581,0.111404
0.840,0.004,-0.462595,3477.210693,20.714001,-0.291346,0.126700
0.860,0.005,-0.464896,3609.505371,20.834000,-0.292110,0.141996
0.880,0.005,-0.465688,3754.729004,20.954000,-0.283009,0.152875
0.900,0.005,-0.464826,3848.745117,21.073999,-0.261850,0.158356
0.920,0.005,-0.462223,3916.329346,21.194000,-0.240691,0.163837
0.940,0.005,-0.457697,3916.472900,21.313999,-0.219532,0.169318
0.960,0.005,-0.450842,3882.931396,21.434000,-0.198373,0.174799
0.980,0.005,-0.441217,3832.201416,21.563000,-0.155647,0.170242
1.000,0.005,-0.428613,3736.306396,21.703001,-0.086561,0.153416
1.020,0.006,-0.413133,3651.175293,21.843000,-0.017475,0.136591
1.040,0.006,-0.394891,3567.803467,21.983000,0.051611,0.119766
1.060,0.006,-0.372177,3530.623779,22.123001,0.120696,0.102940
1.080,0.006,-0.340547,3538.306396,22.209002,0.195461,0.083018
1.100,0.006,-0.298071,3554.141602,22.229000,0.277165,0.059309
1.120,0.006,-0.249957,3573.081787,22.249001,0.358870,0.035601
1.140,0.006,-0.201920,3601.137939,22.269001,0.440575,0.011893
1.160,0.006,-0.153003,3620.778564,22.289001,0.522280,-0.011816
1.180,0.007,-0.100559,3636.804932,22.255001,0.572150,-0.024855
1.200,0.007,-0.045846,3659.208252,22.155001,0.583112,-0.024855
1.220,0.007,0.009278,3679.963623,22.055000,0.594074,-0.024855
1.240,0.007,0.065075,3718.385254,21.955002,0.605036,-0.024855
1.260,0.007,0.121549,3760.612549,21.855001,0.615998,-0.024855
1.280,0.007,0.177550,3785.722656,21.818001,0.602181,-0.020209
1.300,0.007,0.232614,3826.087158,21.858002,0.558078,-0.009885
1.320,0.007,0.287093,3872.693115,21.898001,0.513975,0.000440
1.340,0.007,0.340609,3912.197266,21.938000,0.469873,0.010765
1.360,0.008,0.392104,4014.015625,21.978001,0.425770,0.021089
1.380,0.008,0.441138,4118.253906,22.022499,0.390156,0.030209
1.400,0.008,0.487924,4251.806641,22.072500,0.364918,0.037857
1.420,0.008,0.532302,4413.908691,22.122499,0.339680,0.045505
1.440,0.008,0.573422,4420.182129,22.172501,0.314442,0.053153
1.460,0.008,0.610263,4393.941406,22.222500,0.289204,0.060801
1.480,0.008,0.642132,4442.004395,22.272499,0.276299,0.070571
1.500,0.008,0.668885,4527.740723,22.322500,0.278466,0.082935
1.520,0.009,0.690870,4485.210938,22.372499,0.280632,0.095299
1.540,0.009,0.708357,4359.635742,22.422501,0.282799,0.107663
1.560,0.009,0.721280,4207.660645,22.472500,0.284966,0.120027
1.580,0.009,0.729884,4017.972656,22.554001,0.296483,0.126368
1.600,0.009,0.734948,3915.979004,22.674000,0.319426,0.125349
1.620,0.009,0.737178,3870.957520,22.794001,0.342370,0.124329
1.640,0.009,0.737032,3898.296875,22.914000,0.365313,0.123309
1.660,0.009,0.734775,3956.972412,23.034000,0.388257,0.122290
1.680,0.010,0.730397,4003.689941,23.145000,0.409824,0.121385
1.700,0.010,0.724235,4145.912109,23.245001,0.429709,0.120620
1.720,0.010,0.717330,4285.921387,23.345001,0.449593,0.119855
1.740,0.010,0.710508,4335.831543,23.445000,0.469477,0.119090
1.760,0.010,0.703876,4300.251953,23.545000,0.489362,0.118325
1.780,0.010,0.697212,4238.566895,23.618000,0.504887,0.128631
1.800,0.010,0.690103,4137.902832,23.658001,0.515084,0.152467
1.820,0.011,0.682401,3983.857910,23.698000,0.525281,0.176303
1.840,0.011,0.674722,3939.624512,23.738001,0.535479,0.200139
1.860,0.011,0.667578,4035.503418,23.778002,0.545676,0.223974
1.880,0.011,0.660792,4227.596191,23.908001,0.550539,0.265133
1.900,0.011,0.654506,4381.489746,24.148001,0.548881,0.327463
1.920,0.011,0.649385,4455.499023,24.388000,0.547224,0.389793
1.940,0.011,0.645787,4486.460938,24.628000,0.545567,0.452123
1.960,0.012,0.643812,4479.653809,24.868000,0.543910,0.514453
1.980,0.012,0.643182,4473.762207,25.233999,0.534567,0.578619
2.000,0.012,0.642788,4486.261719,25.754000,0.515830,0.645028
2.020,0.012,0.641839,4488.411621,26.274000,0.497093,0.711437
2.040,0.012,0.640612,4446.550293,26.794001,0.478355,0.777846
2.060,0.012,0.638846,4363.146973,27.314001,0.459618,0.844255
2.080,0.012,0.635396,4315.402344,27.996000,0.430155,0.874298
2.100,0.013,0.630230,4301.708984,28.875999,0.387582,0.859895
2.120,0.013,0.624182,4335.894531,29.756001,0.345008,0.845491
2.140,0.013,0.616862,4444.122070,30.636000,0.302435,0.831088
2.160,0.013,0.607330,4541.338867,31.516001,0.259862,0.816684
2.180,0.013,0.595795,4599.607910,32.198002,0.208284,0.749740
2.200,0.014,0.582849,4682.844238,32.638000,0.145698,0.618579
2.220,0.014,0.568395,4731.154297,33.077999,0.083113,0.487418
2.240,0.014,0.552100,4716.871582,33.518002,0.020528,0.356257
2.260,0.014,0.533742,4655.759766,33.958000,-0.042057,0.225096
2.280,0.014,0.513108,4593.111816,34.028999,-0.099250,0.097377
2.300,0.014,0.490012,4613.190430,33.649002,-0.149854,-0.026136
2.320,0.015,0.463979,4667.479004,33.269001,-0.200457,-0.149650
2.340,0.015,0.433901,4714.889160,32.889000,-0.251060,-0.273163
2.360,0.015,0.398617,4762.809082,32.508999,-0.301664,-0.396676
2.380,0.015,0.358428,4797.592285,32.084000,-0.336666,-0.469197
2.400,0.015,0.315660,4798.491699,31.604000,-0.352599,-0.479394
2.420,0.015,0.270888,4780.658203,31.123999,-0.368532,-0.489591
2.440,0.016,0.219404,4736.488281,30.643999,-0.384465,-0.499788
2.460,0.016,0.158297,4703.910645,30.164000,-0.400398,-0.509985
2.480,0.016,0.095027,4074.514648,29.782999,-0.405834,-0.485251
2.500,0.016,0.039304,3547.724854,29.523001,-0.398441,-0.417822
2.520,0.016,-0.008910,4285.459473,29.263000,-0.391048,-0.350393
2.540,0.016,-0.054519,4832.232422,29.003000,-0.383655,-0.282965
