Time,Distance,AccelerometerY,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,-0.435749,4451.343262,25.534000,-0.353051,-0.180528
0.020,0.000,-0.467882,4425.166016,25.394001,-0.345658,-0.190343
0.040,0.000,-0.501784,4361.745605,25.254000,-0.338265,-0.200157
0.060,0.000,-0.542480,4329.534180,25.114000,-0.330872,-0.209972
0.080,0.001,-0.587497,4324.263184,24.956001,-0.349635,-0.215657
0.100,0.001,-0.627615,4299.630859,24.796001,-0.371304,-0.220883
0.120,0.001,-0.660154,4243.184570,24.636002,-0.392973,-0.226109
0.140,0.001,-0.689737,4231.480957,24.476002,-0.414642,-0.231335
0.160,0.001,-0.718093,4147.870605,24.316002,-0.436311,-0.236561
0.180,0.001,-0.743396,4091.360840,24.156000,-0.469222,-0.237428
0.200,0.001,-0.764868,4070.629395,23.996000,-0.503383,-0.237810
0.220,0.001,-0.782420,4027.351074,23.836000,-0.537543,-0.238193
0.240,0.002,-0.795544,3992.496094,23.676001,-0.571704,-0.238575
0.260,0.002,-0.803930,3984.837402,23.516001,-0.605864,-0.238958
0.280,0.002,-0.807744,3983.069824,23.374001,-0.609510,-0.232916
0.300,0.002,-0.807551,3941.368164,23.234001,-0.609765,-0.226160
0.320,0.002,-0.803912,3918.837402,23.094000,-0.610020,-0.219405
0.340,0.002,-0.796944,3912.547852,22.954000,-0.610274,-0.212649
0.360,0.002,-0.786334,3932.706055,22.814001,-0.610529,-0.205893
0.380,0.003,-0.772229,3931.129639,22.674002,-0.575681,-0.192025
0.400,0.003,-0.755640,3896.449707,22.534000,-0.536931,-0.177367
0.420,0.003,-0.735878,3891.067871,22.394001,-0.498182,-0.162708
0.440,0.003,-0.710149,3896.625000,22.254000,-0.459433,-0.148050
0.460,0.003,-0.679590,3960.889160,22.114000,-0.420684,-0.133391
0.480,0.003,-0.649970,4003.068848,22.028000,-0.382164,-0.104049
0.500,0.003,-0.623122,4059.992920,21.948000,-0.343670,-0.073075
0.520,0.003,-0.595596,4163.188477,21.868000,-0.305175,-0.042101
0.540,0.003,-0.565820,4257.403320,21.788000,-0.266681,-0.011127
0.560,0.004,-0.535050,4345.345215,21.708000,-0.228187,0.019846
0.580,0.004,-0.503714,4373.719727,21.772001,-0.205638,0.053459
0.600,0.004,-0.471250,4469.765625,21.852001,-0.184862,0.087364
0.620,0.004,-0.437122,4523.616699,21.932001,-0.164085,0.121270
0.640,0.004,-0.400813,4302.305664,22.012001,-0.143308,0.155175
0.660,0.004,-0.362006,4200.511230,22.092001,-0.122531,0.189081
0.680,0.004,-0.320919,3993.801758,22.280001,-0.085235,0.194422
0.700,0.004,-0.278256,3839.653320,22.480000,-0.046104,0.196589
0.720,0.005,-0.234418,3802.187012,22.680000,-0.006972,0.198756
0.740,0.005,-0.188880,3816.995117,22.880001,0.032159,0.200922
0.760,0.005,-0.140902,3840.560791,23.080000,0.071291,0.203089
0.780,0.005,-0.091845,3927.228760,23.208000,0.129007,0.185754
0.800,0.005,-0.044457,4037.478027,23.328001,0.188788,0.166252
0.820,0.005,0.004170,4078.638428,23.448000,0.248569,0.146750
0.840,0.005,0.061785,4214.236816,23.568001,0.308350,0.127248
0.860,0.006,0.126808,4497.057617,23.688002,0.368130,0.107746
0.880,0.006,0.187611,4624.153320,23.718000,0.402214,0.100519
0.900,0.006,0.239608,4586.097656,23.738001,0.433443,0.094655
0.920,0.006,0.288231,4392.508301,23.758001,0.464672,0.088792
0.940,0.006,0.337059,4243.630371,23.778002,0.495901,0.082929
0.960,0.006,0.385115,4216.800781,23.798000,0.527130,0.077065
0.980,0.006,0.431226,4212.246094,23.854000,0.515913,0.074299
1.000,0.006,0.474924,4154.574219,23.914001,0.499980,0.071877
1.020,0.007,0.516139,4117.538086,23.974001,0.484047,0.069456
1.040,0.007,0.555163,4110.404297,24.034000,0.468114,0.067034
1.060,0.007,0.591940,4052.095215,24.094000,0.452181,0.064612
1.080,0.007,0.625935,4070.167480,24.153999,0.419728,0.054963
1.100,0.007,0.656660,4070.024170,24.214001,0.385440,0.044511
1.120,0.007,0.683771,4084.322998,24.274000,0.351152,0.034059
1.140,0.007,0.706989,4122.776367,24.334000,0.316864,0.023607
1.160,0.008,0.726366,4126.868652,24.393999,0.282576,0.013154
1.180,0.008,0.742026,4132.313965,24.382000,0.255630,0.008094
1.200,0.008,0.753988,4186.802246,24.362000,0.229500,0.003633
1.220,0.008,0.762544,4197.088379,24.342001,0.203370,-0.000828
1.240,0.008,0.767926,4178.076172,24.322001,0.177240,-0.005290
1.260,0.008,0.770180,4170.178223,24.302002,0.151109,-0.009751
1.280,0.008,0.769825,4168.108398,24.282001,0.142416,-0.001708
1.300,0.008,0.767648,4172.535156,24.262001,0.135661,0.007725
1.320,0.009,0.764077,4217.182617,24.242001,0.128905,0.017157
1.340,0.009,0.759135,4323.690430,24.222000,0.122149,0.026589
1.360,0.009,0.752570,4334.979492,24.202002,0.115394,0.036022
1.380,0.009,0.744310,4348.450195,24.254000,0.128599,0.046486
1.400,0.009,0.734648,4344.931152,24.314001,0.144022,0.057066
1.420,0.009,0.723915,4304.248535,24.374001,0.159446,0.067646
1.440,0.009,0.712520,4279.154297,24.434000,0.174869,0.078225
1.460,0.010,0.700996,4312.257324,24.493999,0.190292,0.088805
1.480,0.010,0.689634,4455.339844,24.590000,0.210189,0.095828
1.500,0.010,0.678269,4560.939453,24.690001,0.230583,0.102456
1.520,0.010,0.666343,4589.441406,24.790001,0.250978,0.109084
1.540,0.010,0.653339,4616.717285,24.889999,0.271372,0.115712
1.560,0.010,0.639095,4593.581055,24.990000,0.291766,0.122341
1.580,0.010,0.623623,4572.069336,25.072001,0.284743,0.135393
1.600,0.011,0.607208,4575.445313,25.152000,0.274673,0.149159
1.620,0.011,0.590198,4639.391113,25.232000,0.264604,0.162925
1.640,0.011,0.572389,4774.830566,25.312000,0.254534,0.176691
1.660,0.011,0.553771,4898.725586,25.392000,0.244464,0.190458
1.680,0.011,0.535014,4976.683594,25.544001,0.202732,0.216155
1.700,0.011,0.516070,4983.992188,25.704000,0.157483,0.243177
1.720,0.011,0.496299,5010.933594,25.864000,0.112233,0.270199
1.740,0.012,0.475919,5052.619141,26.024000,0.066983,0.297222
1.760,0.012,0.455923,5144.621582,26.184000,0.021733,0.324244
1.780,0.012,0.437212,5195.781250,26.470001,-0.023517,0.356085
1.800,0.012,0.418621,5213.854004,26.770000,-0.068767,0.388461
1.820,0.012,0.396822,5250.316895,27.070002,-0.114017,0.420837
1.840,0.012,0.371380,5298.053223,27.370001,-0.159267,0.453213
1.860,0.012,0.345830,5302.925781,27.670000,-0.204517,0.485589
1.880,0.013,0.321709,5335.886230,28.078001,-0.211451,0.507067
1.900,0.013,0.297292,5417.649414,28.498001,-0.214127,0.527334
1.920,0.013,0.271068,5517.182617,28.918001,-0.216804,0.547601
1.940,0.013,0.242051,5607.242188,29.338001,-0.219481,0.567867
1.960,0.013,0.209649,5711.281738,29.758001,-0.222158,0.588134
1.980,0.013,0.174492,5087.155762,30.196001,-0.178030,0.577427
2.000,0.014,0.137045,3786.072998,30.636002,-0.128701,0.563279
2.020,0.014,0.096836,5679.977539,31.076000,-0.079372,0.549130
2.040,0.014,0.054278,5943.005859,31.516001,-0.030043,0.534981
2.060,0.014,0.011024,5994.309082,31.955999,0.019286,0.520833
2.080,0.014,-0.032050,6125.226074,32.234001,0.042114,0.493148
2.100,0.015,-0.075276,6257.273926,32.493999,0.061999,0.463958
2.120,0.015,-0.118366,6298.768555,32.753998,0.081883,0.434769
2.140,0.015,-0.159349,5786.309570,33.014000,0.101768,0.405580
2.160,0.015,-0.196144,4106.519043,33.273998,0.121652,0.376390
2.180,0.015,-0.229656,5736.041504,33.498001,0.078442,0.344906
2.200,0.015,-0.262823,5878.232422,33.717999,0.028221,0.313168
2.220,0.016,-0.294877,5839.014160,33.938000,-0.022000,0.281429
2.240,0.016,-0.321361,5868.916992,34.158001,-0.072221,0.249690
2.260,0.016,-0.341301,5919.647461,34.378002,-0.122442,0.217952
2.280,0.016,-0.358529,5954.104492,34.507999,-0.186774,0.189196
2.300,0.016,-0.376363,6002.207031,34.628002,-0.252673,0.160771
2.320,0.017,-0.395966,5969.501465,34.748001,-0.318572,0.132347
2.340,0.017,-0.417921,5811.977539,34.868000,-0.384471,0.103922
2.360,0.017,-0.442026,5794.939941,34.987999,-0.450370,0.075497
2.380,0.017,-0.467187,4296.971680,35.018002,-0.476577,0.062674
2.400,0.017,-0.492802,4906.814453,35.038002,-0.498373,0.051585
2.420,0.018,-0.519321,6176.481934,35.058002,-0.520170,0.040496
2.440,0.018,-0.547214,4562.085938,35.078003,-0.541966,0.029406
2.460,0.018,-0.576167,5903.469727,35.098003,-0.563763,0.018317
2.480,0.018,-0.605665,6005.423340,35.118004,-0.548161,0.023058
2.500,0.018,-0.635729,5921.127930,35.138000,-0.528404,0.029559
2.520,0.019,-0.666427,5949.725586,35.158001,-0.508647,0.036060
2.540,0.019,-0.696703,5953.849609,35.178001,-0.488890,0.042561
2.560,0.019,-0.724816,5953.849609,35.198002,-0.469133,0.049061
2.580,0.019,-0.750441,5953.849609,35.218002,-0.441805,0.062674
2.600,0.019,-0.774173,3544.460693,35.237999,-0.413635,0.077078
2.620,0.020,-0.794178,4194.906738,35.257999,-0.385465,0.091481
2.640,0.020,-0.806663,6069.607910,35.278000,-0.357296,0.105885
2.660,0.020,-0.810408,6422.918945,35.298000,-0.329126,0.120288
2.680,0.020,-0.807752,6447.742188,35.389999,-0.308413,0.134577
2.700,0.020,-0.801047,6451.579590,35.489998,-0.288529,0.148853
2.720,0.021,-0.790377,6465.385254,35.590000,-0.268644,0.163129
2.740,0.021,-0.775147,5468.044922,35.689999,-0.248760,0.177405
2.760,0.021,-0.756275,2859.685059,35.790001,-0.228875,0.191681
2.780,0.021,-0.735327,2207.599121,35.944000,-0.213006,0.195059
2.800,0.021,-0.712889,2165.977051,36.104000,-0.197583,0.197226
2.820,0.022,-0.689319,2165.977051,36.264000,-0.182159,0.199393
2.840,0.022,-0.665406,2165.977051,36.424000,-0.166736,0.201560
2.860,0.022,-0.641651,2165.977051,36.584003,-0.151313,0.203727
2.880,0.022,-0.618352,2165.977051,36.726002,-0.139102,0.188456
2.900,0.022,-0.596078,2165.977051,36.866001,-0.127248,0.171249
2.920,0.023,-0.575456,2165.977051,37.006001,-0.115393,0.154041
2.940,0.023,-0.557111,2165.977051,37.146000,-0.103539,0.136833
2.960,0.023,-0.541584,2165.977051,37.285999,-0.091685,0.119626
2.980,0.023,-0.529092,2165.977051,37.335999,-0.090156,0.088766
3.000,0.023,-0.520162,1277.628662,37.375999,-0.089773,0.056390
3.020,0.024,-0.515729,586.786621,37.416000,-0.089391,0.024014
3.040,0.024,-0.515708,1479.991455,37.456001,-0.089008,-0.008362
3.060,0.024,-0.518980,5402.475098,37.495998,-0.088626,-0.040738
3.080,0.024,-0.524853,6620.664063,37.410000,-0.099486,-0.075637
3.100,0.024,-0.532954,6708.908203,37.310001,-0.111595,-0.110818
3.120,0.025,-0.542555,3235.049072,37.209999,-0.123704,-0.145998
3.140,0.025,-0.553019,2236.005371,37.110001,-0.135813,-0.181178
3.160,0.025,-0.564190,2167.887695,37.009998,-0.147922,-0.216358
3.180,0.025,-0.576123,2140.946289,36.820000,-0.165767,-0.237543
3.200,0.025,-0.588501,4298.850586,36.619999,-0.184250,-0.257172
3.220,0.026,-0.600682,5991.490723,36.419998,-0.202732,-0.276802
3.240,0.026,-0.612267,4444.830566,36.220001,-0.221215,-0.296431
3.260,0.026,-0.622931,6013.973633,36.020000,-0.239697,-0.316061
3.280,0.026,-0.632604,6402.298828,35.802002,-0.263915,-0.298751
3.300,0.026,-0.642050,6479.763184,35.582001,-0.288771,-0.277337
3.320,0.027,-0.651876,5760.291504,35.362000,-0.313626,-0.255923
3.340,0.027,-0.661648,3502.854492,35.142002,-0.338482,-0.234509
3.360,0.027,-0.670291,3260.987305,34.922001,-0.363337,-0.213095
3.380,0.027,-0.676061,3260.987305,34.810001,-0.391520,-0.152218
3.400,0.027,-0.676989,3260.987305,34.710003,-0.420072,-0.086956
3.420,0.028,-0.672006,3260.987305,34.610001,-0.448624,-0.021694
3.440,0.028,-0.660763,2107.524414,34.510002,-0.477176,0.043568
3.460,0.028,-0.642984,6501.498047,34.410000,-0.505728,0.108829
3.480,0.028,-0.618395,7003.957520,34.598000,-0.506060,0.164799
3.500,0.028,-0.586587,5358.958008,34.818001,-0.503255,0.219736
3.520,0.029,-0.546963,3730.948242,35.038002,-0.500451,0.274673
3.540,0.029,-0.499100,6475.161621,35.257999,-0.497647,0.329611
3.560,0.029,-0.443333,6604.454590,35.478001,-0.494843,0.384548
3.580,0.029,-0.380899,5964.453613,35.824001,-0.443283,0.380061
3.600,0.029,-0.312656,3956.239990,36.183998,-0.386307,0.368972
3.620,0.030,-0.238517,5857.644043,36.543999,-0.329330,0.357882
3.640,0.030,-0.159526,6010.168457,36.903999,-0.272353,0.346793
3.660,0.030,-0.078469,6000.980957,37.264000,-0.215377,0.335703
3.680,0.030,0.003210,4372.891602,37.444000,-0.136948,0.278842
3.700,0.030,0.084918,3106.456543,37.604000,-0.056135,0.216894
3.720,0.031,0.164665,2921.640625,37.764000,0.024677,0.154946
3.740,0.031,0.245527,4425.802734,37.924000,0.105490,0.092998
3.760,0.031,0.336109,5851.227051,38.084003,0.186302,0.031051
3.780,0.031,0.433439,5990.949707,37.956001,0.241877,-0.014722
