Time,Distance,AccelerometerY,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,-0.276552,4412.443848,27.288002,-0.721698,-0.078977
0.020,0.000,-0.313990,4426.201172,27.164001,-0.738561,-0.096057
0.040,0.000,-0.350599,4420.994141,27.004002,-0.751945,-0.110843
0.060,0.000,-0.385645,4405.095703,26.844000,-0.765329,-0.125629
0.080,0.001,-0.417218,4379.348145,26.684000,-0.778712,-0.140415
0.100,0.001,-0.447254,4361.052734,26.524000,-0.792096,-0.155201
0.120,0.001,-0.480488,4386.019531,26.398001,-0.777960,-0.145717
0.140,0.001,-0.515893,4392.763184,26.278000,-0.758968,-0.131951
0.160,0.001,-0.547119,4405.684570,26.157999,-0.739976,-0.118185
0.180,0.001,-0.572543,4424.552734,26.038000,-0.720984,-0.104419
0.200,0.001,-0.595783,4442.107910,25.917999,-0.701992,-0.090653
0.220,0.002,-0.618190,4449.153809,25.882999,-0.670431,-0.076020
0.240,0.002,-0.638220,4439.791504,25.863001,-0.636653,-0.061234
0.260,0.002,-0.655195,4437.187988,25.843000,-0.602875,-0.046448
0.280,0.002,-0.669800,4449.360840,25.823000,-0.569097,-0.031662
0.300,0.002,-0.682623,4456.135742,25.803001,-0.535319,-0.016876
0.320,0.002,-0.693436,4459.519531,25.834002,-0.513784,-0.014117
0.340,0.002,-0.701801,4474.319824,25.874001,-0.494409,-0.013479
0.360,0.003,-0.707899,4478.746094,25.914000,-0.475035,-0.012842
0.380,0.003,-0.712174,4474.749512,25.954000,-0.455660,-0.012205
0.400,0.003,-0.714735,4473.985352,25.993999,-0.436285,-0.011567
0.420,0.003,-0.715654,3331.007568,25.948999,-0.432404,-0.013855
0.440,0.003,-0.715292,2367.320801,25.889000,-0.431257,-0.016659
0.460,0.003,-0.713833,3408.448242,25.829000,-0.430110,-0.019464
0.480,0.003,-0.711075,4426.073730,25.769001,-0.428963,-0.022268
0.500,0.004,-0.707158,4576.623535,25.709002,-0.427815,-0.025072
0.520,0.004,-0.702624,4554.952637,25.708500,-0.423093,-0.018125
0.540,0.004,-0.697406,4550.892578,25.718500,-0.417739,-0.009458
0.560,0.004,-0.690877,4536.410645,25.728500,-0.412386,-0.000790
0.580,0.004,-0.682563,4515.177246,25.738501,-0.407032,0.007877
0.600,0.004,-0.671827,4575.087402,25.748501,-0.401679,0.016545
0.620,0.004,-0.657989,4602.076172,25.758501,-0.381265,0.032688
0.640,0.005,-0.641105,4597.291504,25.768501,-0.358194,0.050151
0.660,0.005,-0.621389,4602.991699,25.778502,-0.335123,0.067614
0.680,0.005,-0.598443,4619.527832,25.788502,-0.312052,0.085076
0.700,0.005,-0.571940,4626.151367,25.798502,-0.288981,0.102539
0.720,0.005,-0.542113,4627.385254,25.902000,-0.255726,0.115668
0.740,0.005,-0.509037,4661.452148,26.022001,-0.220673,0.128032
0.760,0.005,-0.472076,4689.914063,26.142000,-0.185620,0.140396
0.780,0.006,-0.430494,4658.148438,26.261999,-0.150567,0.152760
0.800,0.006,-0.384473,4628.157715,26.382000,-0.115515,0.165124
0.820,0.006,-0.335004,4628.985840,26.518999,-0.076236,0.163403
0.840,0.006,-0.284055,4642.997559,26.659000,-0.036213,0.159197
0.860,0.006,-0.233622,4672.653809,26.799000,0.003811,0.154991
0.880,0.006,-0.180260,4691.418945,26.939001,0.043835,0.150784
0.900,0.007,-0.116672,4703.353027,27.079000,0.083859,0.146578
0.920,0.007,-0.045268,4719.236328,27.168001,0.119007,0.133487
0.940,0.007,0.021925,4725.939941,27.248001,0.153295,0.118829
0.960,0.007,0.080830,4728.574707,27.328001,0.187583,0.104171
0.980,0.007,0.137763,4725.525879,27.408001,0.221871,0.089512
1.000,0.007,0.196015,4715.048340,27.488001,0.256159,0.074854
1.020,0.007,0.252897,4704.507324,27.508499,0.276037,0.066588
1.040,0.008,0.306056,4702.143066,27.518499,0.293373,0.059450
1.060,0.008,0.355689,4706.195313,27.528500,0.310708,0.052312
1.080,0.008,0.402731,4703.281738,27.538500,0.328043,0.045174
1.100,0.008,0.447300,4690.997070,27.548500,0.345378,0.038036
1.120,0.008,0.489053,4688.807617,27.558500,0.354912,0.037507
1.140,0.008,0.528124,4685.535645,27.568501,0.363070,0.038144
1.160,0.009,0.565076,4693.488770,27.578501,0.371228,0.038781
1.180,0.009,0.600442,4721.656250,27.588501,0.379386,0.039419
1.200,0.009,0.634079,4751.535645,27.598501,0.387543,0.040056
1.220,0.009,0.665046,4770.188965,27.668001,0.406319,0.034626
1.240,0.009,0.692808,4792.457031,27.748001,0.426968,0.028125
1.260,0.009,0.718869,4786.199219,27.828001,0.447617,0.021625
1.280,0.009,0.745646,4740.898926,27.908001,0.468267,0.015124
1.300,0.010,0.772191,4685.702637,27.988001,0.488916,0.008623
1.320,0.010,0.794417,4668.521973,27.966000,0.523758,-0.004595
1.340,0.010,0.811117,4669.134766,27.926001,0.561105,-0.018998
1.360,0.010,0.824599,4687.382324,27.886002,0.598452,-0.033402
1.380,0.010,0.835837,4735.333984,27.846001,0.635800,-0.047805
