Time,Distance,AccelerometerY,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,-0.210577,3887.867432,23.451000,-0.458407,0.186207
0.020,0.000,-0.232676,3899.562744,23.604000,-0.468598,0.183734
0.040,0.000,-0.255490,3970.649902,23.764000,-0.481599,0.175194
0.060,0.000,-0.279333,4043.520508,23.924000,-0.494600,0.166654
0.080,0.001,-0.305422,4125.554688,24.084002,-0.507602,0.158114
0.100,0.001,-0.333602,4208.807129,24.244001,-0.520603,0.149573
0.120,0.001,-0.363543,4140.976074,24.339001,-0.537002,0.132500
0.140,0.001,-0.397304,4081.337402,24.399000,-0.555229,0.110831
0.160,0.001,-0.434863,3999.502197,24.459002,-0.573456,0.089162
0.180,0.001,-0.471053,3950.475830,24.519001,-0.591684,0.067493
0.200,0.001,-0.502333,3959.400635,24.579000,-0.609911,0.045824
0.220,0.001,-0.530333,4043.783447,24.587000,-0.626067,0.030617
0.240,0.002,-0.556714,4118.277832,24.566999,-0.641108,0.018890
0.260,0.002,-0.581196,4196.387207,24.547001,-0.656149,0.007164
0.280,0.002,-0.603612,4272.816895,24.527000,-0.671190,-0.004563
0.300,0.002,-0.623545,4302.345703,24.507000,-0.686231,-0.016290
0.320,0.002,-0.640191,4306.453613,24.487000,-0.689921,-0.016666
0.340,0.002,-0.653757,4259.967285,24.466999,-0.687499,-0.010930
0.360,0.002,-0.664899,4156.214355,24.447001,-0.685077,-0.005194
0.380,0.003,-0.673404,4101.551270,24.427000,-0.682655,0.000542
0.400,0.003,-0.678998,4098.796875,24.407000,-0.680233,0.006278
0.420,0.003,-0.682452,4168.809082,24.426001,-0.651962,0.010357
0.440,0.003,-0.684592,4242.109375,24.466000,-0.609771,0.013543
0.460,0.003,-0.685332,4281.765137,24.506001,-0.567580,0.016730
0.480,0.003,-0.684442,4302.401367,24.546000,-0.525389,0.019916
0.500,0.003,-0.681913,4288.086914,24.586000,-0.483199,0.023103
0.520,0.004,-0.677744,4274.496582,24.613001,-0.420212,0.014193
0.540,0.004,-0.672489,4222.580078,24.633001,-0.346028,-0.001230
0.560,0.004,-0.666740,4190.010254,24.653000,-0.271843,-0.016653
0.580,0.004,-0.659856,4187.574219,24.673000,-0.197659,-0.032076
0.600,0.004,-0.651035,4260.301758,24.693001,-0.123475,-0.047500
0.620,0.004,-0.640491,4307.488770,24.609001,-0.061884,-0.059940
0.640,0.004,-0.628163,4308.062012,24.469000,-0.007074,-0.070775
0.660,0.004,-0.613253,4300.928711,24.329000,0.047736,-0.081609
0.680,0.005,-0.595645,4292.608887,24.189001,0.102545,-0.092443
0.700,0.005,-0.576141,4285.873535,24.049000,0.157355,-0.103278
0.720,0.005,-0.555450,4283.867188,23.961000,0.168916,-0.094394
0.740,0.005,-0.533702,4330.751953,23.901001,0.157189,-0.074892
0.760,0.005,-0.510734,4383.217773,23.841000,0.145463,-0.055390
0.780,0.005,-0.486614,4368.687988,23.781000,0.133736,-0.035887
0.800,0.005,-0.461690,4352.972168,23.721001,0.122009,-0.016385
0.820,0.006,-0.436120,4362.700684,23.739000,0.091144,0.010325
0.840,0.006,-0.409783,4347.136230,23.799000,0.049973,0.040916
0.860,0.006,-0.383152,4340.385254,23.859001,0.008802,0.071508
0.880,0.006,-0.357438,4357.789063,23.919001,-0.032369,0.102099
0.900,0.006,-0.331792,4419.584961,23.979000,-0.073541,0.132691
0.920,0.006,-0.302571,4458.134277,24.104000,-0.092093,0.153754
0.940,0.006,-0.269190,4475.426270,24.264000,-0.098466,0.169687
0.960,0.006,-0.236491,4481.118652,24.424000,-0.104839,0.185620
0.980,0.007,-0.207437,4471.564941,24.584002,-0.111213,0.201553
1.000,0.007,-0.179462,4446.685547,24.744001,-0.117586,0.217487
1.020,0.007,-0.149717,4439.862793,24.917002,-0.096618,0.218506
1.040,0.007,-0.117855,4441.980469,25.097000,-0.060928,0.211496
1.060,0.007,-0.084130,4452.330078,25.277000,-0.025238,0.204485
1.080,0.007,-0.048677,4464.423828,25.457001,0.010452,0.197475
1.100,0.007,-0.011502,4476.110840,25.637001,0.046142,0.190464
1.120,0.008,0.027692,4483.411621,25.765001,0.084069,0.175583
1.140,0.008,0.068819,4491.285645,25.865002,0.123201,0.156463
1.160,0.008,0.111313,4505.655762,25.965000,0.162333,0.137343
1.180,0.008,0.154902,4497.487305,26.065001,0.201464,0.118223
1.200,0.008,0.199579,4480.179688,26.165001,0.240596,0.099104
1.220,0.008,0.245379,4482.289063,26.182667,0.262743,0.080316
1.240,0.008,0.291856,4483.865234,26.156000,0.275744,0.061706
1.260,0.009,0.337505,4477.615723,26.129333,0.288746,0.043096
1.280,0.009,0.382916,4466.764648,26.102667,0.301747,0.024486
1.300,0.009,0.432448,4421.272949,26.076000,0.314748,0.005876
1.320,0.009,0.486377,4399.666016,26.049334,0.320044,-0.009751
1.340,0.009,0.536824,4399.633789,26.022667,0.321192,-0.023772
1.360,0.009,0.577988,4415.198730,25.996000,0.322339,-0.037793
1.380,0.010,0.612392,4476.763672,25.969334,0.323486,-0.051814
1.400,0.010,0.643735,4516.944824,25.942667,0.324633,-0.065835
1.420,0.010,0.672097,4524.946289,25.916000,0.332408,-0.073477
1.440,0.010,0.696932,4543.591797,25.889334,0.343753,-0.077683
1.460,0.010,0.718745,4516.483398,25.862667,0.355097,-0.081889
1.480,0.010,0.737582,4441.072754,25.836000,0.366442,-0.086096
1.500,0.010,0.752748,4402.500000,25.809334,0.377786,-0.090302
1.520,0.011,0.764276,4353.473633,25.761002,0.390870,-0.084649
1.540,0.011,0.773017,4310.418457,25.701000,0.404891,-0.073687
1.560,0.011,0.779227,4307.146484,25.641001,0.418912,-0.062725
1.580,0.011,0.782650,4282.060059,25.580999,0.432933,-0.051763
1.600,0.011,0.783523,4251.917969,25.521000,0.446954,-0.040801
1.620,0.011,0.782190,4236.814941,25.545500,0.448216,-0.026857
1.640,0.011,0.778491,4227.739258,25.615499,0.442608,-0.011306
1.660,0.012,0.772541,4204.667480,25.685501,0.437000,0.004245
1.680,0.012,0.765160,4195.813965,25.755501,0.431391,0.019795
1.700,0.012,0.756763,4196.928711,25.825500,0.425783,0.035346
1.720,0.012,0.747348,4182.542480,25.895500,0.404184,0.038635
1.740,0.012,0.737958,4179.557129,25.965500,0.373975,0.035321
1.760,0.012,0.729925,4191.746094,26.035501,0.343766,0.032006
1.780,0.012,0.722706,4171.157715,26.105501,0.313557,0.028692
1.800,0.013,0.714636,4187.709473,26.175501,0.283347,0.025378
1.820,0.013,0.705095,4199.436523,26.122002,0.254298,0.010216
1.840,0.013,0.694437,4201.378906,26.002001,0.225874,-0.011325
1.860,0.013,0.682717,4234.307617,25.882000,0.197449,-0.032867
1.880,0.013,0.669579,4302.186523,25.762001,0.169024,-0.054408
1.900,0.013,0.654775,4329.884277,25.642000,0.140600,-0.075950
1.920,0.013,0.638153,4357.208008,25.535000,0.128414,-0.088377
1.940,0.014,0.619581,4386.617188,25.434999,0.124973,-0.095898
1.960,0.014,0.599090,4398.463379,25.335001,0.121531,-0.103418
1.980,0.014,0.576772,4404.721191,25.235001,0.118090,-0.110939
2.000,0.014,0.552903,4374.141602,25.135000,0.114648,-0.118459
2.020,0.014,0.528042,4340.226074,25.061001,0.125043,-0.113303
2.040,0.014,0.502542,4326.611816,25.001001,0.142888,-0.101321
2.060,0.014,0.476594,4325.544922,24.941000,0.160733,-0.089340
2.080,0.014,0.450691,4324.932129,24.881001,0.178578,-0.077358
2.100,0.015,0.425314,4317.838379,24.821001,0.196423,-0.065376
2.120,0.015,0.400674,4314.128418,24.806501,0.211865,-0.054058
2.140,0.015,0.376806,4274.424805,24.816502,0.226014,-0.043096
2.160,0.015,0.353520,4264.003418,24.826500,0.240162,-0.032134
2.180,0.015,0.330867,4234.769043,24.836500,0.254311,-0.021172
2.200,0.015,0.309079,4213.910645,24.846500,0.268460,-0.010210
2.220,0.015,0.287663,4201.156250,24.856501,0.262309,-0.005710
2.240,0.016,0.265766,4176.229004,24.866501,0.245229,-0.004691
2.260,0.016,0.242219,4158.849609,24.876499,0.228149,-0.003671
2.280,0.016,0.214686,4145.577637,24.886499,0.211069,-0.002651
2.300,0.016,0.182406,4113.135254,24.896500,0.193988,-0.001631
2.320,0.016,0.148704,4094.847656,24.886999,0.157935,-0.000197
2.340,0.016,0.116619,4165.505371,24.867001,0.111665,0.001460
2.360,0.016,0.085152,4209.125488,24.847000,0.065396,0.003117
2.380,0.017,0.052480,4226.377930,24.827002,0.019126,0.004774
2.400,0.017,0.018830,4236.003418,24.807001,-0.027143,0.006431
2.420,0.017,-0.014881,4265.770996,24.832500,-0.067945,0.013142
2.440,0.017,-0.048250,4336.484375,24.882502,-0.105802,0.022574
2.460,0.017,-0.080917,4390.096191,24.932501,-0.143659,0.032006
2.480,0.017,-0.112290,4431.017578,24.982502,-0.181516,0.041439
2.500,0.017,-0.141956,4644.940430,25.032501,-0.219373,0.050871
2.520,0.018,-0.169849,4900.517090,25.082500,-0.233120,0.060221
2.540,0.018,-0.195913,5111.207520,25.132502,-0.233884,0.069526
2.560,0.018,-0.219715,5149.923340,25.182501,-0.234649,0.078831
2.580,0.018,-0.240571,5071.806152,25.232502,-0.235414,0.088136
2.600,0.018,-0.258671,4855.526855,25.282501,-0.236179,0.097440
2.620,0.018,-0.275243,4628.333008,25.339001,-0.226670,0.102686
2.640,0.018,-0.290521,4475.131836,25.399000,-0.211629,0.105745
2.660,0.019,-0.303689,4367.573242,25.459002,-0.196588,0.108804
2.680,0.019,-0.315201,4290.968750,25.519001,-0.181548,0.111863
2.700,0.019,-0.326083,4344.995117,25.579000,-0.166507,0.114922
2.720,0.019,-0.336019,4531.052734,25.652000,-0.167374,0.120053
2.740,0.019,-0.344906,4613.405273,25.732000,-0.176806,0.126298
2.760,0.019,-0.354081,4703.727539,25.812000,-0.186238,0.132544
2.780,0.019,-0.364611,4777.641113,25.892000,-0.195671,0.138790
2.800,0.020,-0.376484,4804.900391,25.972000,-0.205103,0.145036
2.820,0.020,-0.389330,4778.540527,26.077999,-0.235248,0.155755
2.840,0.020,-0.402778,4758.835938,26.198000,-0.276547,0.168884
2.860,0.020,-0.416814,4701.068359,26.318001,-0.317845,0.182013
2.880,0.020,-0.431785,4645.943359,26.438000,-0.359144,0.195142
2.900,0.020,-0.447600,4666.372070,26.558001,-0.400442,0.208271
2.920,0.020,-0.463617,4689.970215,26.743000,-0.439835,0.222062
2.940,0.021,-0.479475,4773.548828,26.963001,-0.478202,0.236211
2.960,0.021,-0.495332,4920.770996,27.183001,-0.516569,0.250360
2.980,0.021,-0.511349,5047.149902,27.403000,-0.554936,0.264508
3.000,0.021,-0.527125,5117.393555,27.623001,-0.593303,0.278657
3.020,0.021,-0.541609,5183.218262,27.817001,-0.611039,0.289243
3.040,0.021,-0.554421,5237.658203,27.997000,-0.617667,0.297910
3.060,0.021,-0.566751,5250.858398,28.177000,-0.624296,0.306578
