Time,Distance,AccelerometerY,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,-0.520938,4326.102539,26.983000,-0.791822,-0.066422
0.020,0.000,-0.554715,4311.150879,26.976000,-0.837563,-0.092214
0.040,0.000,-0.581716,4313.141113,26.816000,-0.872361,-0.095146
0.060,0.000,-0.606407,4353.473633,26.656000,-0.907158,-0.098077
0.080,0.001,-0.631074,4384.507324,26.496000,-0.941956,-0.101009
0.100,0.001,-0.653963,4393.185059,26.336000,-0.976754,-0.103941
0.120,0.001,-0.673715,4405.238770,26.197001,-1.004344,-0.104215
0.140,0.001,-0.691160,4399.267578,26.177000,-0.991088,-0.089429
0.160,0.001,-0.707309,4395.812500,26.157001,-0.977831,-0.074643
0.180,0.001,-0.722076,4369.555664,26.137001,-0.964575,-0.059857
0.200,0.001,-0.735116,4353.664551,26.117001,-0.951319,-0.045071
0.220,0.002,-0.746202,4357.438477,26.097000,-0.932001,-0.032350
0.240,0.002,-0.755033,4372.207031,26.077000,-0.878339,-0.031331
0.260,0.002,-0.761703,4376.505859,26.057001,-0.824676,-0.030311
0.280,0.002,-0.766514,4392.715332,26.037001,-0.771014,-0.029291
0.300,0.002,-0.769556,4399.816895,26.017000,-0.717351,-0.028271
0.320,0.002,-0.771377,4406.695801,25.997000,-0.662102,-0.029603
0.340,0.002,-0.772528,4411.106445,25.976999,-0.597859,-0.044262
0.360,0.003,-0.772267,4425.237793,25.957001,-0.533617,-0.058920
0.380,0.003,-0.769920,4433.318848,25.937000,-0.469375,-0.073579
0.400,0.003,-0.766427,4429.608398,25.917000,-0.405133,-0.088237
0.420,0.003,-0.762719,4407.309082,25.879000,-0.343529,-0.102265
0.440,0.003,-0.758792,4420.229980,25.739000,-0.296877,-0.112717
0.460,0.003,-0.754945,4434.209961,25.599001,-0.250225,-0.123169
0.480,0.003,-0.751387,4424.632324,25.459000,-0.203573,-0.133621
0.500,0.004,-0.747246,4427.061035,25.319000,-0.156921,-0.144073
0.520,0.004,-0.741701,4433.421875,25.182001,-0.115719,-0.150185
0.540,0.004,-0.734896,4422.037109,25.062000,-0.105394,-0.131703
0.560,0.004,-0.727043,4424.576660,24.942001,-0.095069,-0.113220
0.580,0.004,-0.717503,4442.657227,24.822001,-0.084745,-0.094738
0.600,0.004,-0.704855,4488.610352,24.702000,-0.074420,-0.076256
0.620,0.004,-0.687778,4508.091797,24.606001,-0.066887,-0.054523
0.640,0.005,-0.666181,4515.846191,24.646000,-0.075172,-0.014371
0.660,0.005,-0.640746,4538.217773,24.686001,-0.083457,0.025780
0.680,0.005,-0.610823,4533.448730,24.726002,-0.091742,0.065931
0.700,0.005,-0.575375,4508.513672,24.766001,-0.100028,0.106083
0.720,0.005,-0.534868,4504.397949,24.830002,-0.104623,0.143538
0.740,0.005,-0.487041,4510.512207,25.030001,-0.088307,0.165717
0.760,0.005,-0.426676,4496.349121,25.230001,-0.071992,0.187896
0.780,0.006,-0.356640,4479.964355,25.430000,-0.055676,0.210074
0.800,0.006,-0.288084,4489.390625,25.630001,-0.039361,0.232253
0.820,0.006,-0.224960,4568.471191,25.827002,-0.018017,0.248658
0.840,0.006,-0.161777,4617.839844,26.007002,0.031822,0.232342
0.860,0.006,-0.096161,4637.273438,26.187000,0.081660,0.216027
0.880,0.006,-0.031020,4617.608887,26.367001,0.131499,0.199712
0.900,0.006,0.032357,4585.189941,26.547001,0.181338,0.183396
0.920,0.007,0.094702,4548.591309,26.709002,0.232304,0.164308
0.940,0.007,0.155362,4513.855957,26.769001,0.289663,0.129510
0.960,0.007,0.212821,4522.215820,26.829000,0.347022,0.094713
0.980,0.007,0.266355,4544.841797,26.889000,0.404381,0.059915
1.000,0.007,0.315838,4561.775879,26.948999,0.461740,0.025117
1.020,0.007,0.361688,4568.017578,26.988001,0.515543,-0.008514
1.040,0.007,0.404743,4581.265137,26.908001,0.549194,-0.035537
1.060,0.008,0.445079,4575.946777,26.828001,0.582844,-0.062559
1.080,0.008,0.482021,4532.541504,26.748001,0.616495,-0.089582
1.100,0.008,0.515178,4465.347168,26.668001,0.650146,-0.116604
1.120,0.008,0.545070,4382.627930,26.582001,0.676951,-0.140950
1.140,0.008,0.573564,4349.437500,26.462000,0.664970,-0.150128
1.160,0.008,0.601825,4315.521973,26.342001,0.652988,-0.159305
1.180,0.008,0.627416,4298.149902,26.222000,0.641007,-0.168482
1.200,0.009,0.647069,4299.288574,26.101999,0.629025,-0.177660
1.220,0.009,0.661074,4300.753418,25.979000,0.610217,-0.184581
1.240,0.009,0.671496,4260.675781,25.839001,0.552731,-0.178718
1.260,0.009,0.679433,4242.205566,25.699001,0.495244,-0.172854
1.280,0.009,0.685786,4235.501953,25.559000,0.437758,-0.166991
1.300,0.009,0.690967,4217.755859,25.419001,0.380271,-0.161128
1.320,0.009,0.694155,4197.008789,25.285002,0.321944,-0.153544
1.340,0.010,0.695176,4187.072754,25.185001,0.258849,-0.136208
1.360,0.010,0.695106,4159.987793,25.085001,0.195754,-0.118873
1.380,0.010,0.694251,4197.087891,24.985001,0.132659,-0.101538
1.400,0.010,0.692076,4216.012207,24.885000,0.069564,-0.084203
1.420,0.010,0.688645,4260.388672,24.803001,0.011383,-0.066638
1.440,0.010,0.684236,4251.719238,24.823000,-0.018954,-0.047774
1.460,0.010,0.679116,4251.958008,24.843000,-0.049290,-0.028909
1.480,0.011,0.674191,4258.653320,24.863001,-0.079627,-0.010044
1.500,0.011,0.669761,4262.204102,24.882999,-0.109963,0.008821
