Time,Distance,AccelerometerY,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,-0.170812,4544.204590,27.375000,-0.721927,0.025812
0.020,0.000,-0.208736,4534.770508,27.395000,-0.740409,0.019438
0.040,0.000,-0.244819,4535.646484,27.414999,-0.736044,0.010197
0.060,0.000,-0.279498,4577.085449,27.434999,-0.724062,0.000000
0.080,0.001,-0.314106,4642.766602,27.455000,-0.712080,-0.010197
0.100,0.001,-0.348493,4678.155273,27.475000,-0.700099,-0.020394
0.120,0.001,-0.381193,4684.763184,27.495001,-0.688117,-0.030591
0.140,0.001,-0.413530,4653.435547,27.440001,-0.674893,-0.039928
0.160,0.001,-0.450097,4615.578613,27.360001,-0.661254,-0.048978
0.180,0.001,-0.491278,4547.827148,27.280001,-0.647615,-0.058028
0.200,0.002,-0.530666,4491.978516,27.200001,-0.633977,-0.067078
0.220,0.002,-0.564281,4476.174805,27.120001,-0.620338,-0.076128
0.240,0.002,-0.595299,4492.256836,27.055000,-0.621612,-0.079442
0.260,0.002,-0.627150,4484.415039,26.995001,-0.627858,-0.080844
0.280,0.002,-0.659122,4510.329102,26.935001,-0.634104,-0.082246
0.300,0.002,-0.689472,4566.098633,26.875000,-0.640350,-0.083648
0.320,0.002,-0.717819,4601.367676,26.815001,-0.646595,-0.085051
0.340,0.003,-0.744362,4629.670410,26.785002,-0.653128,-0.086261
0.360,0.003,-0.769000,4628.993652,26.765001,-0.659756,-0.087409
0.380,0.003,-0.791309,4581.822266,26.745001,-0.666384,-0.088556
0.400,0.003,-0.810804,4363.003418,26.725000,-0.673012,-0.089703
0.420,0.003,-0.827448,2935.883789,26.705000,-0.679641,-0.090850
0.440,0.003,-0.841716,2278.869629,26.625000,-0.664186,-0.097542
0.460,0.003,-0.853683,3618.493652,26.525002,-0.641369,-0.106082
0.480,0.004,-0.862894,4348.274902,26.425001,-0.618553,-0.114622
0.500,0.004,-0.869401,4497.113281,26.325001,-0.595737,-0.123162
0.520,0.004,-0.873421,4528.401367,26.225000,-0.572921,-0.131703
0.540,0.004,-0.874240,4559.769531,26.125000,-0.526301,-0.141007
0.560,0.004,-0.871215,4596.272461,26.025002,-0.471746,-0.150567
0.580,0.004,-0.864856,4586.718750,25.925001,-0.417191,-0.160127
0.600,0.004,-0.855700,4564.267578,25.825001,-0.362636,-0.169687
0.620,0.005,-0.843524,4467.019531,25.725000,-0.308082,-0.179247
0.640,0.005,-0.827897,4395.327148,25.550001,-0.251710,-0.176761
0.660,0.005,-0.808245,4375.900879,25.350000,-0.194734,-0.170261
0.680,0.005,-0.784087,4349.628418,25.150002,-0.137757,-0.163760
0.700,0.005,-0.755831,4327.894043,24.950001,-0.080780,-0.157259
0.720,0.005,-0.724162,4332.431641,24.750000,-0.023804,-0.150759
0.740,0.005,-0.688723,4301.302734,24.685001,0.008317,-0.131256
0.760,0.006,-0.648748,4289.201172,24.665001,0.032153,-0.107421
0.780,0.006,-0.604649,4275.826172,24.645000,0.055989,-0.083585
0.800,0.006,-0.557480,4292.823730,24.625000,0.079825,-0.059749
0.820,0.006,-0.507408,4299.949219,24.605000,0.103661,-0.035913
0.840,0.006,-0.454423,4272.959961,24.615000,0.108186,-0.017717
0.860,0.006,-0.399451,4226.584961,24.635000,0.106274,-0.001402
0.880,0.006,-0.344161,4201.228027,24.655001,0.104362,0.014914
0.900,0.007,-0.290293,4208.631836,24.675001,0.102450,0.031229
