Time,Distance,AccelerometerY,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,-0.163741,4855.845703,28.584000,-0.880754,0.072655
0.020,0.000,-0.223345,4870.367188,28.616001,-0.888071,0.072527
0.040,0.000,-0.281880,4875.494141,28.636000,-0.879658,0.076351
0.060,0.000,-0.337940,4912.689941,28.656000,-0.871245,0.080175
0.080,0.001,-0.391223,4952.592285,28.676001,-0.862833,0.083999
0.100,0.001,-0.442060,4958.356445,28.696001,-0.854420,0.087823
0.120,0.001,-0.489676,4925.905762,28.748001,-0.825307,0.089404
0.140,0.001,-0.534830,4916.129395,28.808001,-0.791019,0.090423
0.160,0.001,-0.581023,4880.653320,28.868000,-0.756731,0.091443
0.180,0.001,-0.627651,4856.864746,28.927999,-0.722443,0.092463
0.200,0.002,-0.668286,4870.303223,28.988001,-0.688155,0.093483
0.220,0.002,-0.699995,4881.226563,29.063999,-0.659374,0.079920
0.240,0.002,-0.726436,4897.276855,29.143999,-0.631969,0.062713
0.260,0.002,-0.751063,4901.767090,29.223999,-0.604564,0.045505
0.280,0.002,-0.774270,4908.104004,29.303999,-0.577159,0.028297
0.300,0.002,-0.795513,4903.263672,29.383999,-0.549754,0.011090
0.320,0.003,-0.814444,4912.116699,29.351999,-0.549270,-0.012746
0.340,0.003,-0.831325,4920.460449,29.292000,-0.555516,-0.038239
0.360,0.003,-0.846908,4924.441406,29.232000,-0.561761,-0.063732
0.380,0.003,-0.861578,4926.479492,29.172001,-0.568007,-0.089225
0.400,0.003,-0.875030,4891.671875,29.112000,-0.574253,-0.114718
0.420,0.003,-0.886790,4864.666504,28.956001,-0.557555,-0.138987
0.440,0.004,-0.896920,4839.986816,28.776001,-0.535121,-0.162951
0.460,0.004,-0.905740,4835.464355,28.596001,-0.512688,-0.186914
0.480,0.004,-0.913063,4858.520508,28.416000,-0.490254,-0.210877
0.500,0.004,-0.918518,4921.447266,28.236000,-0.467820,-0.234840
0.520,0.004,-0.922472,4949.121582,28.104000,-0.426624,-0.242794
0.540,0.004,-0.925952,4926.479004,27.984001,-0.380736,-0.246746
0.560,0.004,-0.929400,4895.907227,27.864000,-0.334849,-0.250697
0.580,0.005,-0.931932,4893.073242,27.744001,-0.288962,-0.254648
0.600,0.005,-0.932336,4900.748047,27.624001,-0.243075,-0.258600
0.620,0.005,-0.930132,4910.875000,27.472000,-0.186480,-0.253374
0.640,0.005,-0.925264,4930.555664,27.312000,-0.127209,-0.245853
0.660,0.005,-0.917385,4946.923828,27.152000,-0.067938,-0.238333
0.680,0.005,-0.905380,4949.917480,26.992001,-0.008667,-0.230813
0.700,0.006,-0.887992,4949.917480,26.832001,0.050604,-0.223292
