Time,Distance,Pant,Ppost,LongAcc,LatAcc,LoggerTemp,Battery,RPM,TPS1,TPS2,MAP1,MAP2,DFARF,DMAP,EFI_AE,EFI_DE,WHEELSPD,DRAXSSPD,SLIP,OSASLIP,TEROGBASE,TEROG,SABASE,SA,NTK1,NTK2,KFUELLEARN,CLC1,CLC2,GEARSHIFTT,OILPRESS,FUELPRESS,BATTVOLTDI,BATTVOLTKE,WATERTEMP,OILTEMP,FUELTEMP,AIRTEMP01,AIRTEMP02,KFUELCAL,FUELUSED,FUELLEFT,GPS_Speed,GPS_Nsat,GPS_LatAcc,GPS_LonAcc,GPS_Slope,GPS_Heading,GPS_Gyro,GPS_Latitude,GPS_Longitude,GPS_Elevation
0.000,0.000,0.021973,0.000000,-0.275071,0.037933,28.974030,13.633484,6434.500000,99.999985,0.000000,1.657500,1.658200,0.000000,0.000000,0.000000,0.000000,170.510010,0.000000,0.000000,0.000000,15918.000000,15918.000000,29.000000,29.000000,0.804688,0.812500,0.000000,0.000000,0.000000,0.000000,4.927100,4.657800,0.000000,13.591401,74.141182,99.176476,48.980392,49.325493,-10.000000,1.000000,2196.550049,0.000000,160.210007,9.000000,0.053089,0.261430,-0.435815,22.306805,0.603574,43.960884844999,12.683432592317,15.31
0.100,0.004,0.000000,0.000000,-0.291513,0.034282,28.974030,13.628540,6405.700195,93.176453,0.000000,1.586400,1.592700,0.000000,0.000000,0.000000,0.000000,169.800003,0.000000,0.000000,0.000000,14791.000000,14791.000000,28.950001,28.950001,0.803125,0.813281,0.000000,0.000000,0.000000,0.000000,4.831400,4.515000,0.000000,13.626557,74.580399,99.145103,48.980392,49.545101,-10.000000,1.000000,2197.100098,0.000000,161.339996,8.900000,0.048437,0.287050,-0.440972,22.375559,0.656286,43.960923124512,12.683454202450,15.27
0.200,0.009,0.000000,0.000000,-0.184179,0.036364,28.974030,13.628540,6370.700195,28.627447,0.000000,0.845200,0.845200,0.000000,0.000000,0.000000,0.000000,170.500000,0.000000,0.000000,0.000000,7511.000000,7511.000000,27.850000,27.850000,0.792188,0.815625,0.000000,0.000000,0.000000,0.000000,4.850600,4.164300,0.000000,13.693355,73.325493,98.831375,48.980392,48.917648,-10.000000,1.000000,2198.100098,0.000000,162.710007,8.000000,0.041554,0.300434,-0.440972,22.442022,0.553154,43.960961682625,12.683475975962,15.23
0.300,0.014,0.000000,0.000000,-0.005050,0.042353,28.974030,13.628540,5797.000000,3.921568,0.000000,0.366300,0.366300,6.700000,0.000000,0.000000,0.000000,168.619995,0.000000,0.000000,0.000000,3185.000000,3185.000000,22.150000,22.150000,0.812500,0.770312,0.000000,0.000000,0.000000,0.000000,4.821600,3.732300,0.000000,14.009761,72.227455,98.517654,48.980392,48.384315,-10.000000,1.000000,2199.000000,0.000000,163.819992,8.200000,0.030273,0.295208,-0.440972,22.485569,0.353765,43.961000001354,12.683497613383,15.20
0.400,0.018,0.002441,-0.004883,0.086126,0.045313,28.974030,13.630737,5424.100098,42.117638,0.000000,1.049500,1.049800,60.700001,0.000000,0.000000,0.000000,167.980011,0.000000,0.000000,0.000000,8701.000000,8701.000000,23.975000,23.975000,0.753125,0.748438,0.000000,0.000000,0.000000,0.000000,4.730600,4.229400,0.000000,13.992183,72.541183,98.203926,48.980392,48.698040,-10.000000,1.000000,2199.000000,0.000000,165.010010,10.000000,0.021032,0.276471,-0.440972,22.508486,0.223130,43.961038558215,12.683519384689,15.16
0.500,0.023,0.021973,-0.048828,0.025933,0.030048,28.974030,13.650513,5301.500000,99.999985,0.000000,1.670700,1.672600,3.600000,0.000000,0.000000,0.000000,169.020004,0.000000,0.000000,0.000000,15862.000000,15862.000000,28.250000,28.250000,0.861719,0.821094,0.000000,0.000000,0.000000,0.000000,4.502500,4.559000,0.000000,13.816401,72.886276,98.015686,49.011765,49.011765,-10.000000,1.000000,2199.050049,0.000000,166.080002,10.000000,0.015168,0.249385,-0.440399,22.530258,0.158959,43.961077627253,12.683541458930,15.12
0.600,0.027,0.002441,-0.043945,-0.114419,0.010349,28.974030,13.650513,5251.299805,99.999985,0.000000,1.710500,1.703300,0.000000,0.000000,0.000000,0.000000,172.080002,0.000000,0.000000,0.000000,16254.000000,16254.000000,28.275000,28.275000,0.946094,0.961719,0.000000,0.000000,0.000000,0.000000,4.440600,4.671400,0.000000,13.658198,73.513733,98.956863,49.325493,49.325493,-10.000000,1.000000,2199.550049,0.000000,166.860001,10.100000,0.014212,0.219813,-0.435242,22.541718,0.142916,43.961117107818,12.683563791101,15.08
0.700,0.032,0.021973,0.000000,-0.236204,0.018676,28.974030,13.650513,5329.100098,99.999985,0.000000,1.688500,1.688500,0.000000,0.000000,0.000000,0.000000,173.660004,0.000000,0.000000,0.000000,16366.000000,16366.000000,28.500000,28.500000,0.878906,0.895312,0.000000,0.000000,0.000000,0.000000,4.576900,4.789600,0.000000,13.649409,74.047066,99.866669,49.607845,49.576473,-10.000000,1.000000,2200.050049,0.000000,167.470001,11.000000,0.016252,0.194830,-0.434669,22.554323,0.188753,43.961156657439,12.683586198886,15.04
0.800,0.037,0.002441,0.000000,-0.292365,0.043857,28.974030,13.651062,5357.600098,99.999985,0.000000,1.692500,1.693700,0.000000,0.000000,0.000000,0.000000,173.380005,0.000000,0.000000,0.000000,16254.000000,16254.000000,28.500000,28.500000,0.843750,0.865625,0.000000,0.000000,0.000000,0.000000,4.600300,4.758200,0.000000,13.577339,73.733337,100.494125,49.607845,49.262745,-10.000000,1.000000,2200.550049,0.000000,168.139999,11.000000,0.019502,0.181191,-0.429513,22.578386,0.234590,43.961195693317,12.683608382699,15.00
0.900,0.041,0.207520,0.388184,-0.290851,0.050887,28.974030,13.656006,5366.100098,99.999985,0.000000,1.690200,1.700800,0.000000,0.000000,0.000000,0.000000,174.180008,0.000000,0.000000,0.000000,16387.000000,16387.000000,28.500000,28.500000,0.842969,0.851563,0.000000,0.000000,0.000000,0.000000,4.418800,4.667500,0.000000,13.642378,73.419609,100.901970,49.576473,48.949020,-10.000000,1.000000,2201.100098,0.000000,168.559998,11.000000,0.023199,0.177558,-0.429513,22.611618,0.278134,43.961234801130,12.683630664401,14.96
