Time,Distance,Pant,Ppost,LongAcc,LatAcc,LoggerTemp,Battery,RPM,TPS1,TPS2,MAP1,MAP2,DFARF,DMAP,EFI_AE,EFI_DE,WHEELSPD,DRAXSSPD,SLIP,OSASLIP,TEROGBASE,TEROG,SABASE,SA,NTK1,NTK2,KFUELLEARN,CLC1,CLC2,GEARSHIFTT,OILPRESS,FUELPRESS,BATTVOLTDI,BATTVOLTKE,WATERTEMP,OILTEMP,FUELTEMP,AIRTEMP01,AIRTEMP02,KFUELCAL,FUELUSED,FUELLEFT,GPS_Speed,GPS_Nsat,GPS_LatAcc,GPS_LonAcc,GPS_Slope,GPS_Heading,GPS_Gyro,GPS_Latitude,GPS_Longitude,GPS_Elevation
0.000,0.000,-0.219727,-0.094727,-0.006928,0.039055,33.124420,13.508184,6239.149902,5.450980,0.000000,0.518890,0.518890,0.000000,0.000000,0.000000,0.000000,165.156006,0.000000,0.000000,0.000000,5168.100098,5168.100098,22.209999,22.209999,0.758750,0.758984,0.000000,0.000000,0.000000,0.000000,4.494980,3.935710,0.000000,13.550620,80.989807,115.518440,54.000004,55.254906,-10.000000,1.000000,4361.984863,0.000000,158.481995,9.000000,0.055403,0.163563,-0.406422,22.893398,0.673704,43.960840672844,12.683416554512,15.37
0.100,0.004,-0.219727,-0.002930,-0.055384,0.032921,33.124420,13.507690,5877.009766,51.054893,0.000000,0.746870,0.746870,107.669998,0.000000,0.000000,0.000000,164.029999,0.000000,0.000000,0.000000,2793.000000,2793.000000,22.000000,22.000000,0.742656,0.742656,0.000000,0.000000,0.000000,0.000000,4.463110,3.617150,0.000000,13.825542,80.980392,115.490204,54.000004,54.950592,-10.000000,1.000000,4362.484863,0.000000,158.985001,9.000000,0.040591,0.183575,-0.412152,22.951382,0.465377,43.960877745563,12.683438144093,15.33
0.200,0.009,-0.196045,-0.142090,-0.227432,0.039113,33.124420,13.523676,5058.959961,98.576454,0.000000,1.653220,1.653220,35.340000,0.000000,0.000000,0.000000,168.365005,0.000000,0.000000,0.000000,15834.700195,15834.700195,27.820000,27.820000,0.871016,0.795234,0.000000,0.000000,0.000000,0.000000,4.012890,4.685670,0.000000,13.646421,80.980392,115.490204,54.000004,54.636864,-10.000000,1.000000,4362.984863,0.000000,159.776001,9.000000,0.034588,0.213860,-0.412324,22.986446,0.392497,43.960915621043,12.683460256386,15.30
0.300,0.013,-0.195313,-0.004395,-0.298557,0.053872,33.124420,13.524170,5213.450195,99.999985,0.000000,1.695550,1.695550,0.990000,0.000000,0.000000,0.000000,171.216003,0.000000,0.000000,0.000000,16104.200195,16104.200195,28.485001,28.485001,0.965937,0.978750,0.000000,0.000000,0.000000,0.000000,3.963110,4.564770,0.000000,13.521265,80.371765,116.098831,54.000004,54.627453,-10.000000,1.000000,4363.000000,0.000000,160.867004,8.030000,0.034416,0.241979,-0.406766,23.031939,0.412665,43.960953821800,12.683482597575,15.27
0.400,0.018,-0.195313,0.000000,-0.232392,0.056805,33.124420,13.518842,5270.410156,99.999985,0.000000,1.674660,1.674660,0.000000,0.000000,0.000000,0.000000,169.748001,0.000000,0.000000,0.000000,16100.000000,16100.000000,28.500000,28.500000,0.862656,0.870703,0.000000,0.000000,0.000000,0.000000,3.937750,4.548360,0.000000,13.534624,79.744316,116.726280,54.000004,54.627453,-10.000000,1.000000,4363.000000,0.000000,161.870010,8.000000,0.035652,0.262603,-0.406594,23.077776,0.435583,43.960991881451,12.683504886924,15.24
0.500,0.022,-0.195313,-0.071045,-0.198419,0.048750,33.124420,13.518677,5318.560059,99.999985,0.000000,1.678850,1.678850,0.000000,0.000000,0.000000,0.000000,172.028000,0.000000,0.000000,0.000000,16371.599609,16371.599609,28.500000,28.500000,0.836641,0.859609,0.000000,0.000000,0.000000,0.000000,4.032060,4.761400,0.000000,13.586304,79.725494,116.745102,54.000004,54.627453,-10.000000,1.000000,4363.970215,0.000000,162.870010,8.000000,0.037545,0.274960,-0.401037,23.123611,0.458501,43.961029973145,12.683527223811,15.21
0.600,0.027,-0.171631,-0.002197,-0.254976,0.043002,33.124420,13.518677,5331.640137,99.999985,0.000000,1.697430,1.697430,0.000000,0.000000,0.000000,0.000000,172.973007,0.000000,0.000000,0.000000,16380.000000,16380.000000,28.500000,28.500000,0.820781,0.836641,0.000000,0.000000,0.000000,0.000000,3.975830,4.530350,0.000000,13.553784,79.725494,116.745102,54.000004,54.627453,-10.000000,1.000000,4364.970215,0.000000,163.870010,9.940000,0.038839,0.280887,-0.395307,23.169449,0.481420,43.961068394052,12.683549780667,15.18
0.700,0.031,-0.194580,-0.047363,-0.317005,0.015556,33.124420,13.518677,5343.640137,99.999985,0.000000,1.699940,1.698000,0.000000,0.000000,0.000000,0.000000,173.291000,0.000000,0.000000,0.000000,16380.000000,16380.000000,28.500000,28.500000,0.820313,0.835938,0.000000,0.000000,0.000000,0.000000,4.044810,4.819820,0.000000,13.637983,80.029808,117.658043,54.304317,54.627453,-10.000000,1.000000,4365.484863,0.000000,164.870010,10.000000,0.038259,0.282914,-0.389578,23.226400,0.459876,43.961107596884,12.683572826273,15.16
0.800,0.036,-0.218994,-0.048828,-0.341304,-0.032500,33.124420,13.518677,5441.000000,99.999985,0.000000,1.716490,1.714490,0.000000,0.000000,0.000000,0.000000,177.665009,0.000000,0.000000,0.000000,16515.800781,16515.800781,28.742500,28.742500,0.812734,0.820781,0.000000,0.000000,0.000000,0.000000,4.082890,4.745580,0.000000,13.538316,80.343529,118.599220,54.618042,54.627453,-10.000000,1.000000,4365.984863,0.000000,165.773010,10.000000,0.035148,0.284826,-0.389406,23.272581,0.436958,43.961147065633,12.683596059330,15.13
0.900,0.041,-0.219727,-0.072510,-0.347335,-0.045276,33.124420,13.518677,5388.709961,99.999985,0.000000,1.710210,1.710150,0.000000,0.000000,0.000000,0.000000,175.763000,0.000000,0.000000,0.000000,16384.199219,16384.199219,28.750000,28.750000,0.820078,0.827891,0.000000,0.000000,0.000000,0.000000,4.036470,4.695470,0.000000,13.586304,80.657257,117.714516,54.323139,54.627453,-10.000000,1.000000,4366.484863,0.000000,166.673004,10.000000,0.030725,0.289211,-0.383848,23.307302,0.369578,43.961186346655,12.683619201063,15.11
