Time,Distance,Pant,Ppost,LongAcc,LatAcc,LoggerTemp,Battery,RPM,TPS1,TPS2,MAP1,MAP2,DFARF,DMAP,EFI_AE,EFI_DE,WHEELSPD,DRAXSSPD,SLIP,OSASLIP,TEROGBASE,TEROG,SABASE,SA,NTK1,NTK2,KFUELLEARN,CLC1,CLC2,GEARSHIFTT,OILPRESS,FUELPRESS,BATTVOLTDI,BATTVOLTKE,WATERTEMP,OILTEMP,FUELTEMP,AIRTEMP01,AIRTEMP02,KFUELCAL,FUELUSED,FUELLEFT,GPS_Speed,GPS_Nsat,GPS_LatAcc,GPS_LonAcc,GPS_Slope,GPS_Heading,GPS_Gyro,GPS_Latitude,GPS_Longitude,GPS_Elevation
0.000,0.000,-0.119629,-0.095215,-0.018772,0.091738,31.415436,13.529663,5955.899902,1.733333,0.000000,0.395060,0.395060,0.000000,0.000000,0.000000,0.000000,163.406006,0.000000,0.000000,0.000000,4495.399902,4495.399902,22.139999,22.139999,0.796719,0.796875,0.000000,0.000000,0.000000,0.000000,4.425020,3.760060,0.000000,13.856832,79.725494,114.862747,54.000004,54.621178,-10.000000,1.000000,3491.979980,0.000000,158.076004,8.000000,-0.015066,0.236816,-0.377832,22.070974,-0.226069,43.960846694175,12.683424497876,15.36
0.100,0.004,-0.002441,0.021973,-0.037345,0.140220,31.415436,13.529663,5761.799805,87.247040,0.000000,1.203980,1.201040,101.919998,21.559999,117.599998,0.000000,163.104004,0.000000,0.000000,0.000000,10581.200195,10698.799805,28.860001,28.860001,0.743281,0.743281,0.000000,0.000000,0.000000,0.000000,4.281940,4.232980,0.000000,13.714097,80.647850,115.785103,54.000004,54.934906,-10.000000,1.000000,3492.000000,0.000000,159.374008,9.960000,-0.018418,0.253323,-0.389176,22.048285,-0.295740,43.960884572424,12.683445281823,15.33
0.200,0.009,0.047852,0.000488,-0.155892,0.206443,31.415436,13.540430,5219.000000,99.780380,0.000000,1.690420,1.686440,6.000000,0.440000,2.400000,0.000000,166.725998,0.000000,0.000000,0.000000,15992.200195,15994.599609,28.020000,28.264999,1.017812,0.987188,0.000000,0.000000,0.000000,0.000000,3.943840,4.613441,0.000000,13.521441,81.589027,116.726280,54.000004,55.248631,-10.000000,1.000000,3492.000000,0.000000,160.281998,10.000000,-0.014110,0.268644,-0.389406,22.014135,-0.274655,43.960922281229,12.683465918256,15.30
0.300,0.013,0.000977,0.000000,-0.247513,0.266827,31.415436,13.540649,5185.459961,99.999985,0.000000,1.714700,1.714620,0.080000,0.000000,0.000000,0.000000,168.368011,0.000000,0.000000,0.000000,16511.599609,16511.599609,28.245001,28.250000,0.908594,0.915625,0.000000,0.000000,0.000000,0.000000,3.961500,4.680780,0.000000,13.569253,80.992943,116.745102,54.000004,54.947453,-10.000000,1.000000,3492.489990,0.000000,161.378006,10.000000,0.007839,0.275196,-0.389406,21.990990,0.017782,43.960960303781,12.683486705885,15.26
0.400,0.018,0.023926,0.000000,-0.268809,0.309960,31.415436,13.546033,5235.959961,99.999985,0.000000,1.693440,1.693440,0.000000,0.000000,0.000000,0.000000,170.360016,0.000000,0.000000,0.000000,16245.599609,16245.599609,28.250000,28.250000,0.837344,0.837500,0.000000,0.000000,0.000000,0.000000,4.058041,4.778040,0.000000,13.621987,80.365494,116.745102,54.000004,54.633728,-10.000000,1.000000,3492.989990,0.000000,162.380005,10.000000,0.043886,0.274074,-0.389406,22.012991,0.472940,43.960998990913,12.683507924380,15.24
0.500,0.022,0.000488,0.000000,-0.287628,0.349121,31.415436,13.546143,5306.580078,99.999985,0.000000,1.674380,1.674380,0.000000,0.000000,0.000000,0.000000,172.164001,0.000000,0.000000,0.000000,16102.799805,16102.799805,28.495001,28.495001,0.820625,0.828281,0.000000,0.000000,0.000000,0.000000,3.975720,4.635941,0.000000,13.657495,80.967850,116.130203,54.000004,54.934906,-10.000000,1.000000,3493.489990,0.000000,163.183990,10.000000,0.090831,0.266554,-0.389406,22.092060,1.066066,43.961037985086,12.683529437743,15.21
0.600,0.027,0.000000,0.000000,-0.316263,0.364547,31.415436,13.540759,5296.240234,99.999985,0.000000,1.685760,1.685760,0.000000,0.000000,0.000000,0.000000,171.318008,0.000000,0.000000,0.000000,16237.200195,16374.400391,28.500000,28.500000,0.812656,0.835781,0.000000,0.000000,0.000000,0.000000,4.010260,4.717280,0.000000,13.589293,81.595299,115.502754,54.000004,55.248631,-10.000000,1.000000,3493.989990,0.000000,163.886002,10.980000,0.142990,0.256408,-0.389406,22.228422,1.751782,43.961076957171,12.683551123578,15.18
0.700,0.032,0.000000,0.000000,-0.331913,0.316219,31.415436,13.540649,5379.299805,99.999985,0.000000,1.683060,1.683060,0.000000,0.000000,0.000000,0.000000,173.651993,0.000000,0.000000,0.000000,16171.400391,16174.200195,28.500000,28.500000,0.812500,0.820625,0.000000,0.000000,0.000000,0.000000,4.059021,4.611200,0.000000,13.553432,80.992943,114.875298,54.000004,54.640003,-10.000000,1.000000,3494.979980,0.000000,164.880005,11.000000,0.195875,0.249958,-0.389406,22.433313,2.439331,43.961115601924,12.683572871370,15.15
0.800,0.036,0.000000,0.000000,-0.324103,0.241066,31.415436,13.529882,5418.240234,99.999985,0.000000,1.699660,1.697700,0.000000,0.000000,0.000000,0.000000,175.072006,0.000000,0.000000,0.000000,16375.799805,16238.599609,28.745001,28.745001,0.804844,0.820313,0.000000,0.000000,0.000000,0.000000,4.060000,4.644280,0.000000,13.501051,80.365494,114.247849,54.000004,54.012554,-10.000000,1.000000,3495.979980,0.000000,165.880005,11.000000,0.236281,0.259199,-0.383791,22.718187,2.947201,43.961154405831,12.683595126672,15.13
0.900,0.041,-0.095703,-0.047852,-0.273199,0.203192,31.415436,13.529663,5375.879883,99.999985,0.000000,1.686280,1.691140,0.000000,0.000000,0.000000,0.000000,174.120010,0.000000,0.000000,0.000000,16174.200195,16171.400391,28.504999,28.504999,0.804688,0.812656,0.000000,0.000000,0.000000,0.000000,4.095280,4.681260,0.000000,13.603354,80.352943,115.772552,54.307453,54.307453,-10.000000,1.000000,3496.489990,0.000000,166.880005,11.000000,0.260193,0.281875,-0.383676,23.038357,3.226804,43.961193838757,12.683618122581,15.10
