Time,Distance,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,5478.978516,28.676001,0.142225,0.347647
0.050,0.000,5609.519531,29.276001,0.219341,0.355932
0.100,0.001,5681.271973,29.924002,0.231603,0.359934
0.150,0.001,5651.627930,30.574001,0.241163,0.363758
0.200,0.002,5730.090820,31.224001,0.220743,0.344639
0.250,0.002,5823.765137,31.874001,0.199074,0.324563
0.300,0.003,5901.755859,32.380001,0.187806,0.284603
0.350,0.003,5856.960449,32.880001,0.176972,0.243814
0.400,0.004,5922.487305,33.188000,0.189999,0.198743
0.450,0.004,6125.631836,33.487999,0.204020,0.153493
0.500,0.004,6276.206055,33.740002,0.239761,0.119868
0.550,0.005,6199.445801,33.990002,0.276407,0.086727
0.600,0.005,5977.152832,34.096001,0.315500,0.069188
0.650,0.006,5907.695313,34.195999,0.354696,0.052299
0.700,0.006,5887.303223,34.296001,0.372171,0.053153
0.750,0.007,6375.812988,34.396000,0.388741,0.054746
0.800,0.007,7009.643555,34.496002,0.382368,0.078365
0.850,0.008,6722.654785,34.596001,0.375039,0.102902
0.900,0.008,6611.621582,34.792000,0.375664,0.155277
0.950,0.009,6883.372070,34.992001,0.376620,0.208813
1.000,0.009,6959.354492,35.480000,0.398072,0.267548
1.050,0.010,6878.237305,35.980000,0.420378,0.326501
1.100,0.010,7062.625977,36.720001,0.434731,0.341095
1.150,0.011,7088.492188,37.470001,0.448752,0.353842
1.200,0.011,7135.216309,38.028000,0.422698,0.317642
1.250,0.012,7006.078125,38.578003,0.394974,0.279402
1.300,0.012,6885.686523,38.888000,0.332989,0.232292
1.350,0.013,6714.407227,39.188000,0.269575,0.184811
1.400,0.013,6506.979980,39.487999,0.198513,0.114387
1.450,0.014,6640.693359,39.787998,0.127133,0.043007
1.500,0.015,6730.895508,39.751999,0.096440,-0.078238
1.550,0.015,6560.414551,39.702000,0.067442,-0.201559
1.600,0.016,6494.262695,39.076000,0.089531,-0.325187
1.650,0.016,6342.398438,38.426003,0.113749,-0.448828
1.700,0.017,6104.395020,37.440002,0.108906,-0.493542
1.750,0.017,6012.689453,36.440002,0.102851,-0.534968
1.800,0.018,5885.081543,35.536003,-0.014862,-0.493186
1.850,0.018,5680.054688,34.636002,-0.137228,-0.447936
1.900,0.019,5583.613770,33.976002,-0.345250,-0.350374
1.950,0.019,5510.983398,33.326000,-0.556841,-0.250633
2.000,0.020,5328.371094,33.155998,-0.717651,-0.119077
2.050,0.020,5276.825195,33.006001,-0.876344,0.013805
2.100,0.020,5320.482910,33.431999,-0.795506,0.058889
2.150,0.021,5198.508301,33.882000,-0.704687,0.100315
2.200,0.021,5120.557129,33.804001,-0.364854,-0.053433
2.250,0.022,5148.651855,33.704002,-0.014646,-0.215313
2.300,0.022,5120.258301,32.788002,0.224516,-0.339259
2.350,0.023,4984.296387,31.838001,0.459051,-0.461625
2.400,0.023,4938.616211,31.032001,0.434476,-0.424916
2.450,0.024,4991.858398,30.232000,0.399104,-0.381578
2.500,0.024,4915.291016,29.768002,0.264005,-0.303977
2.550,0.024,4822.934082,29.318001,0.124750,-0.224949
2.600,0.025,4782.667969,29.012001,0.030464,-0.187220
2.650,0.025,4848.826660,28.712000,-0.061948,-0.151211
2.700,0.026,4876.867676,28.508001,-0.119179,-0.117956
2.750,0.026,5046.164551,28.308001,-0.174945,-0.084815
2.800,0.026,5503.959961,28.156000,-0.213273,-0.019247
2.850,0.027,5635.119629,28.006001,-0.250876,0.047672
2.900,0.027,5440.109375,28.240000,-0.276853,0.100213
2.950,0.028,4995.689453,28.490000,-0.302346,0.152155
3.000,0.028,4703.120605,28.836000,-0.352924,0.116911
3.050,0.028,4555.526367,29.186001,-0.404547,0.078034
3.100,0.029,4459.185059,28.960001,-0.497774,-0.027226
3.150,0.029,4506.008789,28.710001,-0.592735,-0.135252
3.200,0.030,4814.919434,28.460001,-0.671177,-0.201368
3.250,0.030,5006.643555,28.210001,-0.748930,-0.265738
3.300,0.030,5080.823730,27.720001,-0.745310,-0.231909
3.350,0.031,5062.533203,27.220001,-0.738300,-0.193988
3.400,0.031,4892.291504,27.056000,-0.653281,-0.132818
3.450,0.031,4498.299805,26.906000,-0.565012,-0.070679
3.500,0.032,4203.470215,26.852001,-0.432385,-0.054733
3.550,0.032,4099.752930,26.802002,-0.297910,-0.040712
3.600,0.033,4442.464355,26.704000,-0.142633,-0.042598
3.650,0.033,4898.589844,26.604000,0.013511,-0.045148
3.700,0.033,5004.309082,26.456001,0.144570,-0.036072
3.750,0.034,4991.665527,26.306002,0.274584,-0.026512
3.800,0.034,4580.907227,26.348000,0.363300,-0.030107
3.850,0.034,4072.330322,26.397999,0.450294,-0.034250
3.900,0.035,3812.411865,26.304001,0.513427,-0.065924
3.950,0.035,3920.718506,26.204000,0.575566,-0.098747
4.000,0.035,4410.591797,25.960001,0.634340,-0.123921
4.050,0.036,4587.072754,25.710001,0.692974,-0.148776
4.100,0.036,4641.312012,25.412001,0.734476,-0.139675
4.150,0.037,4616.962891,25.112000,0.775265,-0.129160
4.200,0.037,4262.132813,25.004000,0.790357,-0.105184
4.250,0.037,3941.230469,24.903999,0.804378,-0.080647
4.300,0.038,3816.575439,24.804001,0.804939,-0.082418
4.350,0.038,3634.089111,24.704000,0.804939,-0.085286
4.400,0.038,3824.776367,24.412001,0.798514,-0.097332
4.450,0.039,4298.979980,24.112000,0.791823,-0.109760
4.500,0.039,4401.559570,23.908001,0.723948,-0.109033
4.550,0.039,4545.815430,23.708000,0.653524,-0.107758
4.600,0.040,4331.078125,23.604000,0.509068,-0.129427
4.650,0.040,3885.786865,23.504000,0.361528,-0.152052
4.700,0.040,3648.608398,23.116001,0.229895,-0.193644
4.750,0.041,3423.348877,22.716002,0.098925,-0.236026
4.800,0.041,3540.607910,22.220001,0.025162,-0.204682
4.850,0.041,4127.388184,21.720001,-0.046218,-0.170267
4.900,0.041,4334.230469,21.556000,-0.116375,-0.097918
4.950,0.042,4442.244629,21.406000,-0.186480,-0.023989
5.000,0.042,4110.574219,21.544001,-0.262704,0.003442
5.050,0.042,3479.624023,21.694000,-0.339183,0.028935
5.100,0.043,3218.308838,21.748001,-0.382623,0.011905
5.150,0.043,3341.301025,21.798000,-0.424686,-0.006896
5.200,0.043,4061.801514,21.704000,-0.439217,-0.018967
5.250,0.044,4328.477539,21.604000,-0.452601,-0.030757
5.300,0.044,4491.270020,21.504000,-0.475162,-0.018074
5.350,0.044,3989.550537,21.403999,-0.498106,-0.004372
5.400,0.044,3489.500977,21.496000,-0.518602,0.013307
5.450,0.045,3241.281494,21.596001,-0.538996,0.031152
5.500,0.045,3126.416992,21.648001,-0.517174,0.027889
5.550,0.045,3539.291016,21.698000,-0.493594,0.023747
5.600,0.046,3743.280273,21.652000,-0.451658,0.000943
5.650,0.046,3827.835693,21.602001,-0.408957,-0.022638
5.700,0.046,3879.561279,21.552000,-0.409390,-0.047748
5.750,0.047,3898.024902,21.502001,-0.411621,-0.072922
5.800,0.047,3628.941406,21.356001,-0.453009,-0.098097
5.850,0.047,3308.663818,21.206001,-0.496028,-0.123271
5.900,0.047,3081.887939,21.008001,-0.517633,-0.145998
5.950,0.048,3045.998779,20.808001,-0.538346,-0.168623
6.000,0.048,3280.802490,20.416000,-0.501241,-0.153620
6.050,0.048,3721.464600,20.016001,-0.461727,-0.137050
6.100,0.048,3918.357422,19.808001,-0.357665,-0.092641
6.150,0.049,3985.992188,19.608000,-0.250914,-0.047072
6.200,0.049,3483.760986,19.648001,-0.112653,-0.024142
6.250,0.049,3043.870117,19.698000,0.026921,-0.002154
6.300,0.050,2943.891113,19.652000,0.140492,-0.005557
6.350,0.050,3056.500732,19.602001,0.252979,-0.010019
6.400,0.050,3329.189209,19.552000,0.308872,0.000816
6.450,0.050,3660.879639,19.502001,0.362407,0.012288
6.500,0.051,3770.968994,19.596001,0.389634,0.039361
6.550,0.051,3884.024170,19.696001,0.415764,0.067085
6.600,0.051,3457.096680,19.940001,0.465144,0.055651
6.650,0.052,2903.412354,20.190001,0.515492,0.042586
6.700,0.052,2954.040527,20.056002,0.574406,-0.012695
6.750,0.052,2982.620361,19.906002,0.633677,-0.069736
6.800,0.052,3104.681396,19.756001,0.632683,-0.103527
6.850,0.053,3364.167480,19.606001,0.629178,-0.136349
6.900,0.053,3426.169189,19.360001,0.569384,-0.127566
6.950,0.053,3467.738525,19.110001,0.507245,-0.117051
7.000,0.053,3518.067383,18.956001,0.464685,-0.090015
7.050,0.054,3500.781006,18.806002,0.422940,-0.062292
7.100,0.054,3112.882080,18.704000,0.425247,-0.031815
