Time,Distance,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,3781.783447,23.955000,0.051719,0.426433
0.050,0.000,4053.431152,24.905001,-0.003410,0.476781
0.100,0.001,3785.940430,25.764999,0.060482,0.444819
0.150,0.001,3666.436768,26.615002,0.137598,0.403712
0.200,0.001,3706.310059,27.240000,0.248843,0.333065
0.250,0.002,3801.005127,27.840000,0.363880,0.259136
0.300,0.002,3923.900879,28.125000,0.436471,0.216467
0.350,0.003,3931.666016,28.375000,0.504345,0.177271
0.400,0.003,4002.816406,28.670000,0.519450,0.176507
0.450,0.003,4077.823975,28.969999,0.528691,0.180012
0.500,0.004,4232.378906,29.360001,0.523879,0.203019
0.550,0.004,4485.170898,29.760000,0.517506,0.228194
0.600,0.005,4582.526367,30.160000,0.510846,0.256809
0.650,0.005,4488.662598,30.560001,0.504154,0.285807
0.700,0.006,4583.008301,31.184999,0.503198,0.301326
0.750,0.006,4711.923340,31.834999,0.502880,0.315347
0.800,0.006,4849.451660,32.350002,0.502848,0.304704
0.850,0.007,4861.939453,32.850002,0.502848,0.291320
0.900,0.007,4895.610352,33.350002,0.497112,0.275355
0.950,0.008,4915.380859,33.850002,0.490739,0.259104
1.000,0.008,5056.333984,34.170002,0.452818,0.270097
1.050,0.009,5302.108887,34.470001,0.411392,0.284119
1.100,0.009,5371.097656,35.220001,0.371113,0.306457
1.150,0.010,5399.415039,36.020000,0.330962,0.329719
1.200,0.010,5571.428711,36.505001,0.327520,0.325449
1.250,0.011,5716.256836,36.955002,0.328158,0.318120
1.300,0.011,5632.685547,37.495003,0.356901,0.298745
1.350,0.012,5664.195313,38.045002,0.388767,0.278032
1.400,0.012,5780.389648,38.505001,0.395682,0.237244
1.450,0.013,5628.013184,38.955002,0.399825,0.194224
1.500,0.014,5693.360352,39.270000,0.357506,0.106465
1.550,0.014,5674.520996,39.570004,0.310026,0.013734
1.600,0.015,5525.785645,39.330002,0.211209,-0.120868
1.650,0.015,5246.971191,39.029999,0.106688,-0.260123
1.700,0.016,4946.175293,38.325001,0.010484,-0.364963
1.750,0.016,5041.103027,37.575001,-0.084796,-0.465978
1.800,0.017,5130.876465,36.555000,-0.077976,-0.447974
1.850,0.017,4910.492188,35.505001,-0.059813,-0.416745
1.900,0.018,4844.513672,34.950001,0.006820,-0.305787
1.950,0.018,4884.902344,34.450001,0.078837,-0.185971
2.000,0.019,4753.559570,34.535000,0.014627,-0.121505
2.050,0.019,4710.576660,34.685001,-0.064720,-0.063190
2.100,0.020,4770.935547,34.520000,-0.263373,-0.073706
2.150,0.020,4675.924805,34.320000,-0.475283,-0.091870
2.200,0.021,4627.770508,34.075001,-0.598860,-0.081641
2.250,0.021,4713.320313,33.825001,-0.712622,-0.068257
2.300,0.022,4684.221680,33.755001,-0.615877,-0.034511
2.350,0.022,4570.787109,33.705002,-0.495741,0.001498
2.400,0.022,4504.641602,33.790001,-0.336028,-0.010101
2.450,0.023,4545.479492,33.890003,-0.171918,-0.026990
2.500,0.023,4565.200195,33.720001,-0.149197,-0.080589
2.550,0.024,4519.224609,33.520000,-0.142187,-0.138267
2.600,0.024,4446.893555,33.185001,-0.206875,-0.186480
2.650,0.025,4419.241699,32.834999,-0.279530,-0.233642
2.700,0.025,4476.258301,32.349998,-0.355626,-0.246962
2.750,0.026,4481.645508,31.850000,-0.432105,-0.256522
2.800,0.026,4414.769043,31.485001,-0.491662,-0.221342
2.850,0.027,4307.835938,31.135000,-0.549340,-0.181191
2.900,0.027,4280.316895,30.875000,-0.573750,-0.106911
2.950,0.027,4440.409180,30.625000,-0.594463,-0.028839
3.000,0.028,4806.784668,30.735001,-0.566707,0.049807
3.050,0.028,5044.378906,30.885000,-0.533566,0.128516
3.100,0.029,4736.648926,31.215000,-0.491248,0.162199
3.150,0.029,4635.053223,31.565001,-0.447910,0.190878
