Time,Distance,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,4350.585938,25.978001,0.653485,0.074745
0.050,0.000,4410.292480,26.056000,0.664549,0.069723
0.100,0.001,4498.665527,26.156000,0.656264,0.079283
0.150,0.001,4549.932617,26.284000,0.623710,0.094910
0.200,0.001,4540.009277,26.434000,0.572086,0.115305
0.250,0.002,4578.266113,26.696001,0.508864,0.129810
0.300,0.002,4701.318359,27.046001,0.436528,0.139689
0.350,0.003,4804.835938,27.256001,0.369010,0.149924
0.400,0.003,4935.836426,27.355999,0.305278,0.160440
0.450,0.003,5098.662109,27.624001,0.259926,0.178094
0.500,0.004,5226.189941,28.024000,0.229016,0.201356
0.550,0.004,5272.601563,28.424000,0.218270,0.220157
0.600,0.005,5262.851074,28.823999,0.223369,0.235453
0.650,0.005,5332.634277,29.280001,0.235070,0.239863
0.700,0.005,5523.760254,29.780001,0.251959,0.235720
0.750,0.006,5585.269531,30.167999,0.264030,0.231935
0.800,0.006,5489.221191,30.468000,0.272315,0.228429
0.850,0.007,5470.578125,30.880001,0.275069,0.238129
0.900,0.007,5764.783203,31.380001,0.273475,0.258205
0.950,0.008,6163.489746,31.852001,0.269741,0.290058
1.000,0.008,6317.476074,32.302002,0.264323,0.331166
1.050,0.009,6357.955078,32.919998,0.251947,0.367990
1.100,0.009,6428.130859,33.669998,0.234102,0.401450
1.150,0.009,6486.294922,34.448002,0.211617,0.410283
1.200,0.010,6536.803223,35.248001,0.185487,0.399767
1.250,0.010,6626.958984,35.936001,0.170777,0.369086
1.300,0.011,6763.086914,36.535999,0.165041,0.322562
1.350,0.012,6815.923340,37.023998,0.171797,0.271398
1.400,0.012,6752.445313,37.424000,0.188367,0.216588
1.450,0.013,6711.986816,37.740002,0.200119,0.156960
1.500,0.013,6624.331543,37.990002,0.208086,0.093546
1.550,0.014,6373.904297,38.016003,0.200349,0.017284
1.600,0.014,6200.743164,37.866001,0.180273,-0.069073
1.650,0.015,6353.299316,37.716003,0.131289,-0.152040
1.700,0.015,6475.825684,37.566002,0.059590,-0.232342
1.750,0.016,6445.090820,37.108002,-0.040661,-0.280345
1.800,0.016,6357.742188,36.408001,-0.163346,-0.302970
1.850,0.017,6243.755859,35.820004,-0.253909,-0.301861
1.900,0.017,6165.970703,35.320004,-0.319235,-0.282104
1.950,0.018,6040.185059,34.932003,-0.298190,-0.283404
2.000,0.018,5898.357422,34.632000,-0.209284,-0.301250
2.050,0.019,5859.488281,34.108002,-0.094680,-0.332835
2.100,0.019,5778.690430,33.408001,0.040113,-0.375217
2.150,0.020,5617.800293,32.624001,0.105847,-0.378518
2.200,0.020,5547.710938,31.774000,0.117318,-0.351114
2.250,0.020,5465.643066,31.119999,0.075434,-0.301759
2.300,0.021,5304.619629,30.619999,-0.008374,-0.235159
2.350,0.021,5227.121094,30.372000,-0.076835,-0.195505
2.400,0.022,5237.822754,30.322001,-0.133239,-0.177023
2.450,0.022,5137.490723,30.076000,-0.179648,-0.171032
2.500,0.023,5046.264160,29.676001,-0.218206,-0.174856
2.550,0.023,5055.941895,29.247999,-0.262118,-0.163333
2.600,0.023,5033.607422,28.798000,-0.310236,-0.139752
2.650,0.024,4944.462891,28.558001,-0.340509,-0.117420
2.700,0.024,4878.789551,28.483000,-0.356760,-0.096070
2.750,0.025,4863.485352,28.408001,-0.347851,-0.093635
2.800,0.025,4884.010742,28.333000,-0.319171,-0.106063
2.850,0.025,4927.096680,28.160002,-0.297986,-0.117599
2.900,0.026,4991.805176,27.910002,-0.282691,-0.128433
2.950,0.026,5102.585938,27.604000,-0.294519,-0.125170
3.000,0.026,5238.926758,27.254000,-0.327660,-0.110830
3.050,0.027,5092.063965,27.128000,-0.367225,-0.097383
