Time,Distance,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,6054.554688,31.555000,0.774653,0.397683
0.050,0.000,6191.684082,32.305000,0.712195,0.438153
0.100,0.001,6242.814453,33.129002,0.625214,0.437356
0.150,0.001,6323.788086,33.979000,0.529615,0.422061
0.200,0.002,6487.698242,34.681000,0.499336,0.368328
0.250,0.002,6647.560547,35.331001,0.492007,0.301090
0.300,0.003,6722.860840,35.722000,0.517691,0.235739
0.350,0.003,6780.605957,36.022003,0.554974,0.171051
0.400,0.004,6876.531738,36.285004,0.556650,0.123813
0.450,0.004,6964.106445,36.535004,0.545816,0.082706
0.500,0.005,6945.367188,36.637001,0.494186,0.059991
0.550,0.005,6890.349121,36.687000,0.428224,0.043740
0.600,0.006,6953.551270,36.737000,0.362025,0.050126
0.650,0.007,7045.552246,36.786999,0.295743,0.064465
0.700,0.007,7080.228027,36.947998,0.228283,0.100971
0.750,0.008,7075.070313,37.147999,0.160408,0.145265
0.800,0.008,6961.043945,37.459000,0.073432,0.203943
0.850,0.009,7070.035156,37.809002,-0.020254,0.267676
0.900,0.009,7518.329590,38.381001,-0.102386,0.341784
0.950,0.010,7783.701660,39.031002,-0.180458,0.419537
1.000,0.010,7904.056641,39.903000,-0.218206,0.478661
1.050,0.011,7984.668457,40.853001,-0.241787,0.531240
1.100,0.011,7845.121582,41.914001,-0.204529,0.508832
1.150,0.012,7643.260742,43.014000,-0.145896,0.460077
1.200,0.013,7472.177734,43.707001,-0.036327,0.306151
1.250,0.013,7233.117188,44.257000,0.091137,0.115273
1.300,0.014,7054.022949,44.067001,0.174505,-0.096592
1.350,0.015,7130.340820,43.617001,0.242380,-0.315831
1.400,0.015,6953.052246,42.759998,0.194001,-0.432493
1.450,0.016,6749.837891,41.759998,0.104776,-0.513115
1.500,0.016,6700.509766,40.797001,-0.025008,-0.491866
1.550,0.017,6512.041016,39.847000,-0.169043,-0.434826
1.600,0.017,6226.163574,39.267002,-0.266388,-0.364344
1.650,0.018,6103.866211,38.817001,-0.347328,-0.289140
1.700,0.018,5971.316406,38.403999,-0.372381,-0.257089
1.750,0.019,5735.262207,38.004002,-0.377798,-0.240200
1.800,0.020,5645.083008,37.567001,-0.326385,-0.262927
1.850,0.020,5590.470703,37.117001,-0.255005,-0.299573
1.900,0.021,5404.030762,36.482002,-0.133634,-0.358621
1.950,0.021,5244.660156,35.782001,0.005303,-0.425540
2.000,0.022,5211.610840,35.008003,0.136221,-0.476424
2.050,0.022,5121.618164,34.208000,0.264323,-0.521674
2.100,0.022,4991.196777,33.186001,0.322626,-0.517168
2.150,0.023,4929.744141,32.086002,0.356404,-0.495180
2.200,0.023,4921.549805,31.245001,0.332880,-0.440887
2.250,0.024,4862.920410,30.495001,0.289224,-0.375243
2.300,0.024,4810.054199,29.967001,0.248397,-0.327992
2.350,0.025,4794.463867,29.517000,0.208564,-0.287203
2.400,0.025,4867.393066,29.104000,0.193020,-0.249480
2.450,0.025,5129.057129,28.704000,0.186009,-0.212834
2.500,0.026,5598.781250,28.267000,0.160370,-0.146947
2.550,0.026,5601.611816,27.817001,0.128185,-0.070787
2.600,0.027,5355.869629,27.811001,0.039642,-0.000051
2.650,0.027,5104.225586,27.961000,-0.068703,0.068780
2.700,0.027,5039.633301,28.184999,-0.197092,0.077244
2.750,0.028,5032.975586,28.434999,-0.332523,0.064497
2.800,0.028,4977.694824,28.537001,-0.434233,0.022275
2.850,0.029,4927.069824,28.587000,-0.524096,-0.030305
2.900,0.029,4880.884766,28.415001,-0.560194,-0.071801
2.950,0.029,4855.317871,28.165001,-0.577401,-0.109403
3.000,0.030,4855.201660,27.952000,-0.556172,-0.117057
3.050,0.030,4932.474121,27.752001,-0.521438,-0.114189
3.100,0.031,5127.880371,27.589001,-0.491656,-0.082316
3.150,0.031,5105.492676,27.438999,-0.463614,-0.040253
3.200,0.031,4915.227539,27.437000,-0.441938,0.006526
3.250,0.032,4853.911133,27.487000,-0.422500,0.054963
3.300,0.032,4904.975098,27.648001,-0.344581,0.078404
3.350,0.032,5006.534180,27.848000,-0.246115,0.093062
3.400,0.033,5115.449219,27.973999,-0.078085,0.078716
3.450,0.033,5047.365234,28.073999,0.114387,0.054179
3.500,0.034,4795.072266,28.174000,0.302378,0.025633
3.550,0.034,4655.292480,28.274000,0.488795,-0.004321
3.600,0.034,4586.031250,28.263000,0.590556,-0.027437
3.650,0.035,4571.073242,28.213001,0.662573,-0.048150
3.700,0.035,4684.098633,28.089001,0.657717,-0.065090
3.750,0.036,4910.888184,27.938999,0.625851,-0.080704
3.800,0.036,5029.720215,27.715000,0.566159,-0.087358
3.850,0.036,5055.120117,27.465000,0.496691,-0.090863
3.900,0.037,5046.054688,27.326000,0.462359,-0.086822
3.950,0.037,4887.981445,27.226000,0.440371,-0.080130
4.000,0.038,4626.892578,27.126001,0.517895,-0.081220
4.050,0.038,4430.761230,27.026001,0.630382,-0.085044
4.100,0.038,4291.300781,26.889000,0.782722,-0.076134
4.150,0.039,4194.168457,26.739000,0.949063,-0.062751
4.200,0.039,4366.192383,26.681501,0.980285,-0.036633
4.250,0.039,4650.400879,26.656502,0.964033,-0.006042
4.300,0.040,4815.358398,26.631500,0.783658,-0.018132
4.350,0.040,4875.819824,26.606501,0.545618,-0.045218
4.400,0.041,4784.307617,26.415001,0.310880,-0.089990
4.450,0.041,4367.359863,26.165001,0.077301,-0.140976
4.500,0.041,4049.843018,25.878000,-0.054644,-0.155175
4.550,0.042,3897.609131,25.577999,-0.150880,-0.156450
4.600,0.042,4059.227783,25.315001,-0.205849,-0.132964
4.650,0.042,4565.007324,25.065001,-0.246319,-0.100780
4.700,0.043,4978.706055,24.962999,-0.311549,-0.074490
4.750,0.043,5028.502930,24.913000,-0.385478,-0.050272
4.800,0.043,4449.278320,24.863001,-0.474263,-0.055058
4.850,0.044,4112.213379,24.813002,-0.568269,-0.070035
4.900,0.044,4267.746094,24.689001,-0.648833,-0.103405
4.950,0.044,4626.084473,24.539000,-0.724674,-0.143238
5.000,0.045,4848.956055,24.167000,-0.769153,-0.168215
5.050,0.045,5139.699219,23.717001,-0.802612,-0.187972
5.100,0.045,5704.185059,23.415001,-0.795277,-0.169763
5.150,0.046,6102.881836,23.165001,-0.773608,-0.138216
5.200,0.046,6270.652344,22.915001,-0.713266,-0.106904
5.250,0.046,6074.807617,22.665001,-0.639336,-0.075676
5.300,0.047,5522.317383,22.507500,-0.564935,-0.073451
5.350,0.047,5101.920898,22.382500,-0.490369,-0.081418
5.400,0.047,4827.542969,22.257500,-0.441977,-0.107070
5.450,0.048,4766.951660,22.132500,-0.402781,-0.138936
5.500,0.048,5027.149414,21.878000,-0.364293,-0.151938
5.550,0.048,5222.611816,21.577999,-0.326054,-0.158311
5.600,0.049,5256.406250,21.278000,-0.252443,-0.149592
5.650,0.049,5190.646484,20.977999,-0.166405,-0.135571
5.700,0.049,5090.141602,20.789000,-0.049711,-0.119899
5.750,0.049,4996.251465,20.639000,0.077754,-0.103648
5.800,0.050,4969.417480,20.489000,0.194842,-0.094706
5.850,0.050,4990.601563,20.339001,0.308286,-0.088333
5.900,0.050,4992.563477,20.189001,0.377633,-0.086440
5.950,0.051,4920.229492,20.039000,0.431487,-0.086121
6.000,0.051,4820.363281,19.889000,0.466004,-0.093820
6.050,0.051,4718.029297,19.739000,0.493728,-0.104336
6.100,0.051,4630.201172,19.552000,0.520508,-0.111315
6.150,0.052,4639.599609,19.352001,0.546957,-0.117051
6.200,0.052,4664.723633,19.152000,0.553598,-0.105572
6.250,0.052,4662.971680,18.952000,0.553279,-0.088046
6.300,0.052,4665.146484,18.826000,0.510515,-0.059672
6.350,0.053,4724.823242,18.726000,0.452837,-0.027488
6.400,0.053,4926.844238,18.737000,0.392565,0.007291
6.450,0.053,5237.729980,18.786999,0.331382,0.042981
6.500,0.053,5247.759766,18.837000,0.309580,0.081973
6.550,0.054,4909.600586,18.886999,0.301613,0.122124
6.600,0.054,4575.339844,19.195999,0.319586,0.143646
6.650,0.054,4469.487793,19.596001,0.346672,0.158623
6.700,0.055,4526.261230,19.885000,0.356308,0.127382
6.750,0.055,4616.826172,20.135000,0.359813,0.079901
6.800,0.055,4695.475586,20.070501,0.341153,0.014971
6.850,0.055,4785.182129,19.895500,0.314704,-0.056091
