Time,Distance,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,5756.476074,29.414001,0.318999,0.377263
0.050,0.000,5902.380859,30.118999,0.383840,0.455036
0.100,0.001,5995.396484,31.069000,0.456177,0.518131
0.150,0.001,6102.126953,32.021999,0.528003,0.580346
0.200,0.002,6320.106445,33.122002,0.574846,0.599466
0.250,0.002,6445.310547,34.222000,0.620459,0.617579
0.300,0.003,6439.640625,35.322002,0.605801,0.586350
0.350,0.003,6420.208984,36.417000,0.590562,0.553706
0.400,0.004,6562.719238,37.267002,0.546906,0.451734
0.450,0.004,6598.379395,38.109001,0.503657,0.348660
0.500,0.005,6562.722168,38.559002,0.480395,0.191560
0.550,0.005,6442.540527,38.994999,0.457413,0.035486
0.600,0.006,6354.679688,38.744999,0.448172,-0.070309
0.650,0.007,6566.101074,38.491001,0.438727,-0.173600
0.700,0.007,6828.174316,38.041000,0.419288,-0.154162
0.750,0.008,6975.406738,37.598003,0.400392,-0.133404
0.800,0.008,7032.952148,37.498001,0.408040,-0.048003
0.850,0.009,6901.592773,37.407001,0.417396,0.036837
0.900,0.009,6674.696777,37.757004,0.510445,0.094196
0.950,0.010,6950.392090,38.106003,0.604208,0.151186
1.000,0.010,6920.774902,38.406002,0.732947,0.190063
1.050,0.011,6698.085938,38.707001,0.858391,0.229506
1.100,0.011,7045.662598,39.057003,0.822382,0.296744
1.150,0.012,7485.848633,39.416000,0.782416,0.362560
1.200,0.012,7530.321777,40.216000,0.548518,0.358736
1.250,0.013,7229.432617,41.011002,0.313945,0.352726
1.300,0.014,6991.635742,41.561001,0.046270,0.239602
1.350,0.014,6874.579590,42.098003,-0.218461,0.125763
1.400,0.015,6737.061523,41.998001,-0.338915,-0.023052
1.450,0.015,6798.317383,41.888000,-0.454819,-0.170866
1.500,0.016,7403.664551,41.288002,-0.347749,-0.269651
1.550,0.016,6582.791992,40.687000,-0.238339,-0.366773
1.600,0.017,6705.604492,40.037003,-0.014320,-0.382387
1.650,0.018,6658.701172,39.388000,0.205798,-0.397160
1.700,0.018,6442.966309,38.788002,0.234796,-0.370711
1.750,0.019,6369.478027,38.187000,0.259480,-0.344199
1.800,0.019,6254.596680,37.537003,0.072744,-0.314563
1.850,0.020,6093.875977,36.892002,-0.113679,-0.284590
1.900,0.020,6041.215820,36.492001,-0.284800,-0.238065
1.950,0.021,5925.220703,36.096001,-0.452168,-0.191949
2.000,0.021,5783.017090,35.896000,-0.435597,-0.165818
2.050,0.022,5792.148926,35.695000,-0.416452,-0.140848
2.100,0.022,5717.812988,35.445000,-0.271142,-0.172714
2.150,0.023,5580.563965,35.190002,-0.126935,-0.204701
2.200,0.023,5577.704102,34.690002,-0.036754,-0.242622
2.250,0.024,5538.346191,34.188999,0.050757,-0.279893
2.300,0.024,5389.274902,33.639000,0.007419,-0.285310
2.350,0.024,5335.959961,33.091003,-0.036595,-0.290128
2.400,0.025,5390.940918,32.641003,-0.113711,-0.265591
2.450,0.025,5419.547852,32.192001,-0.190037,-0.240347
2.500,0.026,5492.969238,31.792000,-0.227639,-0.180439
2.550,0.026,5750.063965,31.397999,-0.264208,-0.120447
2.600,0.027,5989.590332,31.298000,-0.250187,-0.056397
2.650,0.027,5696.146973,31.202002,-0.235962,0.006329
2.700,0.028,5430.116211,31.302000,-0.211744,0.004098
2.750,0.028,5221.554199,31.394499,-0.188290,0.000128
2.800,0.028,5002.543457,31.119499,-0.202312,-0.089098
2.850,0.029,4792.614746,30.844500,-0.217320,-0.178227
2.900,0.029,4696.124023,30.569500,-0.280734,-0.262672
2.950,0.030,5167.451172,30.286001,-0.343931,-0.345187
3.000,0.030,5234.929688,29.586000,-0.396510,-0.333077
3.050,0.031,5243.203613,28.889999,-0.448516,-0.319617
3.100,0.031,5215.148926,28.389999,-0.472415,-0.239952
3.150,0.031,5100.264648,27.897999,-0.495729,-0.160490
3.200,0.032,5009.756348,27.798000,-0.490311,-0.091022
3.250,0.032,4883.312500,27.701000,-0.483925,-0.022376
3.300,0.032,4721.713867,27.751001,-0.430072,0.005985
3.350,0.033,4617.996582,27.801001,-0.374949,0.033721
3.400,0.033,4899.021973,27.851000,-0.257682,0.030853
3.450,0.034,5168.495117,27.900999,-0.139860,0.027622
3.500,0.034,5228.710938,27.951000,0.005131,0.006590
3.550,0.034,5165.219238,27.997999,0.149835,-0.014709
3.600,0.035,4968.642578,27.898001,0.280486,-0.049125
3.650,0.035,4577.900391,27.797001,0.410340,-0.083642
3.700,0.036,4344.510254,27.647001,0.501159,-0.123156
3.750,0.036,4218.301758,27.493000,0.591219,-0.162205
3.800,0.036,4406.564453,27.143000,0.644117,-0.178457
3.850,0.037,4834.350586,26.793001,0.696326,-0.193944
3.900,0.037,4931.908691,26.443001,0.714808,-0.171956
3.950,0.037,4926.733887,26.096001,0.732877,-0.149592
4.000,0.038,4785.820801,25.896000,0.730646,-0.108804
4.050,0.038,4430.149902,25.699001,0.728218,-0.068385
4.100,0.038,4117.278320,25.649000,0.716109,-0.046078
4.150,0.039,3918.174316,25.599001,0.703821,-0.024333
4.200,0.039,3961.596191,25.549000,0.682789,-0.030069
4.250,0.040,4472.457520,25.497999,0.661178,-0.035913
4.300,0.040,4672.991211,25.398001,0.611148,-0.047066
4.350,0.040,4701.291504,25.297001,0.560321,-0.058277
