Time,Distance,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,4562.655762,25.264000,0.703094,-0.095216
0.050,0.000,4580.401367,24.993999,0.836129,-0.084878
0.100,0.001,4607.118652,24.944000,0.788011,-0.022102
0.150,0.001,4619.729004,24.930000,0.731404,0.034250
0.200,0.001,4486.201660,25.180000,0.612544,0.043491
0.250,0.002,4360.456055,25.396999,0.502516,0.048717
0.300,0.002,4341.752930,25.372000,0.457266,0.024499
0.350,0.002,4364.453125,25.347000,0.411481,0.002384
0.400,0.003,4424.292969,25.322001,0.361770,-0.004308
0.450,0.003,4465.018066,25.303001,0.309306,-0.010006
0.500,0.004,4496.198242,25.328001,0.236651,-0.008413
0.550,0.004,4500.574707,25.353001,0.167361,-0.008005
0.600,0.004,4549.347656,25.378000,0.122748,-0.016290
0.650,0.005,4552.672852,25.375999,0.083604,-0.027672
0.700,0.005,4467.685059,25.176001,0.084560,-0.061769
0.750,0.005,4307.154297,24.993999,0.084981,-0.098084
0.800,0.006,4218.195801,24.944000,0.081475,-0.150663
0.850,0.006,4184.847168,24.827999,0.079576,-0.199303
0.900,0.006,4169.043945,24.228001,0.089455,-0.219060
0.950,0.007,4253.938965,23.640001,0.103731,-0.227499
1.000,0.007,4451.848633,23.140001,0.150255,-0.152932
1.050,0.007,4805.028809,22.718000,0.195174,-0.072667
1.100,0.008,4792.365234,22.868000,0.228315,0.049380
1.150,0.008,4430.984375,23.077999,0.255184,0.163053
1.200,0.008,4428.849121,23.728001,0.236064,0.215313
1.250,0.009,4600.122070,24.336000,0.217404,0.257478
1.300,0.009,4600.534180,24.636000,0.202108,0.225612
1.350,0.009,4604.764160,24.930000,0.191783,0.192025
1.400,0.010,4701.065430,25.180000,0.217914,0.145820
1.450,0.010,4699.189941,25.424000,0.245344,0.101564
1.500,0.010,4647.464355,25.624001,0.282309,0.071610
1.550,0.011,4731.634277,25.816002,0.315602,0.045021
1.600,0.011,4784.078125,25.949335,0.321976,0.043109
1.650,0.012,4699.921875,26.082668,0.324448,0.043950
1.700,0.012,4614.514648,26.216002,0.298318,0.064982
1.750,0.012,4548.017090,26.349335,0.270161,0.082916
1.800,0.013,4481.180176,26.482668,0.227142,0.078136
1.850,0.013,4405.191406,26.573000,0.181714,0.063834
1.900,0.013,4383.854492,26.348001,0.118619,-0.020292
1.950,0.014,4602.841797,26.123001,0.053382,-0.106981
2.000,0.014,4796.814941,25.898001,-0.027558,-0.212458
2.050,0.014,4774.772949,25.598001,-0.106624,-0.306195
2.100,0.015,4711.906738,24.748001,-0.171949,-0.313843
2.150,0.015,4653.869141,23.964001,-0.228901,-0.305124
2.200,0.015,4563.613770,23.664000,-0.224439,-0.176385
2.250,0.016,4508.502930,23.430000,-0.213172,-0.042904
2.300,0.016,4559.683105,23.680000,-0.151989,0.125349
2.350,0.016,4778.717285,24.001999,-0.094400,0.283507
2.400,0.017,5085.785156,24.851999,-0.063171,0.367633
2.450,0.017,4965.513184,25.690001,-0.039361,0.436197
2.500,0.018,4644.777344,26.440001,-0.069952,0.390628
2.550,0.018,4666.506836,27.148001,-0.098938,0.340509
2.600,0.018,4881.576660,27.548000,-0.116146,0.257020
2.650,0.019,4881.689453,27.917999,-0.129568,0.177737
2.700,0.019,4835.850098,28.068001,-0.115228,0.129300
2.750,0.020,4895.244141,28.224001,-0.103106,0.084726
2.800,0.020,4960.584961,28.424000,-0.107248,0.068474
2.850,0.020,4995.430176,28.606001,-0.115980,0.053140
2.900,0.021,4949.019043,28.656000,-0.158362,0.044536
2.950,0.021,4838.177734,28.706001,-0.202579,0.035321
3.000,0.022,4798.058594,28.756001,-0.260257,0.021618
3.050,0.022,4799.894531,28.806000,-0.314111,0.006501
3.100,0.022,4813.283203,28.855999,-0.339922,-0.018992
3.150,0.023,4863.192871,28.882000,-0.360533,-0.042764
3.200,0.023,4887.915039,28.732000,-0.343007,-0.053917
3.250,0.024,4897.931641,28.576000,-0.322421,-0.061361
3.300,0.024,4920.512207,28.376001,-0.279402,-0.041604
3.350,0.024,4959.527344,28.212000,-0.236345,-0.021618
3.400,0.025,5052.350098,28.312000,-0.193007,0.000051
3.450,0.025,5128.844238,28.411999,-0.154066,0.017820
3.500,0.026,4902.500977,28.511999,-0.147374,0.006985
3.550,0.026,4583.553711,28.582001,-0.144621,-0.004767
3.600,0.026,4684.949707,28.432001,-0.170751,-0.023249
3.650,0.027,4976.261719,28.288002,-0.195467,-0.037640
3.700,0.027,5304.460449,28.188002,-0.209806,-0.022026
3.750,0.028,5202.266113,28.112000,-0.222923,-0.005570
3.800,0.028,4792.930664,28.212000,-0.227065,0.017055
3.850,0.028,4765.381836,28.312000,-0.234764,0.036277
3.900,0.029,4947.509277,28.412001,-0.268542,0.030541
3.950,0.029,5212.043457,28.493999,-0.305112,0.021669
4.000,0.030,5247.826172,28.444000,-0.362152,-0.010197
4.050,0.030,4798.630859,28.393999,-0.415445,-0.041604
4.100,0.030,4583.154785,28.344000,-0.441257,-0.069646
4.150,0.031,4517.421875,28.264002,-0.460414,-0.092641
4.200,0.031,4615.645508,27.964001,-0.430779,-0.078620
4.250,0.031,5126.237305,27.688002,-0.397931,-0.058939
4.300,0.032,5437.755371,27.588001,-0.341528,0.002244
4.350,0.032,5488.562500,27.554001,-0.282143,0.058838
4.400,0.033,4933.993652,28.004000,-0.200884,0.081781
4.450,0.033,4385.018555,28.411999,-0.114501,0.094133
4.500,0.033,4164.447754,28.511999,0.009458,0.028807
4.550,0.034,4592.931641,28.552000,0.137318,-0.036213
4.600,0.034,4965.533203,28.152000,0.293780,-0.098989
4.650,0.035,5063.657227,27.770000,0.447222,-0.151517
4.700,0.035,5091.917969,27.520000,0.578511,-0.128892
4.750,0.035,5022.214355,27.303001,0.699895,-0.102825
4.800,0.036,4654.500977,27.328001,0.748650,-0.051521
4.850,0.036,4309.854492,27.353001,0.790102,-0.006985
4.900,0.037,4156.633301,27.378000,0.777993,-0.012083
4.950,0.037,4128.997559,27.375999,0.765884,-0.022574
5.000,0.037,4508.482910,27.176001,0.753774,-0.072604
5.050,0.038,4800.533203,26.969999,0.744839,-0.123436
5.100,0.038,4872.744141,26.719999,0.759179,-0.180158
5.150,0.038,4657.015625,26.445999,0.774322,-0.233706
5.200,0.039,4103.051758,25.996000,0.795353,-0.263979
5.250,0.039,3734.540771,25.528000,0.807552,-0.287330
5.300,0.039,3522.037842,24.927999,0.754973,-0.259926
5.350,0.040,3673.935791,24.364000,0.689010,-0.231909
5.400,0.040,4156.240723,24.064001,0.524899,-0.199405
5.450,0.041,4374.549805,23.770000,0.356812,-0.172982
5.500,0.041,4495.572754,23.520000,0.159560,-0.191146
5.550,0.041,4313.678711,23.252001,-0.028437,-0.208009
5.600,0.041,3763.246826,22.852001,-0.148573,-0.215338
5.650,0.042,3490.198975,22.434000,-0.257236,-0.213452
5.700,0.042,3386.189209,21.883999,-0.281773,-0.143984
5.750,0.042,3888.533691,21.417999,-0.303289,-0.070845
5.800,0.043,4426.088867,21.568001,-0.302652,0.029215
5.850,0.043,4634.527832,21.766001,-0.306871,0.117803
5.900,0.043,4241.334961,22.316002,-0.346703,0.122264
5.950,0.044,3611.788086,22.794001,-0.387989,0.116592
6.000,0.044,3413.525146,22.744001,-0.439931,0.036608
6.050,0.044,3299.671631,22.664001,-0.489808,-0.040738
6.100,0.045,3640.048584,22.364000,-0.524542,-0.098734
6.150,0.045,4093.853271,22.076000,-0.560882,-0.151453
6.200,0.045,4297.303711,21.876001,-0.609000,-0.165474
6.250,0.046,4313.020508,21.664001,-0.657079,-0.176895
6.300,0.046,3913.408691,21.364000,-0.704879,-0.169247
6.350,0.046,3598.944580,21.064001,-0.745298,-0.159267
6.400,0.046,3398.986084,20.764000,-0.731595,-0.132181
6.450,0.047,3261.541016,20.469999,-0.706306,-0.103450
6.500,0.047,3304.786377,20.219999,-0.596049,-0.062661
6.550,0.047,3746.898438,20.018000,-0.484378,-0.022255
6.600,0.048,4045.559570,20.168001,-0.362331,0.015347
6.650,0.048,4280.157227,20.312000,-0.243534,0.049393
6.700,0.048,4028.233398,20.412001,-0.148572,0.057359
6.750,0.048,3451.050781,20.524000,-0.052694,0.061043
6.800,0.049,3254.091797,20.723999,0.049915,0.033319
6.850,0.049,3217.543701,20.882000,0.152218,0.005366
6.900,0.049,3358.972900,20.732000,0.252278,-0.024269
6.950,0.050,3864.669434,20.576000,0.344307,-0.049507
7.000,0.050,4210.121094,20.376001,0.377448,-0.042497
7.050,0.050,4250.220703,20.212000,0.408027,-0.035065
7.100,0.050,3568.456055,20.312000,0.419817,-0.024550
7.150,0.051,3137.677490,20.393999,0.436273,-0.015869
7.200,0.051,3018.296875,20.344000,0.486940,-0.020649
7.250,0.051,3190.620361,20.294001,0.536957,-0.024052
7.300,0.052,3640.992920,20.244001,0.582207,-0.017361
7.350,0.052,3929.837158,20.206001,0.618165,-0.008030
7.400,0.052,4013.660889,20.256001,0.585980,0.020649
7.450,0.052,3854.493408,20.306002,0.548327,0.046308
7.500,0.053,3347.619385,20.356001,0.470574,0.049813
7.550,0.053,3159.419922,20.424000,0.396797,0.048500
7.600,0.053,3133.420898,20.624001,0.352185,0.011854
7.650,0.054,3095.363281,20.770000,0.316367,-0.025556
7.700,0.054,3262.505371,20.520000,0.345047,-0.068576
7.750,0.054,3572.533203,20.276001,0.374453,-0.105897
7.800,0.054,3734.420898,20.076000,0.409187,-0.101436
7.850,0.055,3842.142090,19.875999,0.435317,-0.094030
7.900,0.055,3754.859863,19.676001,0.398352,-0.065032
7.950,0.055,3250.081055,19.524000,0.353434,-0.039782
8.000,0.055,2983.764160,19.723999,0.250188,-0.042012
8.050,0.056,2989.703857,19.864000,0.147362,-0.047225
8.100,0.056,3036.002197,19.564001,0.047621,-0.074312
8.150,0.056,3320.110352,19.264002,-0.047531,-0.095433
8.200,0.057,3587.963623,18.964001,-0.109033,-0.072808
8.250,0.057,3640.367920,18.718000,-0.167667,-0.046971
8.300,0.057,3738.804199,18.868000,-0.205269,0.002422
8.350,0.057,3685.462158,19.024000,-0.242565,0.046499
8.400,0.058,3169.363281,19.223999,-0.277618,0.051598
8.450,0.058,2946.677734,19.388000,-0.312938,0.052069
8.500,0.058,3096.347412,19.288000,-0.350221,0.018610
8.550,0.058,3317.636230,19.188002,-0.387161,-0.010528
8.600,0.059,3502.044678,19.088001,-0.421576,-0.007979
8.650,0.059,3685.176270,19.018000,-0.454271,-0.003174
8.700,0.059,3687.025391,19.168001,-0.474346,0.018177
8.750,0.060,3371.124512,19.318001,-0.493351,0.034479
