Time,Distance,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,5604.551758,31.670002,0.443003,0.309548
0.050,0.000,5760.153809,32.200001,0.473658,0.272774
0.100,0.001,5809.704590,32.700001,0.504887,0.236128
0.150,0.001,5795.471191,33.040001,0.534331,0.211974
0.200,0.002,5883.465332,33.340000,0.563330,0.190942
0.250,0.002,6019.613281,33.639999,0.576267,0.178068
0.300,0.003,6084.029297,33.939999,0.585190,0.167234
0.350,0.003,6039.600098,34.279999,0.583660,0.152065
0.400,0.004,5990.315430,34.630001,0.579518,0.135814
0.450,0.004,6055.429688,34.780003,0.570786,0.119307
0.500,0.005,6229.189941,34.880001,0.560908,0.102737
0.550,0.005,6429.487793,35.060001,0.528596,0.086931
0.600,0.006,6513.357910,35.259998,0.490675,0.071317
0.650,0.006,6413.159180,35.380001,0.416299,0.049329
0.700,0.007,6383.129395,35.480000,0.332810,0.025748
0.750,0.007,6458.386719,35.439999,0.261812,0.015168
0.800,0.008,6552.898926,35.364998,0.193937,0.007839
0.850,0.008,6536.404297,35.290001,0.215033,0.054045
0.900,0.009,6594.601074,35.215000,0.258371,0.113635
0.950,0.009,6703.014160,35.600002,0.378952,0.203561
1.000,0.010,6752.664551,36.100002,0.518844,0.301071
1.050,0.010,6807.104004,36.880001,0.603417,0.329496
1.100,0.011,6770.489746,37.730003,0.674160,0.340649
1.150,0.011,6747.975586,38.260002,0.635028,0.256459
1.200,0.012,6685.920898,38.709999,0.568428,0.148433
1.250,0.012,6506.640625,38.759998,0.459255,0.017718
1.300,0.013,6206.276367,38.709999,0.339438,-0.118669
1.350,0.013,6186.955078,38.299999,0.240271,-0.217837
1.400,0.014,6408.902344,37.799999,0.146266,-0.307699
1.450,0.014,6375.480469,37.100002,0.097128,-0.344536
1.500,0.015,6260.449707,36.350002,0.059207,-0.368117
1.550,0.015,6150.606934,35.760002,0.052388,-0.348870
1.600,0.016,6046.118164,35.210003,0.053344,-0.318916
1.650,0.016,5966.471191,34.740002,0.029572,-0.273411
1.700,0.017,5851.706543,34.290001,-0.000382,-0.224019
1.750,0.017,5775.617676,33.920002,-0.094579,-0.191961
1.800,0.018,5741.697266,33.570000,-0.204835,-0.164238
1.850,0.018,5598.598633,33.340000,-0.317132,-0.166341
1.900,0.019,5502.689941,33.140003,-0.429938,-0.175901
1.950,0.019,5523.640625,32.820004,-0.465500,-0.208914
2.000,0.020,5450.777832,32.470001,-0.481752,-0.247791
2.050,0.020,5336.645020,32.000000,-0.422545,-0.278255
2.100,0.021,5306.049805,31.500000,-0.344473,-0.306616
2.150,0.021,5316.758301,30.799999,-0.252380,-0.287560
2.200,0.021,5215.461914,30.049999,-0.156781,-0.256650
2.250,0.022,5126.968750,29.740000,-0.114463,-0.195658
2.300,0.022,5113.766602,29.540001,-0.085465,-0.127146
2.350,0.023,5145.492188,29.420000,-0.112296,-0.077753
2.400,0.023,5103.390625,29.320002,-0.153085,-0.033141
2.450,0.023,5008.446289,29.280001,-0.192344,-0.023453
2.500,0.024,4930.495117,29.255001,-0.231220,-0.022497
2.550,0.024,4959.660645,29.230000,-0.244349,-0.043210
2.600,0.025,5007.381836,29.205000,-0.251041,-0.069341
2.650,0.025,4988.659180,29.040001,-0.274813,-0.094196
2.700,0.025,4939.108398,28.840000,-0.302856,-0.118733
2.750,0.026,4867.542480,28.600000,-0.364803,-0.125680
2.800,0.026,4796.974609,28.350000,-0.435227,-0.128229
2.850,0.027,4790.988770,28.140001,-0.498004,-0.109109
2.900,0.027,4901.363770,27.940001,-0.558868,-0.084573
2.950,0.027,5125.206055,27.860001,-0.566452,-0.053407
3.000,0.028,5444.425781,27.810001,-0.560716,-0.020585
3.050,0.028,5337.144043,27.820002,-0.514702,-0.000510
3.100,0.029,5033.520996,27.845001,-0.458617,0.016379
3.150,0.029,4840.173340,27.870001,-0.425986,0.020777
3.200,0.029,4853.176270,27.895000,-0.399219,0.022052
3.250,0.030,4961.821777,27.940001,-0.389022,0.024856
3.300,0.030,4954.638672,27.990000,-0.382967,0.028042
3.350,0.031,4860.559082,28.040001,-0.317004,0.031994
3.400,0.031,4760.925781,28.090000,-0.236064,0.036136
3.450,0.031,4719.589355,28.140001,-0.095726,0.025493
3.500,0.032,4695.911133,28.190001,0.059462,0.011153
3.550,0.032,4680.314453,28.139999,0.199355,-0.013129
3.600,0.033,4638.578613,28.064999,0.335423,-0.039896
3.650,0.033,4659.296387,27.990000,0.435037,-0.061055
3.700,0.033,4734.088379,27.914999,0.525536,-0.080812
3.750,0.034,4842.933594,27.740000,0.598701,-0.091137
3.800,0.034,4893.880859,27.540001,0.667532,-0.099104
3.850,0.034,4882.507813,27.420000,0.714694,-0.112678
3.900,0.035,4813.136719,27.320002,0.756438,-0.127656
3.950,0.035,4761.690430,27.100000,0.763003,-0.165321
4.000,0.036,4692.086426,26.850000,0.760772,-0.208659
4.050,0.036,4592.952148,26.320002,0.746305,-0.248428
4.100,0.036,4524.212891,25.720001,0.728779,-0.287305
4.150,0.037,4482.876465,25.120001,0.728842,-0.258880
4.200,0.037,4427.106934,24.520000,0.733304,-0.213630
4.250,0.037,4375.361328,24.280001,0.722214,-0.107707
4.300,0.038,4365.051758,24.130001,0.707237,0.013384
4.350,0.038,4359.099121,24.420000,0.624704,0.085019
4.400,0.038,4363.622070,24.820000,0.525281,0.144290
4.450,0.039,4376.026367,25.100000,0.387620,0.122748
4.500,0.039,4404.692383,25.350000,0.240398,0.081004
4.550,0.039,4448.024414,25.299999,0.104394,0.028297
4.600,0.040,4435.021484,25.174999,-0.028807,-0.027150
4.650,0.040,4413.638184,25.049999,-0.147221,-0.056084
4.700,0.040,4397.708984,24.924999,-0.261939,-0.078391
