Time,Distance,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,4950.320801,30.459999,0.884859,-0.165576
0.050,0.004,5004.047852,30.155001,0.919657,-0.207831
0.100,0.007,5011.066406,29.805000,0.957896,-0.228862
0.150,0.011,5057.857910,29.315001,0.956876,-0.187436
0.200,0.014,5176.611328,28.765001,0.939031,-0.119243
0.250,0.018,5420.440430,28.687500,0.884158,-0.042573
0.300,0.021,5497.812500,28.812500,0.813415,0.037730
0.350,0.025,5216.815430,28.937500,0.752933,0.072527
0.400,0.028,4942.339844,29.062500,0.696849,0.087823
0.450,0.032,5027.509766,29.240000,0.680023,0.069660
0.500,0.035,5259.873535,29.440001,0.680023,0.037156
0.550,0.039,5347.698242,29.395000,0.709914,0.017590
0.600,0.042,5295.613770,29.245001,0.752614,0.003569
0.650,0.046,5248.258789,29.375000,0.791969,0.035053
0.700,0.049,5303.844238,29.625000,0.829890,0.086039
0.750,0.053,5360.291992,29.875000,0.844612,0.144386
0.800,0.057,5393.792969,30.125000,0.849392,0.205887
0.850,0.060,5423.228516,30.515001,0.848595,0.212069
0.900,0.064,5435.888184,30.965000,0.845409,0.194543
0.950,0.068,5413.189453,31.205000,0.851591,0.147349
1.000,0.072,5374.279785,31.355000,0.861788,0.087441
1.050,0.076,5361.387207,31.365000,0.869977,0.039578
1.100,0.079,5380.833984,31.315001,0.877307,-0.003123
1.150,0.083,5364.789063,31.230001,0.886867,-0.038239
1.200,0.087,5323.157715,31.130001,0.897382,-0.070105
1.250,0.091,5287.632813,31.030001,0.917267,-0.096618
1.300,0.094,5248.042969,30.930000,0.941166,-0.120836
1.350,0.098,5160.350586,30.690001,0.966404,-0.140370
1.400,0.102,5044.550293,30.390001,0.992216,-0.157897
1.450,0.105,4882.755371,30.160000,1.008213,-0.166947
1.500,0.109,4683.261719,29.959999,1.020003,-0.172364
1.550,0.112,4671.066406,29.619999,1.009264,-0.155252
1.600,0.116,4942.406250,29.220001,0.988870,-0.128484
1.650,0.119,5179.681152,28.995001,0.945946,-0.082979
1.700,0.123,5369.866211,28.845001,0.893367,-0.029444
1.750,0.126,5559.636230,28.870001,0.850826,0.008923
1.800,0.130,5560.067871,28.969999,0.812586,0.040789
1.850,0.133,5362.913574,29.105000,0.805130,0.047672
1.900,0.137,5283.750488,29.255001,0.810866,0.043848
1.950,0.140,5278.473633,29.335001,0.818163,0.038909
2.000,0.144,5341.476074,29.385000,0.826130,0.033491
2.050,0.148,5362.084473,29.452499,0.814467,0.038335
2.100,0.151,5385.695801,29.527500,0.794391,0.047576
2.150,0.155,5487.574707,29.602499,0.780338,0.050795
2.200,0.158,5468.857910,29.677500,0.768866,0.051432
2.250,0.162,5374.180176,29.770000,0.787954,0.037793
2.300,0.165,5261.698730,29.869999,0.820139,0.018036
2.350,0.169,5193.486328,29.847500,0.868830,0.001625
2.400,0.173,5167.667969,29.772499,0.924596,-0.013352
2.450,0.176,5140.339844,29.697500,0.970770,-0.010038
2.500,0.180,5095.125000,29.622499,1.012833,0.001115
2.550,0.183,5027.924805,29.705000,1.031698,0.005354
2.600,0.187,4954.336426,29.855000,1.040621,0.006628
2.650,0.191,4857.302246,29.795000,1.020991,-0.020203
2.700,0.194,4722.354004,29.645000,0.989125,-0.059080
2.750,0.198,4613.954590,29.495001,0.935399,-0.087472
2.800,0.201,4688.820313,29.345001,0.872304,-0.111372
2.850,0.205,4999.866699,29.090000,0.797832,-0.077052
