Time,Distance,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,5471.479492,31.440001,0.550679,0.249257
0.050,0.004,5497.165039,31.840000,0.538251,0.211655
0.100,0.008,5560.615234,32.220001,0.532133,0.172651
0.150,0.012,5659.557129,32.420002,0.582800,0.121028
0.200,0.016,5648.025391,32.605003,0.637578,0.069596
0.250,0.020,5574.387207,32.655003,0.729352,0.019885
0.300,0.024,5586.881348,32.690002,0.820266,-0.028648
0.350,0.028,5651.576660,32.590000,0.903437,-0.066568
0.400,0.032,5631.018066,32.480000,0.982656,-0.103310
0.450,0.035,5483.708496,32.280003,1.026313,-0.129440
0.500,0.039,5280.464844,32.065002,1.066145,-0.154264
0.550,0.043,5050.639648,31.715000,1.071563,-0.167329
0.600,0.047,4821.943359,31.369999,1.074335,-0.178323
0.650,0.051,4967.095703,31.070000,1.053303,-0.170675
0.700,0.054,5209.215820,30.775002,1.030742,-0.161211
0.750,0.058,5293.141602,30.525002,0.994415,-0.135399
0.800,0.062,5527.313965,30.290001,0.958756,-0.108886
0.850,0.065,5886.412109,30.190001,0.929121,-0.076064
0.900,0.069,5946.178711,30.090000,0.902130,-0.043115
0.950,0.073,6037.057129,29.990000,0.898944,-0.009018
1.000,0.076,5998.611816,29.914999,0.898274,0.025238
1.050,0.080,5934.979004,30.065001,0.920262,0.060928
1.100,0.084,5919.813477,30.220001,0.940433,0.095312
1.150,0.087,5885.018555,30.420000,0.944257,0.117937
1.200,0.091,5918.684570,30.635000,0.941867,0.135718
1.250,0.095,5921.107422,30.985001,0.883552,0.109906
1.300,0.099,5807.199219,31.295002,0.823963,0.079665
1.350,0.103,5585.289063,31.245001,0.752901,0.009560
1.400,0.106,5299.463867,31.175001,0.690125,-0.059462
1.450,0.110,5018.533203,30.925001,0.701915,-0.118733
1.500,0.114,4724.262207,30.665001,0.720844,-0.174053
1.550,0.117,4619.048340,30.315001,0.804015,-0.193810
1.600,0.121,4961.188965,29.969999,0.885719,-0.210635
1.650,0.125,5054.124512,29.670000,0.954231,-0.201075
1.700,0.128,4884.099609,29.365000,1.016179,-0.191037
1.750,0.132,4771.086426,29.014999,1.019047,-0.176698
1.800,0.135,4825.726074,28.675001,1.016817,-0.161975
1.850,0.139,4826.058105,28.425001,0.968699,-0.143812
1.900,0.142,4783.315430,28.180000,0.918510,-0.123768
1.950,0.145,4821.329102,27.980001,0.849679,-0.086803
2.000,0.149,5103.022949,27.795002,0.782696,-0.047958
2.050,0.152,5513.774414,27.745001,0.732348,0.007807
2.100,0.156,5504.465820,27.725000,0.687353,0.063796
2.150,0.159,5487.740234,27.975000,0.690539,0.121793
2.200,0.162,5389.478516,28.245001,0.699143,0.177463
2.250,0.166,5401.856934,28.695000,0.756502,0.212197
2.300,0.169,5525.223145,29.139999,0.813574,0.243298
2.350,0.173,5515.914551,29.540001,0.868065,0.241705
2.400,0.177,5439.555664,29.940001,0.917840,0.237690
2.450,0.180,5415.413086,30.340000,0.925170,0.211878
2.500,0.184,5463.581543,30.725000,0.929376,0.185589
2.550,0.188,5410.385254,30.975000,0.905476,0.154997
2.600,0.192,5315.690918,31.215000,0.880844,0.124533
2.650,0.196,5363.328613,31.365000,0.849615,0.095216
2.700,0.199,5490.113281,31.510000,0.820967,0.065262
2.750,0.203,5473.952148,31.610001,0.815550,0.029572
2.800,0.207,5400.811523,31.695002,0.815582,-0.006405
2.850,0.211,5403.598633,31.645000,0.864656,-0.044963
2.900,0.215,5447.802246,31.580000,0.914239,-0.079952
2.950,0.219,5417.935059,31.380001,0.968412,-0.082820
3.000,0.222,5343.799316,31.185001,1.016052,-0.081736
3.050,0.226,5352.775391,31.035000,1.004899,-0.045090
3.100,0.230,5336.879883,30.904999,0.991037,-0.009974
3.150,0.234,5288.246582,30.955000,0.952797,0.011376
3.200,0.237,5280.664063,31.014999,0.919274,0.028106
3.250,0.241,5287.881836,31.165001,0.928197,0.003250
3.300,0.245,5228.745605,31.285002,0.941389,-0.023836
3.350,0.249,5109.958984,31.135000,0.993012,-0.070998
3.400,0.253,5050.507324,30.975000,1.041035,-0.115419
3.450,0.256,4989.744629,30.725000,1.056649,-0.135176
3.500,0.260,4962.848145,30.469999,1.063915,-0.149898
3.550,0.264,4951.581543,30.170000,0.996040,-0.119307
3.600,0.267,4989.313477,29.885000,0.924373,-0.086038
3.650,0.271,5171.916016,29.735001,0.818577,-0.028679
3.700,0.274,5464.245117,29.615000,0.718709,0.026577
3.750,0.278,5551.456055,29.764999,0.672184,0.062904
3.800,0.282,5361.785645,29.930000,0.635475,0.094706
3.850,0.285,5145.317871,30.230000,0.687098,0.085784
3.900,0.289,5188.143066,30.504999,0.739358,0.075842
3.950,0.293,5365.916992,30.555000,0.797354,0.056722
4.000,0.297,5518.585938,30.602501,0.850157,0.038431
4.050,0.300,5658.263184,30.627501,0.856211,0.027596
4.100,0.304,5798.819824,30.652502,0.861756,0.015933
4.150,0.308,5669.114746,30.677502,0.862712,-0.003186
4.200,0.311,5426.181641,30.695002,0.866982,-0.023103
4.250,0.315,5145.102051,30.645000,0.901079,-0.050189
4.300,0.319,4911.709473,30.580000,0.935048,-0.075172
4.350,0.323,4823.685547,30.380001,0.967870,-0.081227
4.400,0.326,4999.534668,30.185001,0.994192,-0.082565
4.450,0.330,5513.973145,30.035000,0.962007,-0.041458
4.500,0.333,6091.381348,29.904999,0.926157,0.002486
4.550,0.337,6133.277832,29.955000,0.857327,0.071954
4.600,0.341,5970.652832,30.045000,0.793849,0.139319
4.650,0.345,5745.838867,30.494999,0.778553,0.187755
4.700,0.348,5752.193848,30.945000,0.770683,0.229596
4.750,0.352,5840.649414,31.395000,0.829635,0.212069
4.800,0.356,5838.841309,31.825001,0.890053,0.189221
4.850,0.360,5659.623535,32.075001,0.963664,0.118478
4.900,0.364,5409.472656,32.294998,1.035363,0.046557
4.950,0.368,5226.787598,32.244999,1.089854,-0.035977
5.000,0.372,4976.387695,32.165001,1.141318,-0.116407
5.050,0.376,4795.976074,31.815001,1.165536,-0.177908
5.100,0.379,5031.475586,31.455000,1.185165,-0.236383
5.150,0.383,5127.082520,31.005001,1.163496,-0.267612
5.200,0.387,5073.338867,30.540001,1.137302,-0.296450
5.250,0.390,4998.124023,29.940001,1.070384,-0.303780
5.300,0.394,4884.414551,29.344999,1.001585,-0.308783
5.350,0.397,4849.686035,28.795000,0.915865,-0.292850
5.400,0.401,4860.653809,28.255001,0.830718,-0.274112
5.450,0.404,4900.393555,27.805000,0.750734,-0.230137
5.500,0.407,4973.318359,27.379999,0.671961,-0.184377
5.550,0.411,5093.250000,27.180000,0.604086,-0.122557
5.600,0.414,5296.958008,26.990000,0.541533,-0.061661
5.650,0.417,5356.940430,26.890001,0.526875,-0.009082
5.700,0.420,4946.255371,26.825001,0.523529,0.039769
5.750,0.424,4686.314941,27.075001,0.621995,0.055065
5.800,0.427,4794.283203,27.315001,0.723776,0.069978
5.850,0.430,5069.339844,27.465000,0.855383,0.081450
5.900,0.434,5358.616211,27.620001,0.974658,0.095439
5.950,0.437,5266.477539,27.820000,0.982943,0.132085
6.000,0.441,5142.546875,28.030001,0.979724,0.166979
6.050,0.444,4959.877930,28.330000,0.872973,0.186098
6.100,0.448,4852.556641,28.639999,0.766444,0.201585
6.150,0.451,4758.625977,29.040001,0.661923,0.184378
6.200,0.455,4750.113770,29.420000,0.564572,0.165481
6.250,0.458,4823.370117,29.620001,0.531750,0.131384
6.300,0.462,5001.558594,29.810001,0.504887,0.096969
6.350,0.466,5245.537109,29.910000,0.531655,0.059685
6.396,0.469,5255.044922,30.000999,0.556523,0.025512
