Time,Distance,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,5239.720215,30.566000,0.588944,0.003047
0.050,0.004,5348.916016,30.501001,0.603105,-0.017571
0.100,0.007,5481.498535,30.351002,0.637202,-0.026812
0.150,0.011,5582.341797,30.366001,0.691699,-0.000930
0.200,0.015,5578.216797,30.466000,0.756706,0.043045
0.250,0.018,5524.682617,30.566000,0.812249,0.091227
0.300,0.022,5583.197754,30.666000,0.862916,0.141575
0.350,0.026,5692.354492,30.964001,0.897599,0.157221
0.400,0.029,5636.729004,31.364000,0.924048,0.154991
0.450,0.033,5492.160645,31.632000,0.952810,0.115955
0.500,0.037,5395.352539,31.831999,0.982764,0.057958
0.550,0.041,5274.677246,31.867001,1.015453,-0.008030
0.600,0.045,5099.034180,31.817001,1.049549,-0.078136
0.650,0.048,4884.511230,31.602001,1.056936,-0.131416
0.700,0.052,4914.494141,31.302000,1.050563,-0.176028
0.750,0.056,5075.236816,30.903002,1.016428,-0.206339
0.800,0.059,5089.320801,30.453001,0.967991,-0.229283
0.850,0.063,4997.596680,30.036001,0.934277,-0.246758
0.900,0.066,4920.191895,29.636000,0.908147,-0.261417
0.950,0.070,4870.566406,29.203001,0.909989,-0.258829
1.000,0.073,4864.274902,28.753000,0.926240,-0.247358
1.050,0.077,4905.633301,28.336000,0.935552,-0.195715
1.100,0.080,5065.424316,27.936001,0.941287,-0.123379
1.150,0.083,5345.551270,27.734001,0.918841,-0.031694
1.200,0.086,5551.731445,27.634001,0.881876,0.069959
1.250,0.090,5531.442383,27.896999,0.848697,0.136279
1.300,0.093,5368.611816,28.347000,0.817468,0.184397
1.350,0.097,5204.789063,28.764000,0.817366,0.181828
1.400,0.100,5113.655273,29.164001,0.833299,0.153149
1.450,0.104,5051.993652,29.366001,0.855542,0.113743
1.500,0.107,5013.701172,29.466000,0.881035,0.068812
1.550,0.111,5085.444824,29.533001,0.877925,0.040706
1.600,0.114,5175.041992,29.583000,0.860080,0.021268
1.650,0.118,5165.202148,29.578001,0.820362,0.009611
1.700,0.121,5123.173340,29.544666,0.769376,0.001963
1.750,0.125,5137.316406,29.511333,0.721545,-0.008419
1.800,0.128,5174.351074,29.478001,0.675339,-0.020209
1.850,0.132,5242.328125,29.444668,0.644907,-0.024218
