Time,Distance,RPM,GPS_Speed,GPS_LatAcc,GPS_LonAcc
0.000,0.000,5120.289063,27.516001,0.833746,0.154003
0.050,0.003,5107.114746,27.966002,0.771607,0.221240
0.100,0.007,5135.342285,28.440001,0.704267,0.256969
0.150,0.010,5189.693359,28.940001,0.631294,0.258562
0.200,0.014,5186.958496,29.344002,0.609867,0.242106
0.250,0.018,5165.195801,29.644001,0.644282,0.206098
0.300,0.021,5181.410156,29.992001,0.730244,0.162288
0.350,0.025,5226.011230,30.392000,0.872049,0.110028
0.400,0.029,5268.116699,30.648001,0.993968,0.062356
0.450,0.032,5235.110840,30.748001,1.094347,0.019655
0.500,0.036,5205.741699,30.752001,1.135989,-0.008667
0.550,0.040,5260.025879,30.652000,1.114002,-0.021414
0.600,0.043,5267.745117,30.552000,1.064176,-0.021924
0.650,0.047,5209.989258,30.452000,0.984192,-0.009177
0.700,0.051,5220.316406,30.448000,0.911244,0.010605
0.750,0.054,5288.253418,30.548000,0.845918,0.038010
0.800,0.058,5318.133789,30.648001,0.809808,0.059297
0.850,0.062,5280.886230,30.748001,0.805346,0.073955
0.900,0.065,5244.415527,30.872002,0.824288,0.070412
0.950,0.069,5277.514648,31.022001,0.868582,0.047149
1.000,0.073,5339.412109,31.064001,0.911652,0.013792
1.050,0.077,5375.776367,30.989000,0.953397,-0.030502
1.100,0.080,5356.608887,30.914001,0.981222,-0.065007
1.150,0.084,5287.854980,30.839001,0.993969,-0.088906
1.200,0.088,5236.875977,30.656000,0.995549,-0.096287
1.250,0.091,5251.922363,30.356001,0.985033,-0.085771
1.300,0.095,5280.899902,30.176001,0.973447,-0.070054
1.350,0.099,5221.172852,30.126001,0.960700,-0.048704
1.400,0.102,5125.240723,30.076000,0.951778,-0.037143
1.450,0.106,5077.394043,30.026001,0.946998,-0.036187
1.500,0.110,5058.000488,29.940001,0.947724,-0.048079
1.550,0.113,5027.921387,29.815001,0.954416,-0.073891
1.600,0.117,4973.577148,29.690001,0.964167,-0.097408
1.650,0.120,4923.845703,29.565001,0.977232,-0.118440
1.700,0.124,4904.398926,29.379999,0.982650,-0.120811
1.750,0.127,4931.597656,29.129999,0.979782,-0.102966
1.800,0.131,5042.051758,28.952000,0.958559,-0.075331
1.850,0.134,5205.602051,28.852001,0.917452,-0.037092
1.900,0.138,5247.289551,28.824001,0.867779,-0.008795
1.950,0.141,5230.862793,28.874001,0.808826,0.008731
2.000,0.145,5217.117676,28.924000,0.767770,0.015551
2.050,0.148,5129.349121,28.973999,0.746101,0.010771
2.100,0.152,5048.410156,28.976000,0.744622,0.016086
2.150,0.155,5002.800293,28.926001,0.765017,0.032338
2.200,0.159,5014.581055,28.972000,0.783423,0.062356
2.250,0.162,5073.291992,29.122000,0.799674,0.107287
2.300,0.166,5120.634277,29.344002,0.803384,0.139217
2.350,0.169,5099.130371,29.644001,0.793505,0.157062
2.400,0.173,5081.349609,29.968000,0.781638,0.150434
2.450,0.177,5160.145020,30.318001,0.767617,0.117293
2.500,0.180,5255.061523,30.524000,0.757420,0.085070
2.550,0.184,5220.748047,30.573999,0.751365,0.053841
2.600,0.188,5137.001465,30.552000,0.752500,0.037449
2.650,0.191,5222.261230,30.452000,0.761422,0.037131
2.700,0.195,5360.199219,30.520000,0.786864,0.034976
2.750,0.199,5265.714355,30.770000,0.830202,0.030834
2.800,0.202,5084.595215,30.875999,0.877058,0.014455
2.850,0.206,5010.811035,30.826000,0.927725,-0.015181
2.900,0.210,4937.703613,30.775999,0.956061,-0.046193
2.950,0.213,4818.209961,30.726000,0.960203,-0.078696
3.000,0.217,4733.965820,30.508001,0.938802,-0.102022
3.050,0.221,4865.837891,30.108000,0.889728,-0.115406
3.100,0.224,5063.031250,29.875999,0.846161,-0.122060
3.150,0.228,5059.540039,29.826000,0.808559,-0.121423
3.200,0.231,4943.836426,29.680000,0.798489,-0.125374
3.250,0.235,4829.008301,29.430000,0.818246,-0.134296
3.300,0.239,4740.184570,29.228001,0.827449,-0.146278
3.350,0.242,4720.492188,29.078001,0.825218,-0.161574
3.400,0.245,4791.661621,28.784000,0.787196,-0.158362
3.450,0.249,4915.781250,28.334000,0.710398,-0.135100
3.500,0.252,5093.773926,28.028000,0.634672,-0.088741
3.550,0.256,5353.781250,27.878000,0.560105,-0.017361
3.600,0.259,5402.145508,27.920002,0.511388,0.048819
3.650,0.262,5068.168457,28.170002,0.490675,0.109365
3.700,0.266,4828.630371,28.516001,0.502695,0.137636
3.750,0.269,5002.793457,28.966002,0.550175,0.130944
3.800,0.273,5300.664551,29.176001,0.625188,0.105439
3.850,0.276,5487.823242,29.126001,0.730028,0.059552
3.900,0.280,5590.724121,29.076000,0.831502,0.045938
3.950,0.283,5636.679199,29.026001,0.929331,0.067289
4.000,0.287,5691.501465,29.167999,0.975767,0.115101
4.050,0.290,5829.280273,29.518000,0.966525,0.191579
4.100,0.294,5982.815430,29.964001,0.908032,0.238690
4.150,0.298,6024.118164,30.514002,0.796182,0.253986
4.200,0.302,5966.322754,30.968000,0.691980,0.235631
4.250,0.305,5847.187012,31.318001,0.596063,0.180821
4.300,0.309,5752.589355,31.548000,0.555516,0.114081
4.350,0.313,5701.669434,31.648001,0.574954,0.034416
4.400,0.317,5614.219727,31.676001,0.652975,-0.042649
4.450,0.321,5427.034668,31.626001,0.794461,-0.116898
4.500,0.324,5216.268066,31.432001,0.937170,-0.171261
4.550,0.328,5013.439453,31.082001,1.081205,-0.204083
4.600,0.332,4815.481934,30.708000,1.161763,-0.206314
4.650,0.335,4819.889160,30.308001,1.173553,-0.175404
4.700,0.339,5171.826172,29.932001,1.134562,-0.128280
4.750,0.343,5656.770020,29.582001,1.040557,-0.063592
4.800,0.346,5955.928711,29.472000,0.956494,-0.005787
4.850,0.350,5982.510254,29.622000,0.883202,0.044562
4.900,0.353,5831.158691,29.892000,0.873693,0.066001
4.950,0.357,5661.793945,30.292000,0.933283,0.056123
5.000,0.361,5590.405762,30.452000,1.018875,0.048539
5.050,0.364,5576.885742,30.352001,1.132637,0.043440
5.100,0.368,5583.642578,30.408001,1.183993,0.067403
5.150,0.372,5604.834961,30.632999,1.167741,0.122850
5.200,0.375,5557.260254,30.858000,1.111567,0.159790
5.250,0.379,5398.860352,31.083000,1.012145,0.176679
5.300,0.383,5297.850586,31.344002,0.933984,0.160376
5.350,0.387,5350.914063,31.644001,0.878855,0.108116
5.400,0.391,5473.068848,31.776001,0.862272,0.055396
5.450,0.394,5519.575195,31.726002,0.887446,0.002180
5.500,0.398,5493.425293,31.652000,0.923175,-0.028552
5.550,0.402,5471.396484,31.552000,0.970337,-0.034925
5.600,0.406,5460.027344,31.524000,0.998532,-0.034109
5.650,0.410,5425.541016,31.573999,1.006180,-0.025505
5.700,0.413,5331.613281,31.576000,1.003579,-0.033268
5.750,0.417,5251.995117,31.526001,0.989877,-0.058761
5.800,0.421,5239.491211,31.379999,0.991623,-0.090372
5.850,0.425,5273.008301,31.129999,1.010106,-0.128612
5.900,0.428,5327.345703,30.879999,1.038989,-0.152779
5.950,0.432,5318.724121,30.629999,1.079140,-0.161701
6.000,0.436,5194.358887,30.355999,1.100325,-0.149363
6.050,0.439,5073.783691,30.056000,1.100962,-0.113991
6.100,0.443,5019.990234,29.851999,1.069784,-0.066077
6.150,0.446,5014.036133,29.752001,1.004140,-0.004576
6.200,0.450,5092.632324,29.748001,0.924118,0.045913
6.250,0.454,5294.811035,29.848000,0.828520,0.084471
